contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dienstencentrum Duivenwal,0345::SB1,,1653,1134,1,6,0,0,0,1034,107,0,0,0,0,0,0,1141,181,58,168,103,156,68,127,59,86,23,49,0,4,31,1,14,1,0,1,1,0,1,0,0,2,0
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Voedselbank Veenendaal,0345::SB2,,1632,992,1,6,0,0,2,874,123,0,0,0,0,0,0,999,112,39,116,81,94,63,108,71,98,21,13,2,3,155,1,8,1,1,0,0,0,0,0,2,0,3
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hollandia Staete,0345::SB3,,1697,1069,1,9,0,0,2,983,94,0,0,0,0,0,0,1079,132,40,135,93,144,68,111,61,130,18,40,0,1,79,1,9,0,0,0,3,1,0,0,2,0,1
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woon-en Zorgcentrum De Engelenburgh,0345::SB4,,1196,1081,2,0,0,0,3,967,113,0,0,0,0,0,0,1083,169,34,109,46,171,46,143,54,226,16,28,1,0,15,0,17,0,1,1,1,0,1,0,1,0,1
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zaal van Apostolisch Genootschap,0345::SB5,,1525,1565,0,2,0,4,3,1370,190,0,0,4,0,0,0,1563,433,32,187,53,245,152,200,69,107,20,16,0,5,2,4,21,10,1,1,3,0,2,0,1,1,0
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vergaderzaal Het Trefpunt,0345::SB6,,1531,1517,5,2,0,0,2,1350,172,0,0,0,0,0,0,1524,284,49,207,97,245,107,146,98,156,24,36,1,4,28,0,24,1,0,2,2,1,2,0,2,0,1
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Shalom (achter Vredeskerk),0345::SB7,,1519,986,0,3,1,6,0,860,122,0,0,7,0,0,0,982,228,35,79,35,169,57,127,34,180,12,12,1,3,0,0,11,0,0,0,1,1,0,0,0,0,1
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Groenhof,0345::SB8,,1628,1281,2,5,0,1,0,1141,148,0,0,0,1,0,0,1289,256,49,168,88,168,90,157,66,116,24,33,0,5,25,1,30,0,0,1,0,1,3,0,0,0,0
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Patrimoniumschool,0345::SB9,,1452,1367,2,2,0,2,1,1215,157,0,0,0,2,0,0,1373,182,44,207,127,178,89,173,66,127,32,37,1,6,63,1,26,2,0,0,4,2,0,0,0,0,0
Utrecht,Veenendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School JUUL,0345::SB10,,1264,890,0,8,0,0,0,785,113,0,0,0,0,0,0,898,85,27,132,103,69,74,63,56,42,15,36,0,1,164,4,11,0,0,1,3,1,0,1,1,0,1
