contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0537::SB1,2224 EW,1500,1737,1,11,0,1,3,1554,193,0,0,0,1,0,0,1750,322,66,272,93,288,95,154,76,203,50,46,1,7,12,0,45,0,0,0,3,0,2,0,2,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Duinroos, locatie Otto Baron",0537::SB2,2223 VG,1656,1327,1,8,0,0,4,1199,133,0,0,0,0,0,0,1336,201,54,315,97,223,86,82,90,36,39,32,1,6,16,7,32,0,0,1,1,4,0,0,4,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Wilbert,0537::SB3,2223 ER,1350,1207,1,2,0,0,0,1056,154,0,0,0,0,0,0,1210,310,28,156,51,222,87,90,48,78,35,40,0,5,1,0,50,0,0,0,6,0,0,0,0,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Horizon,0537::SB4,2223 AP,1465,1381,0,0,0,0,3,1206,172,0,0,0,0,0,0,1381,335,61,165,70,311,96,92,70,57,38,40,1,2,0,1,29,0,0,0,2,2,1,1,7,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Duinroos, locatie Zanderij",0537::SB5,2224 XA,1566,1477,1,4,0,1,1,1296,186,0,0,0,1,0,0,1483,300,38,233,74,263,91,129,56,143,34,38,0,13,6,0,48,0,0,0,7,1,0,0,3,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huize Salem,0537::SB6,2225 RT,1473,1156,0,3,0,1,3,998,157,0,0,1,0,0,0,1158,154,18,114,21,291,41,140,22,268,20,36,3,6,0,0,20,1,0,0,0,0,0,0,1,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bibliotheek Katwijk Zee,0537::SB7,2225 MA,1479,1750,0,8,0,0,2,1514,242,0,0,0,0,0,0,1758,250,19,244,50,345,62,184,43,441,31,26,2,7,2,1,35,0,0,0,3,1,0,3,1,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau K&O Gebouw,0537::SB8,2225 XM,1523,1572,0,3,0,0,2,1367,206,0,0,0,0,0,0,1575,282,25,237,61,326,64,160,54,241,23,27,2,8,1,5,46,1,0,0,8,0,0,0,1,0
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkgeb 't Zandgat,0537::SB9,2225 AS,1382,876,1,2,0,0,0,787,92,0,0,0,0,0,0,879,142,16,132,38,200,28,97,24,114,18,39,0,5,0,0,10,0,0,0,5,0,1,1,5,1
Leiden,Katwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dienstencentr. Zwanenburg,0537::SB10,2225 DZ,1663,1535,1,5,0,0,1,1329,211,0,0,0,0,0,0,1541,236,45,200,45,319,40,157,45,325,19,62,0,5,0,2,30,0,1,0,2,0,0,1,1,0
