contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Winsum,0053::SB1,9951 AC,769,599,1,2,0,0,7,545,50,0,0,0,0,0,0,602,74,77,40,47,138,59,53,66,8,17,8,0,0,0,2,6,0,0,0,2,0,0,0,2
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Winkheem Winsum,0053::SB2,9951 BG,820,633,0,1,0,1,1,578,56,0,0,0,1,0,0,635,74,84,31,66,185,44,57,44,6,11,16,1,3,0,1,3,4,0,0,2,0,0,0,1
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Terra Winsum (De Brake),0053::SB3,9951 TD,1134,1002,2,1,0,1,1,914,91,0,0,0,1,0,0,1006,174,89,47,88,175,127,132,102,12,20,16,0,5,0,1,10,0,0,0,3,0,0,0,1
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Agricola Baflo,0053::SB4,9953 PH,878,883,1,0,0,0,5,819,60,0,0,0,0,0,0,884,134,77,63,120,184,61,73,81,11,30,22,5,2,0,2,17,0,0,0,1,0,0,0,0
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau CSG Winsum,0053::SB5,9951 HX,1005,958,3,0,0,0,1,875,86,0,1,0,1,0,0,962,104,94,49,108,137,120,128,113,18,30,24,0,2,0,0,23,2,1,0,3,0,2,0,0
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Hoogte Winsum,0053::SB6,9951 EP,942,985,0,0,0,3,3,894,91,0,0,0,3,0,0,988,92,168,64,139,144,98,70,113,7,25,33,1,3,0,0,13,0,0,0,7,2,0,0,6
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Ripperdahal Winsum,0053::SB7,9951 JH,998,765,0,0,0,0,3,709,53,0,0,0,0,0,0,765,74,97,67,114,102,73,68,107,4,35,9,0,3,0,0,4,3,0,0,3,0,0,0,2
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Op Streek Den Andel,0053::SB8,9956 PN,401,331,1,0,0,0,0,308,24,0,0,0,0,0,0,332,37,36,36,61,25,22,3,49,7,42,9,0,0,0,0,2,0,0,0,2,0,0,0,0
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Schleurholtshuus Ezinge,0053::SB9,9891 AC,885,696,1,1,0,0,1,631,66,0,0,0,0,0,0,698,65,66,54,87,129,55,32,117,8,48,13,0,1,0,4,10,0,1,0,3,0,2,0,1
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Viskenij Baflo,0053::SB10,9953 PW,805,532,1,1,0,0,0,494,40,0,0,0,0,0,0,534,40,40,47,84,128,46,43,50,2,18,19,0,0,0,3,9,0,0,0,1,1,1,0,0
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kromme Akkers Garnwerd,0053::SB11,9893 PD,346,343,0,0,0,0,1,300,42,0,0,0,0,0,0,343,47,31,20,27,31,39,17,93,4,26,3,0,2,0,0,2,0,0,0,1,0,0,0,0
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ubbegaheem Sauwerd,0053::SB12,9771 BB,957,879,0,0,0,1,1,797,82,0,0,0,1,0,0,880,81,57,40,80,162,72,168,114,15,35,29,0,5,0,0,10,0,0,0,8,1,0,0,2
Groningen,Winsum,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Artharpe Adorp,0053::SB13,9774 PH,502,445,0,2,0,0,2,414,31,0,0,0,0,0,0,447,84,68,27,43,39,59,17,79,5,11,7,0,0,0,0,1,0,0,0,1,0,2,0,2
