contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Jagtlust,0310::SB1,3721AB,1742,1792,1,4,0,0,18,1615,164,0,0,0,0,0,0,1797,480,119,136,90,143,341,62,257,15,54,38,0,8,14,0,22,0,4,0,7,2,0,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum d'Amandelboom,0310::SB3,3722BT,832,661,4,2,0,0,5,614,48,0,0,0,0,0,0,667,174,36,16,13,53,130,84,80,26,28,12,0,0,0,0,5,0,0,0,3,0,1,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woon- en zorgcentrum De Koperwiek,0310::SB4,3722CA,2806,2425,6,5,0,0,6,2197,233,0,0,0,0,0,0,2436,760,155,182,121,289,385,76,237,21,90,46,0,2,18,0,36,0,0,2,3,1,0,1,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau VvSo WVT,0310::SB6,3721EA,1288,945,3,9,0,0,2,875,80,0,0,0,0,0,0,957,167,72,134,110,65,120,21,115,3,56,32,1,3,17,1,14,1,0,0,6,1,0,1,2,0,3
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kunstenhuis (locatie Lichtruim),0310::SB7,3721LH,1349,1283,4,9,0,0,2,1201,94,0,0,0,1,0,1,1297,222,98,163,140,131,199,33,167,7,37,24,1,2,30,1,12,0,0,1,6,3,3,0,2,0,1
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Opstandingskerk,0310::SB8,3721MJ,1351,1170,3,2,0,0,4,1066,105,0,0,0,0,0,0,1175,298,80,119,67,89,198,30,171,14,45,28,1,2,9,1,9,0,0,2,3,0,3,0,1,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau HF Witte Centrum,0310::SB9,3731CL,2699,2499,0,3,0,2,12,2272,220,0,0,0,2,0,0,2504,579,169,180,138,251,507,66,341,19,112,48,2,7,23,5,36,1,1,2,9,2,0,0,0,0,1
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau MENS Servicecentrum De Bilt/Weltevreden,0310::SB10,3731MA,1464,1134,1,2,0,1,4,1037,95,0,0,1,0,0,0,1136,236,101,74,69,136,196,35,182,8,34,28,0,5,12,0,16,0,0,0,1,1,0,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw van het Rode Kruis,0310::SB11,3732BA,1844,1519,3,2,0,5,3,1412,104,0,0,5,0,0,0,1519,312,87,152,107,148,259,52,221,16,68,41,2,5,13,4,23,0,2,0,6,1,0,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Voorhof,0310::SB14,3732EH,2114,1942,2,2,0,0,11,1779,156,0,0,0,0,0,0,1946,392,109,137,132,181,353,55,330,32,120,30,5,8,10,5,25,1,0,1,12,0,1,1,0,0,2
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Noorderkerk,0310::SB15,3723DM,880,963,0,1,0,0,5,813,146,0,0,0,0,0,0,964,523,28,28,9,83,187,13,43,8,17,1,1,1,0,0,21,0,0,0,0,0,0,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wooncentrum Schutsmantel,0310::SB16,3723KR,1129,1011,0,0,0,0,1,871,139,0,0,0,0,0,0,1011,535,45,24,7,78,224,12,50,3,18,5,0,0,0,0,6,0,0,1,2,0,0,0,0,0,1
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Serviceflat Hobbemaflat,0310::SB17,3723GS,1256,1041,0,1,0,0,7,898,137,0,0,0,0,0,0,1042,506,32,41,5,100,206,32,51,5,41,7,0,3,1,1,5,0,0,1,2,0,1,0,1,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huize het Oosten,0310::SB18,3723BM,1771,1325,1,6,0,0,7,1213,112,0,0,0,0,0,0,1332,447,77,100,77,120,240,25,133,6,53,21,1,3,2,0,17,0,0,0,1,1,1,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woon- en zorgcentrum De Bremhorst,0310::SB19,3723BC,1440,1513,6,4,0,2,7,1408,110,0,0,0,2,0,0,1525,267,133,146,107,153,245,49,197,24,83,46,1,5,11,4,24,0,0,0,14,2,2,0,0,0,0
Utrecht,De Bilt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonstichting SSW,0310::SB20,3721WE,1451,962,2,4,0,0,2,890,78,0,0,0,2,0,0,970,108,87,122,128,84,110,14,152,2,45,20,0,2,52,1,22,0,0,0,5,3,2,0,1,0,2
