contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Oostendorp,0230::SB1,,1540,1334,0,3,0,1,5,1205,128,0,0,0,1,0,0,1338,225,35,107,49,299,56,290,26,182,9,16,2,5,0,0,24,0,0,1,1,2,1,0,0,4,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Nieuwe Feithenhof,0230::SB2,,2098,1178,1,2,0,0,6,1072,103,0,0,0,0,0,0,1181,265,32,107,56,238,66,188,40,130,16,26,0,1,1,1,7,0,0,0,1,0,1,0,1,0,0,1
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kulturhus 't Huiken,0230::SB3,,1868,1660,0,2,0,0,9,1532,121,0,0,0,0,0,0,1662,272,28,213,101,380,87,296,73,94,26,56,2,2,0,1,17,1,0,2,4,0,1,0,0,3,0,1
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Muziekschool De Spelerij,0230::SB4,,1644,1494,2,0,0,0,3,1354,139,0,0,0,0,0,0,1496,192,53,186,133,308,99,252,47,128,17,48,0,7,0,2,19,0,0,1,1,0,0,0,0,1,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghuis De Voord,0230::SB5,,1902,1558,1,5,0,0,3,1398,163,0,0,0,0,0,0,1564,259,33,151,91,330,71,370,56,116,17,36,1,6,0,1,13,1,0,0,1,1,0,0,1,3,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Deel,0230::SB6,,1912,1317,1,0,0,0,0,1177,141,0,0,0,0,0,0,1318,120,11,101,20,212,37,198,14,551,17,16,0,2,1,0,8,1,1,0,2,1,1,0,0,3,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Ons Huus,0230::SB7,,1509,1057,1,2,0,0,6,952,104,0,2,0,2,0,0,1062,121,15,88,26,133,38,182,16,394,13,15,0,6,0,0,5,0,0,1,2,0,1,0,0,1,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkontmoetingscentrum Jeanne d'Arc,0230::SB8,,1595,1185,0,0,0,1,3,1071,112,0,0,0,1,0,0,1186,220,53,130,53,244,81,222,35,78,24,30,0,1,0,0,7,0,0,0,1,1,0,2,0,3,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Mariposa,0230::SB9,,1655,1549,4,4,0,0,19,1395,143,0,0,0,0,0,0,1557,288,53,152,92,279,70,287,64,160,23,35,0,3,0,2,25,1,1,0,10,1,0,0,0,2,0,1
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau M.F.C. Aperloo,0230::SB10,,1593,1482,0,7,0,1,3,1367,118,0,0,1,0,0,0,1488,229,47,199,83,286,65,240,50,193,26,43,1,4,0,3,6,1,0,0,1,0,0,1,1,2,1,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Mobiel stembureau 1,0230::SB11,,0,527,0,1,0,0,4,472,52,0,0,0,0,0,0,528,112,16,54,24,105,37,81,12,54,12,10,0,3,0,0,6,0,0,0,1,0,0,0,0,0,0,0
Arnhem,Elburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Mobiel stembureau 2,0230::SB12,,0,437,0,1,1,0,1,395,43,0,0,0,1,0,0,439,54,2,35,10,51,12,55,4,200,6,3,0,0,0,0,3,0,0,0,0,0,1,0,0,1,0,0
