contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Libertarische Partij (LP),Lokaal in de Kamer
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau BP I, Cultuurcentrum De Wâldsang",0059::SB1,9285 RZ,1708,1360,0,3,0,0,6,1236,121,0,0,0,0,0,0,1363,159,92,103,120,333,107,234,108,25,25,24,0,3,0,2,22,1,0,0,1,1,0
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau BP II, Sociaal Cultureel Werk It Koartling",0059::SB2,9285 NE,1267,1029,2,0,0,0,3,938,90,0,0,0,0,0,0,1031,157,69,113,112,248,71,117,59,19,21,24,2,4,0,1,12,0,0,0,0,0,0
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau BP III, Zorgcentrum Haersmahiem",0059::SB3,9285 TR,1412,1418,1,4,0,0,3,1312,108,0,0,0,0,0,0,1423,152,115,98,115,397,97,237,93,25,25,33,0,2,0,3,21,1,0,0,3,1,0
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau SV I, Schoolgebouw De Bernebrêge",0059::SB4,9231 JJ,1551,1125,2,2,0,0,2,1022,105,0,0,0,0,0,0,1129,118,81,176,124,273,59,142,57,16,18,31,0,2,1,1,20,0,0,1,3,0,2
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau SV II, Zorgcentrum 't Suyderhuys",0059::SB5,9231 BB,1740,1297,3,4,0,0,4,1166,134,0,0,0,0,0,0,1304,198,134,133,112,380,66,130,48,16,12,38,1,1,0,5,15,0,0,1,3,0,4
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau SV III, Verenigingsgebouw De Lantearne",0059::SB6,9231 CA,1408,1349,1,4,0,5,2,1219,138,0,0,0,5,0,0,1359,152,91,242,167,340,59,131,60,7,25,37,2,5,1,7,20,1,0,0,2,0,0
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau HK I, Sporthal De Fûgelkamp",0059::SB7,9281 MA,1537,1074,0,2,0,0,0,929,147,0,0,0,0,0,0,1076,120,50,321,134,210,45,57,39,12,15,33,0,3,0,0,32,0,0,0,3,0,0
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau HK II, Sociaal Cultureel Werk Clubhuis",0059::SB8,9281 RD,1750,1301,2,0,0,0,0,1158,145,0,0,0,0,0,0,1303,125,81,321,206,262,53,85,38,13,24,43,2,3,0,2,40,1,0,0,1,0,1
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau KT, Multifunctionele Accommodatie Tillehûs",0059::SB9,9288 AM,1858,1388,1,2,0,2,1,1269,123,0,0,0,2,0,0,1393,146,93,281,203,255,63,131,60,25,24,46,4,3,1,6,40,3,1,0,2,0,1
Leeuwarden,Achtkarspelen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau TH, Dorpshuis De Jister",0059::SB10,9287 LC,1383,1043,0,2,0,0,1,910,134,0,0,0,0,0,0,1045,111,55,288,134,193,36,92,25,36,13,33,2,1,0,4,17,0,0,0,2,0,1
