contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Libertarische Partij (LP),Lokaal in de Kamer
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Gemeentehuis, Koningstraat 13 Dokkum",0058::SB1,,1381,1067,4,0,0,0,14,979,78,0,0,0,0,0,0,1071,198,80,102,126,197,111,56,80,8,35,40,0,6,0,2,22,0,2,0,2,0,0
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau CBS Eben Haëzer, Kweekschoolstraat 2 Dokkum",0058::SB2,,1277,1113,2,1,0,0,2,1041,75,0,0,0,2,0,0,1118,146,56,79,105,377,71,120,61,16,26,26,0,3,0,1,19,2,0,0,5,0,0
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Verzorgingshuis Dongeraheem, Dongeradyk 67 Dokkum",0058::SB3,,1268,1004,1,1,0,0,4,925,77,0,0,0,0,0,0,1006,106,73,93,100,317,84,91,58,16,18,22,3,7,1,1,8,1,0,0,5,0,0
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau CBS De Hoeksteen, Zwaluwstraat 49 Dokkum",0058::SB4,,1031,819,2,1,0,0,0,764,59,0,0,0,1,0,0,823,72,37,139,118,179,55,94,52,12,23,17,2,0,0,0,11,2,0,0,1,0,5
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau De Fontein, Op de Keppels 3 Dokkum",0058::SB5,,1231,974,1,2,0,0,0,903,74,0,0,0,0,0,0,977,87,54,116,124,274,60,102,65,11,28,27,0,3,0,3,13,1,2,1,3,0,0
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau CBS De Regenboog, Mearsloatswal 2 Dokkum",0058::SB6,,896,820,0,1,0,0,2,764,55,0,0,0,0,0,0,821,88,50,65,92,241,71,86,65,5,13,26,1,3,0,0,13,0,0,0,1,0,0
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Verpleeghuis De Waadwente, Birdaarderstraatweg 68 Dokkum",0058::SB7,,1732,1414,2,3,0,0,4,1312,103,0,0,0,0,0,0,1419,189,71,153,145,450,93,128,67,21,34,30,0,1,0,3,26,0,0,0,2,0,1
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau CBS De Bron, Kapellaan 5 Dokkum",0058::SB8,,1097,1041,1,0,0,0,3,945,94,0,0,0,0,0,0,1042,198,76,45,96,308,98,70,78,2,28,16,0,11,0,2,10,0,0,1,2,0,0
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau CBS De Eker, Burmaniastrjitte 1 A Anjum",0058::SB9,,876,716,0,1,0,0,15,635,67,0,0,0,0,0,0,717,68,29,118,51,271,31,32,30,18,14,22,0,2,1,0,26,0,0,0,1,0,2
Leeuwarden,Dongeradeel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Dorpshuis De Nije Pôle, Van Kleffenswei 6 A Raard",0058::SB10,,260,240,0,0,0,0,2,221,17,0,0,0,0,0,0,240,27,13,12,13,81,23,28,25,5,1,2,0,0,0,0,7,1,0,0,2,0,0
