contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0153::SB1,,1769,1791,4,7,0,18,22,1665,133,0,0,0,18,0,0,1820,336,101,131,144,146,406,36,300,5,76,26,1,5,16,3,36,0,1,2,19,1,0,0
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS Het Zeggelt,0153::SB2,,1192,1122,1,2,0,2,6,1048,73,0,0,0,2,0,0,1127,231,71,91,83,107,216,23,184,1,55,12,0,5,14,0,17,0,0,0,10,2,0,0
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS La Res,0153::SB3,,1693,1084,6,1,0,0,0,1015,76,0,0,0,0,0,0,1091,187,63,153,117,91,185,45,111,5,40,22,1,3,27,0,23,1,0,1,7,0,2,0
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS Freinet,0153::SB4,,1667,1195,1,5,0,0,0,1120,81,0,0,0,0,0,0,1201,121,84,144,169,84,207,26,181,4,57,18,1,1,54,2,19,1,0,1,16,2,0,3
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau AriënsZorgpalet De Eschpoort,0153::SB5,,1553,1179,0,4,0,0,5,1094,84,0,0,0,0,0,0,1183,218,100,121,125,201,118,87,83,13,36,37,2,4,5,2,18,1,1,1,4,0,0,2
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Wedemhoff,0153::SB6,,1142,743,1,2,2,0,7,695,46,0,0,0,2,0,0,748,144,56,89,68,94,102,23,76,0,26,33,0,0,5,1,16,0,0,2,7,1,0,0
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Speeltuin Hoogeland,0153::SB7,,1678,1128,0,6,0,4,3,1039,96,0,0,0,4,0,0,1138,156,49,147,146,127,149,41,124,7,41,25,0,3,77,2,24,0,0,0,7,1,0,2
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zuider Speeltuin,0153::SB8,,1595,1515,1,2,1,0,7,1415,97,0,0,0,1,0,0,1519,235,103,205,196,187,200,40,155,4,52,36,1,4,57,2,31,0,0,1,3,1,2,0
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Medisch Spectrum Twente,0153::SB9,,1622,1690,0,5,0,0,23,1517,155,0,0,0,0,0,0,1695,328,102,192,163,159,326,51,187,4,41,26,1,5,57,1,30,0,1,1,10,2,2,1
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau International School Twente,0153::SB10,,1801,1116,1,1,0,9,4,1037,86,0,0,0,9,0,0,1127,158,78,167,141,91,180,32,127,10,40,14,1,2,33,1,25,1,0,1,12,0,1,1
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Saxion,0153::SB11,,1858,2135,7,7,0,3,42,1980,130,0,0,0,3,0,0,2152,396,111,109,189,178,506,59,341,13,84,15,2,8,33,0,60,0,0,4,21,1,1,4
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Noordmolen,0153::SB12,,1714,1626,3,4,0,0,21,1492,120,0,0,0,0,0,0,1633,327,90,126,133,166,316,27,234,4,79,20,1,7,34,2,35,0,0,1,20,3,0,1
Zwolle,Enschede,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkvoorziening Lumen,0153::SB101,,1770,1463,0,8,0,0,2,1342,127,0,0,0,0,0,0,1471,144,69,389,190,122,135,34,134,1,58,31,1,6,107,0,24,0,0,2,14,0,0,2
