contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Cultureel Centrum Zuidhorn,0056::SB1,9801 CG,1120,1288,2,1,0,0,8,1204,79,0,0,0,0,0,0,1291,160,121,73,160,186,133,220,140,21,36,12,0,4,0,0,15,1,1,0,2,1,1,0,1
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0056::SB2,9801 AJ,965,1221,5,1,0,1,6,1118,105,0,1,0,2,0,0,1229,181,105,65,94,161,171,185,169,10,39,12,0,6,3,0,10,1,0,2,6,1,0,0,0
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Dörpsstee,0056::SB3,9804 RL,1123,919,2,1,0,0,2,828,92,0,0,0,0,0,0,922,89,60,56,94,138,97,190,119,34,18,10,1,1,0,1,9,0,0,0,1,0,0,0,1
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zonnehuis locatie Oostergast,0056::SB4,9801 VG,1370,963,0,0,0,0,6,869,88,0,0,0,0,0,0,963,190,73,33,51,164,139,168,87,12,17,14,0,2,0,1,7,0,0,1,2,1,0,0,1
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Eiberhof,0056::SB5,9801 HB,1203,595,0,1,0,0,0,562,34,0,0,0,0,0,0,596,84,42,45,50,109,68,91,58,13,7,16,0,3,0,2,5,1,0,0,0,0,0,0,1
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Wierde,0056::SB6,9843 EJ,1060,953,4,3,0,0,4,880,76,0,0,0,0,0,0,960,143,65,66,97,233,97,91,81,16,18,20,4,2,1,1,14,1,2,0,0,1,0,0,0
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Lauwerscollege,0056::SB7,9843 BG,1064,826,1,3,0,0,0,757,74,0,1,0,1,0,0,831,138,56,77,68,208,76,70,66,14,16,22,1,2,0,0,10,0,0,1,0,0,1,0,0
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Bartoleshûs,0056::SB8,9845 AK,262,227,0,0,0,0,3,209,15,0,0,0,0,0,0,227,25,11,17,20,68,18,14,21,6,11,6,0,1,0,0,7,0,0,0,1,1,0,0,0
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Wending,0056::SB9,9844 PE,171,152,0,2,0,0,0,143,11,0,0,0,0,0,0,154,9,8,32,17,34,12,7,18,3,8,0,0,0,0,0,0,0,0,0,3,0,1,0,0
Groningen,Zuidhorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Soltketen,0056::SB10,9881 PA,429,382,2,0,0,0,0,354,30,0,0,0,0,0,0,384,66,15,55,53,82,26,19,23,9,11,10,2,0,0,1,6,0,1,0,2,0,0,1,0
