contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij (VDP)
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw De Wurf,0532::SB1,1614 SH,1876,1566,6,3,0,1,3,1444,129,0,0,0,1,0,0,1576,490,64,223,118,301,144,7,61,2,30,77,6,7,1,5,20,2,0,0,3,0,1,4,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Stek,0532::SB2,1613 LA,1925,1599,4,1,0,2,5,1475,122,0,0,2,0,0,0,1602,568,75,165,91,226,182,27,87,5,49,62,1,12,2,1,35,0,0,0,4,2,1,2,2
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0532::SB3,1611 KW,1490,1457,2,3,0,0,5,1339,118,0,0,0,0,0,0,1462,331,75,197,155,219,145,21,126,5,47,70,1,13,2,2,36,1,0,0,7,1,1,2,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Klimop,0532::SB4,1611 JH,1837,1580,0,5,0,1,0,1457,127,0,0,1,0,0,0,1584,497,78,201,125,224,201,16,86,3,34,52,2,8,1,2,39,2,0,0,4,1,1,3,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stichting Het Vereenigingsgebouw,0532::SB5,1611 AM,1773,1332,0,4,0,6,3,1335,4,0,0,0,6,0,0,1342,374,78,173,108,211,159,8,77,5,29,51,5,2,12,1,31,1,0,1,5,1,0,0,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Vierspan locatie De Wendel,0532::SB6,1611 XE,1558,1074,3,2,0,1,0,987,93,0,0,0,0,0,0,1080,218,54,182,137,119,110,20,82,7,32,60,1,11,2,3,27,1,1,0,3,0,0,3,1
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Peuterspeelzaal Nijntje Pluis,0532::SB7,1611 ZB,1197,1149,2,5,0,0,0,1088,68,0,0,0,0,0,0,1156,216,63,195,157,136,122,10,81,10,47,63,1,7,0,1,31,1,2,0,1,1,2,1,1
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau SBO 't Palet Bovenkarspel,0532::SB8,1611 WS,1685,1250,3,6,0,2,4,1161,92,0,0,2,0,0,0,1257,220,75,229,171,129,113,15,90,7,47,76,0,9,16,2,33,3,0,1,9,2,1,2,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau R.K. Jenaplan Basisschool De Hussel,0532::SB9,1613 AL,1547,1183,1,7,0,1,0,1095,97,0,0,0,1,0,0,1192,219,87,214,145,113,132,27,92,3,32,64,2,12,11,6,16,1,1,0,4,1,1,0,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Vierspan locatie De Woud,0532::SB10,1613 EV,1440,1115,1,2,0,0,4,1033,81,0,0,0,0,0,0,1118,231,53,209,148,117,119,23,95,5,34,45,0,8,4,1,18,0,0,0,4,0,1,0,0
Den Helder,Stede Broec,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Mobiel stembureau,0532::SB11,,0,95,0,1,1,0,2,93,1,0,0,0,0,0,0,96,19,7,10,6,34,6,1,5,0,2,4,0,0,0,0,1,0,0,0,0,0,0,0,0
