contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,PvdA,PVV,SP,CDA,D66,ChristenUnie,GroenLinks,SGP,Partij voor de Dieren,50 Plus,OndernemersPartij,VoorNederland,DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stadhuis,0439::SB1,,1817,1859,2,17,0,0,5,1721,154,0,0,2,0,2,1880,453,134,264,144,181,217,22,202,3,64,68,7,8,18,1,40,0,2,1,14,12,1,3,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,De Avondzon,0439::SB2,,1783,1346,1,4,0,3,0,1254,92,0,0,0,2,0,1346,328,78,195,109,87,184,17,147,9,71,59,2,4,6,2,25,2,0,0,7,11,2,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Bibliotheek Purmerend,0439::SB3,,1930,1619,8,6,0,1,3,1472,157,0,0,0,0,0,1632,261,101,284,163,131,202,23,188,2,74,88,2,10,9,3,43,1,0,2,7,21,2,2,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"De Zorgcirkel, locatie De Viervorst",0439::SB4,,1284,1101,1,3,0,0,4,1027,74,0,0,0,0,0,1105,240,80,210,97,98,104,9,95,0,45,82,4,6,0,1,23,0,0,2,2,1,0,2,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Verzorgingshuis De Tien Gemeenten,0439::SB5,,1198,1064,2,12,0,0,4,1074,1,1,0,1,0,0,1079,251,76,129,89,132,117,11,98,3,34,72,1,2,15,4,25,0,0,0,1,2,0,2,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Obs 't Carrousel,0439::SB6,,1841,1268,1,9,0,1,0,1178,101,0,0,1,0,0,1279,179,90,287,138,65,121,18,134,3,68,61,1,5,43,3,23,3,1,1,10,12,1,0,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Bets Frijlingschool,0439::SB7,,1274,904,1,6,0,1,0,844,68,0,0,1,0,0,912,152,68,171,98,71,82,21,80,3,34,50,7,9,15,2,30,1,0,0,6,3,1,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"De Zorgcirkel, locatie Novawhere",0439::SB8,,1488,1008,2,3,0,2,4,916,95,0,0,2,0,0,1015,260,76,145,69,115,112,18,76,0,39,44,3,6,22,0,18,0,0,0,3,2,0,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"De Zorgcirkel, Jaap van Praag",0439::SB9,,1131,1167,6,5,0,0,3,1104,72,1,0,1,0,0,1179,246,116,169,86,136,133,19,79,4,48,74,0,3,9,2,31,2,0,0,6,1,2,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Wijkcentrum De Inval,0439::SB10,,1729,1100,6,5,0,1,4,1033,75,0,0,1,0,0,1112,199,89,162,111,113,135,11,106,2,37,59,1,7,11,2,35,2,0,1,9,6,1,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Lijn 5,0439::SB11,,1824,1105,0,3,0,0,1,1002,105,0,0,0,0,0,1108,195,97,205,102,116,124,19,98,2,47,40,4,8,13,1,19,0,0,0,11,1,2,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Wijkplein Where,0439::SB12,,1418,1573,2,14,0,2,3,1469,119,0,0,2,0,0,1591,239,119,312,192,137,137,33,146,9,53,110,1,8,20,5,29,0,0,2,4,10,5,1,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Prinsenstichting, locatie Rudolf Garrel",0439::SB13,,1207,599,0,0,0,0,0,559,40,0,0,0,0,0,599,95,45,128,67,49,54,13,48,2,26,41,1,2,3,5,10,1,0,0,4,3,0,2,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Obs Wheermolen,0439::SB14,,1420,1039,3,4,0,1,1,969,77,0,0,1,0,0,1047,160,76,204,109,82,114,24,113,4,39,42,3,3,26,1,19,3,1,0,5,10,1,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Hengelsportvereniging HSV XI,0439::SB15,,1373,846,0,4,0,1,2,775,74,0,0,1,0,0,851,124,77,186,100,53,85,19,85,2,25,44,1,3,12,1,15,1,0,0,4,7,1,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Waterlandschool,0439::SB16,,1739,1330,0,3,0,0,0,1214,119,0,0,0,0,0,1333,285,94,193,114,81,170,14,155,1,71,80,1,11,5,3,30,0,1,1,12,7,0,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Waterlandziekenhuis,0439::SB17,,1725,1713,0,3,0,3,11,1528,174,0,0,0,0,0,1713,332,117,307,199,130,208,19,175,1,61,81,1,12,14,2,27,0,0,0,11,8,7,0,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Prinsenstichting, locatie Hoornblad",0439::SB18,,1853,1362,1,2,0,0,4,1238,119,0,0,0,4,0,1361,251,113,275,120,119,140,18,120,1,47,70,0,11,6,11,38,1,1,3,5,6,3,3,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Korfbalvereniging Purmer,0439::SB19,,1701,917,1,1,0,1,1,829,90,0,0,1,0,0,920,118,53,249,117,54,64,9,83,2,39,65,2,4,5,1,41,1,0,0,3,7,0,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Buurtcentrum Gildeplein,0439::SB20,,1770,1766,4,6,0,0,4,1618,154,0,0,0,0,0,1776,279,97,440,229,91,143,34,156,4,82,109,5,6,17,5,23,2,1,0,13,26,3,0,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Obs De AkkerDijk,0439::SB21,,1675,1327,3,3,0,3,1,1216,119,0,0,3,0,0,1336,225,81,296,157,80,131,17,118,3,44,76,4,13,10,4,39,0,0,1,11,15,0,2,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Kinderdagverblijf Kabouterbos,0439::SB22,,1887,1143,0,5,1,0,1,1026,120,0,0,0,0,0,1147,249,54,278,100,84,119,33,70,1,54,50,1,6,8,1,28,0,1,0,3,3,0,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Oec. Basisschool De Toermalijn,0439::SB23,,1387,771,2,4,0,5,0,703,79,0,0,5,0,0,782,135,50,205,83,44,72,13,71,0,17,39,0,6,4,0,22,0,0,0,3,6,0,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Oec. Basisschool De Toermalijn,0439::SB24,,1365,1067,1,3,0,3,2,984,88,0,0,3,0,0,1074,207,56,267,95,80,101,13,98,2,30,64,3,2,7,1,26,1,0,0,2,9,2,0,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,OBS De Boemerang,0439::SB25,,1466,1025,5,5,0,0,2,946,87,0,0,0,0,0,1035,137,80,240,154,48,88,10,94,1,52,46,2,8,13,4,21,0,0,3,9,11,1,3,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Obs De Delta,0439::SB26,,1439,1101,0,4,0,19,3,974,109,0,0,0,0,0,1086,235,65,277,91,69,115,9,64,2,31,68,1,5,18,3,22,2,0,5,3,13,3,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Oec. Basisschool Het Baken,0439::SB27,,1322,1044,3,3,0,0,0,971,79,0,0,0,0,0,1050,262,57,170,109,83,124,22,77,2,38,52,1,5,6,0,21,0,0,0,7,5,3,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Squash en Fitness Purmerend,0439::SB28,,1404,877,1,3,0,3,2,795,87,0,0,3,0,0,884,280,54,127,54,94,125,4,60,0,19,33,0,4,0,0,19,0,0,0,2,1,0,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Kinderopvang Zuidpool,0439::SB29,,1372,927,0,1,0,0,0,840,88,0,0,0,0,0,928,265,69,200,67,66,96,10,58,0,26,38,1,4,2,0,19,1,0,0,4,0,0,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Oec. Basisschool De Vlieger,0439::SB30,,1794,1612,0,4,0,0,5,1442,170,0,0,1,0,1,1617,417,87,323,129,125,173,17,107,0,52,91,4,5,2,1,47,1,2,2,8,13,0,5,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"De Zorgcirkel, locatie Molentocht",0439::SB31,,1547,1673,0,9,0,0,9,1496,177,0,0,0,0,0,1682,422,105,320,143,123,194,18,109,4,51,109,3,5,10,5,43,0,0,0,3,4,1,0,1
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Obs De Koempoelan,0439::SB32,,1878,1751,3,11,0,3,9,1600,159,0,0,3,0,0,1768,479,91,325,123,139,218,31,110,3,48,60,9,6,38,3,35,0,0,0,6,26,1,0,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"De Zorgcirkel, locatie Zuidland",0439::SB33,,1480,1000,3,4,0,2,4,911,94,0,0,2,0,0,1009,265,54,184,76,91,108,12,81,1,28,43,5,7,12,2,19,0,0,0,7,3,1,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Oec. Basisschool De Marimba,0439::SB34,,1636,1359,3,3,0,2,1,1205,161,0,0,2,0,0,1367,333,56,255,97,86,164,23,133,1,41,58,1,17,35,1,27,0,0,0,6,20,1,4,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Obs De Nieuwe Wereld,0439::SB35,,1829,1574,2,8,0,0,1,1434,149,0,0,0,0,0,1584,438,90,270,82,121,194,33,138,4,48,61,0,5,15,2,43,1,1,1,5,17,2,3,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Gebouw De Nijl,0439::SB36,,1674,1604,0,4,0,0,3,1443,162,0,0,0,0,0,1608,507,93,234,120,123,193,14,97,4,47,63,2,7,25,2,39,0,1,0,4,27,1,1,0
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"De Zorgcirkel, locatie Woonstate",0439::SB37,,1988,1278,3,5,0,0,2,1143,141,0,0,0,0,0,1286,384,82,219,68,121,154,15,85,1,29,45,2,5,25,5,20,1,0,1,3,10,0,1,2
Den Helder,Purmerend,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Brede School De Weide,0439::SB38,,2404,1696,0,7,0,0,9,1489,205,0,0,0,0,0,1703,488,97,270,106,129,206,13,104,2,59,73,4,10,51,2,52,3,3,0,8,11,4,1,0
