contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Libertarische Partij (LP),Lokaal in de Kamer
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0074::SB1,,1070,1434,1,3,0,0,19,1282,137,0,0,0,0,0,0,1438,249,164,142,174,159,201,36,164,3,47,37,2,1,9,2,30,3,0,2,9,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Marienbosch,0074::SB2,,1310,867,2,3,0,0,6,807,59,0,0,0,0,0,0,872,163,96,78,81,126,116,41,63,3,36,27,0,7,3,3,20,0,0,0,3,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau van Maasdijkschool,0074::SB3,,1300,1122,2,2,0,3,4,1035,90,0,0,0,3,0,0,1129,208,107,108,154,125,163,27,117,6,23,34,0,13,3,2,22,1,2,1,4,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymnastieklokaal de Optimist,0074::SB4,,1245,892,6,2,2,0,2,839,61,0,0,0,2,0,0,902,144,79,73,104,121,106,50,127,6,29,20,2,4,0,0,21,1,0,0,4,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymnastieklokaal de Optimist,0074::SB5,,1289,1101,0,3,0,8,1,1036,75,0,0,0,8,0,0,1112,211,123,117,102,155,137,46,114,3,29,30,0,2,4,0,22,0,0,0,6,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Serviceflat Heerenhage,0074::SB6,,1131,882,0,5,0,0,1,832,54,0,0,0,0,0,0,887,151,98,74,134,98,106,22,88,6,26,22,2,3,24,4,13,3,0,1,6,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum de As,0074::SB7,,1207,1184,0,7,4,0,4,1102,81,0,0,0,0,0,0,1187,151,92,155,197,111,124,66,130,0,30,36,2,5,41,8,28,0,0,2,5,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Rinkelbom,0074::SB8,,1092,690,1,0,0,0,3,637,51,0,0,0,0,0,0,691,111,69,73,86,79,75,25,81,2,21,25,0,0,18,0,19,2,0,0,3,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Atlas,0074::SB9,,1015,711,1,3,0,0,0,675,40,0,0,0,0,0,0,715,83,80,55,84,101,87,60,89,1,16,22,3,2,11,2,10,0,0,1,2,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Coornhertstate,0074::SB10,,1162,1040,4,1,0,0,2,974,69,0,0,0,0,0,0,1045,149,136,105,139,140,113,64,95,5,28,30,0,2,11,4,13,1,0,2,2,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau kantine HHC Quick Stick,0074::SB11,,1363,1147,0,0,0,2,4,1037,108,0,0,0,2,0,0,1149,457,95,44,37,172,181,36,71,5,14,14,1,2,0,2,16,0,0,0,0,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau mfa de Akkers,0074::SB12,,1208,1050,1,1,0,0,4,980,68,0,0,0,0,0,0,1052,173,127,111,120,139,140,57,87,3,30,27,1,2,18,2,9,1,0,0,3,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau zorgcentrum Heremastate,0074::SB13,,1251,938,0,1,0,0,5,857,78,0,1,0,1,0,0,940,147,84,139,139,131,74,28,88,2,33,41,1,4,0,3,15,1,0,1,5,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau serviceflat Oranjewoud,0074::SB14,,1088,854,2,1,0,0,1,788,68,0,0,0,0,0,0,857,149,108,70,97,136,86,31,86,6,33,31,2,2,1,3,11,0,0,0,0,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau wijkcentrum de Kempenaer,0074::SB15,,1073,828,2,3,0,5,3,776,59,0,0,0,5,0,0,838,122,94,123,130,90,72,31,83,3,23,22,0,2,16,2,9,0,0,1,3,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Tellepark,0074::SB16,,1227,957,2,7,0,0,0,903,63,0,0,0,0,0,0,966,131,127,113,128,115,81,28,75,7,27,47,0,3,48,5,19,0,0,0,2,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau sint Jozefschool,0074::SB17,,1043,658,5,2,0,0,1,641,23,0,0,0,0,0,0,665,79,83,93,119,63,49,16,75,2,26,27,3,1,7,0,10,2,0,0,2,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Heerenveense School,0074::SB18,,1193,831,2,5,0,4,0,800,42,0,0,0,4,0,0,842,101,116,105,131,102,102,10,80,0,22,35,0,1,9,0,12,0,0,0,4,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau kanrine VV Heerenveen,0074::SB19,,1435,1340,0,0,0,0,7,1242,91,0,0,0,0,0,0,1340,451,107,78,62,185,199,53,127,3,29,17,1,2,5,2,15,0,0,0,3,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Spil,0074::SB20,,1276,1335,4,2,0,1,2,1242,98,0,0,0,1,0,0,1342,367,125,71,74,191,224,65,110,2,33,23,3,8,5,1,25,1,0,0,5,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau it Trefpunt,0074::SB21,,1050,928,0,0,0,0,8,851,69,0,0,0,0,0,0,928,245,93,76,69,149,117,34,82,7,24,18,0,1,1,2,7,0,0,0,3,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau dorpshuis de Kiekenhof,0074::SB22,,1168,885,1,4,0,1,4,807,80,0,0,0,1,0,0,891,168,161,82,74,145,86,29,58,7,29,23,3,0,0,2,17,0,0,0,1,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau dorpshuis de Kiekenhof,0074::SB23,,853,730,0,0,1,0,1,672,58,0,0,0,1,0,0,731,136,107,65,77,109,79,31,50,4,23,27,2,4,0,4,11,0,0,0,1,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau het Streekcentrum,0074::SB24,,837,651,0,3,0,0,0,590,64,0,0,0,0,0,0,654,90,62,90,117,88,61,12,63,2,22,19,0,5,1,2,15,0,0,0,1,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau dorpshuis it Pipegaeltsje,0074::SB25,,639,489,3,0,0,0,0,439,53,0,0,0,0,0,0,492,108,36,48,67,90,47,5,36,2,20,18,2,0,0,2,5,0,0,0,3,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Kompenije,0074::SB26,,955,633,2,1,0,0,2,559,75,0,0,0,0,0,0,636,63,62,131,174,52,41,6,50,1,14,24,0,2,0,3,6,0,0,0,3,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Kompenije,0074::SB27,,839,660,1,2,0,0,2,602,59,0,0,0,0,0,0,663,92,70,112,190,60,40,7,35,5,15,16,3,3,0,1,8,2,0,0,1,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Barte,0074::SB28,,1234,1192,3,1,0,0,4,1112,80,0,0,0,0,0,0,1196,264,107,114,132,183,132,37,114,1,23,41,2,4,0,5,26,0,0,0,3,0,4
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hartmanshus,0074::SB29,,1302,1115,0,6,0,0,6,1035,80,0,0,0,0,0,0,1121,238,97,109,120,173,137,42,97,9,20,31,2,4,0,4,25,4,0,0,3,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau verzorgingscentrum Leppehiem,0074::SB30,,1042,952,1,1,0,0,4,890,60,0,0,0,0,0,0,954,179,133,63,115,124,106,12,127,1,34,28,2,4,0,5,13,1,0,0,5,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau obs Akkrum,0074::SB31,,1301,1221,0,1,7,0,6,1111,112,0,0,0,7,0,0,0,343,104,86,92,188,175,31,121,1,23,22,2,5,1,6,16,1,1,1,2,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau dorpshuis de Jister,0074::SB32,,1156,941,2,3,0,0,0,871,75,0,0,0,0,0,0,946,186,79,73,98,199,102,30,69,15,21,30,11,5,0,4,14,1,0,1,1,0,2
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau it Deelshus,0074::SB33,,589,435,0,1,0,1,0,399,38,0,0,0,1,0,0,437,69,43,54,53,74,52,16,39,1,14,14,0,1,0,1,3,0,0,0,1,0,0
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Lantearne,0074::SB34,,1027,676,0,0,0,0,2,635,39,0,0,0,0,0,0,676,155,89,61,72,90,78,15,59,1,23,14,4,3,0,0,10,0,0,0,1,0,1
Leeuwarden,Heerenveen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau meester Duisterhoutschool,0074::SB35,,1013,421,0,1,0,0,3,336,83,0,0,0,0,0,0,422,126,25,29,39,55,68,7,46,0,9,6,1,0,2,0,7,0,0,0,1,0,0
