contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij (VDP)
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau ""Bethelkerk""",0400::SB1,,1447,1042,3,3,0,2,16,952,82,0,0,0,2,0,0,1050,182,54,212,93,103,92,37,86,11,36,54,0,15,7,1,44,1,1,1,9,1,0,1,1
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau ""Bethelkerk""",0400::SB2,,1426,1023,3,6,0,0,8,928,96,0,0,0,0,0,0,1032,194,64,203,111,122,81,26,73,5,40,43,3,10,1,1,30,0,1,0,8,0,2,4,1
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Buurthuis Centrum,",0400::SB3,,1410,985,5,3,0,0,16,912,65,0,0,0,0,0,0,993,161,53,254,99,75,77,24,69,6,49,54,2,6,0,4,40,1,0,1,8,0,1,1,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Buurtvereniging ""t Kraaiennest""",0400::SB4,,1725,1249,7,6,1,2,4,1163,98,0,0,0,3,0,0,1265,246,95,269,102,123,97,24,87,9,61,67,2,12,2,6,33,2,0,1,11,0,0,0,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Triade,0400::SB5,,1075,862,1,0,0,1,5,787,72,0,0,0,1,0,0,864,180,63,139,70,110,78,33,70,7,33,35,1,9,2,1,23,3,0,0,3,0,0,2,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Buurtvereniging ""ELTO""",0400::SB6,,1484,1212,2,7,0,0,4,1116,101,0,0,0,0,0,0,1221,189,69,306,98,125,93,43,90,10,45,74,0,6,14,0,36,1,0,0,4,2,1,6,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Buurthuis ""De Viskom""",0400::SB7,,1648,1097,1,0,0,4,8,987,107,0,0,0,4,0,0,1102,162,54,324,115,95,66,45,63,21,36,53,1,13,1,3,30,1,1,4,5,0,0,2,2
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Buurthuis ""De Overzet""",0400::SB8,,1382,1060,3,3,0,0,2,967,97,0,0,0,0,0,0,1066,210,43,185,98,153,96,39,75,22,32,45,2,8,0,4,40,0,1,0,5,0,0,1,1
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Dorpshuis Huisduinen,",0400::SB9,,434,446,0,0,0,0,9,436,1,0,0,0,0,0,0,446,159,26,34,15,54,45,10,36,5,36,12,1,2,0,0,11,0,0,0,0,0,0,0,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Zorgcentrum ""de Groene Vecht""",0400::SB10,,1817,1207,8,4,0,0,2,1113,104,0,0,0,0,0,0,1219,238,77,263,108,126,95,45,76,8,39,50,3,15,12,0,41,0,1,0,4,4,1,1,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Amateur tuindersver. ""Texelstroom""",0400::SB11,,1816,1284,3,4,0,0,3,1178,110,0,0,0,0,0,0,1291,250,77,247,110,137,107,61,86,21,35,84,0,13,5,1,41,0,0,2,4,1,1,1,0
Den Helder,Den Helder,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Muziekvereniging ""Winnubst""",0400::SB13,,1618,1246,3,8,2,0,1,1151,103,0,0,2,0,0,0,1255,252,77,212,79,182,142,46,78,11,40,78,1,9,2,1,32,0,1,0,1,1,1,0,0
