contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum De Beemden,0845::SB1,5271 BH,1503,1172,1,3,0,0,0,1083,93,0,0,0,0,0,0,1176,246,76,182,165,179,149,5,72,1,34,31,0,4,3,0,16,0,0,1,5,2,0,0,0,1
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau BINT voor welzijn & ondersteuning,0845::SB2,5271 SG,1392,1072,2,2,0,0,1,952,123,0,0,0,0,0,0,1076,286,34,149,109,152,148,10,84,0,29,38,1,4,1,3,19,0,0,2,2,0,0,0,1,0
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Party 's & Meetings Absoluut,0845::SB3,5271 AL,1528,1374,0,5,0,0,1,1247,131,0,0,0,0,0,0,1379,302,62,232,174,160,167,8,119,1,38,49,4,9,1,2,29,0,0,0,9,0,2,0,5,1
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0845::SB4,5271 GC,1040,1098,4,1,0,0,5,1006,92,0,0,0,0,0,0,1103,257,60,131,111,151,183,12,98,0,29,29,0,3,3,1,22,0,0,0,5,0,0,0,1,2
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Huif,0845::SB5,5271 GT,1117,923,3,3,0,0,2,853,74,0,0,0,0,0,0,929,241,56,121,133,111,99,4,72,1,22,27,0,2,0,2,15,2,1,1,3,1,0,0,8,1
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Theereheide,0845::SB6,5271 RR,1354,1105,2,1,0,0,3,1009,96,0,0,0,0,0,0,1108,406,48,67,86,185,174,14,63,2,23,19,2,5,0,0,9,0,0,0,1,0,1,0,0,0
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Kei,0845::SB7,5291 AB,1719,1363,1,1,0,0,8,1219,138,0,0,0,0,0,0,1365,322,41,220,152,263,137,12,87,2,31,56,4,7,0,2,17,0,0,1,6,0,0,0,3,0
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Café 't Trefpunt,0845::SB8,5275 JC,1776,1276,0,3,0,0,2,1150,127,0,0,0,0,0,0,1279,349,61,189,136,193,187,11,69,0,22,35,1,4,0,0,15,0,0,0,3,0,0,0,1,0
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Herberg De Kieppekooi,0845::SB9,5271 TN,1568,963,0,3,0,0,6,868,92,0,0,0,0,0,0,966,264,33,143,108,194,93,10,62,0,17,25,0,1,0,0,12,0,0,0,0,1,0,0,0,0
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Litserborg,0845::SB10,5275 BW,1737,1791,6,5,0,0,2,1637,163,0,0,0,0,0,0,1802,407,78,209,236,293,250,9,150,0,49,66,0,9,3,3,24,0,0,0,2,0,1,0,0,2
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vivent Berlerode,0845::SB11,5258 HH,1587,881,3,2,0,0,2,814,70,0,0,0,0,0,0,886,223,38,101,132,153,91,5,68,1,15,35,2,2,0,0,15,0,0,0,0,0,0,0,0,0
's-Hertogenbosch,Sint-Michielsgestel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool Theresia,0845::SB12,5258 AG,1572,1451,1,2,0,0,6,1277,171,0,0,0,0,0,0,1454,439,81,155,145,216,225,11,98,1,25,25,1,5,1,0,18,0,0,0,5,0,0,0,0,0
