contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP)
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis Park Dersaborg,0994::SB1,6301 HC,1397,1266,4,1,0,0,35,1107,129,0,0,0,0,0,0,1271,250,63,221,117,211,138,6,99,0,60,56,3,2,7,1,29,0,0,0,2,1,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Polfermolen,0994::SB2,6301 GM,1074,907,3,2,0,0,21,803,88,0,0,0,0,0,0,912,287,29,162,58,116,79,6,62,3,32,30,3,1,1,0,36,0,0,0,1,0,1,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Oosterbeemd,0994::SB3,6301 ZZ,1337,916,6,2,0,0,8,809,107,0,0,0,0,0,0,924,198,32,197,97,130,85,5,61,2,31,51,0,2,0,2,21,0,0,1,1,0,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hotel Op de Boud,0994::SB4,6301 XX,1383,1008,2,0,0,0,5,895,110,0,0,0,0,0,0,1010,189,41,248,92,161,105,7,58,1,25,47,0,3,4,1,23,0,0,0,1,0,2,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis De Beemde,0994::SB5,6301 WJ,1173,924,0,2,0,0,11,843,72,0,0,0,0,0,0,926,158,46,180,126,143,91,6,57,0,27,56,0,1,0,0,25,1,0,3,3,1,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis De Blokhut,0994::SB6,6301 AT,1049,888,4,2,0,0,1,793,100,0,1,0,0,0,0,894,164,29,156,107,141,117,5,82,1,26,35,0,3,0,0,20,0,1,0,1,0,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Holle Eik,0994::SB7,6301 JZ,1214,932,5,3,0,0,13,816,111,0,0,0,0,0,0,940,194,43,161,88,157,117,12,60,2,24,43,0,1,2,1,24,0,0,0,2,0,1,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis 't Geboew,0994::SB8,6305 AZ,1392,1196,1,3,0,0,34,1054,114,0,2,0,2,0,0,1202,236,58,158,153,223,118,8,90,1,56,65,0,6,0,1,17,3,0,0,3,0,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis 't Voske,0994::SB9,6325 EC,1798,1528,1,3,0,0,14,1348,171,0,1,0,1,0,0,1533,321,53,234,147,306,218,14,100,1,38,55,0,2,0,3,33,0,0,0,3,0,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Fonterhof,0994::SB10,6325 BR,1013,834,0,2,0,0,1,746,89,0,0,0,0,0,0,836,148,32,168,96,147,90,5,40,1,20,62,1,3,0,1,14,0,0,1,4,1,0,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis Cascade Vilt,0994::SB11,6325 AX,711,596,0,0,0,0,1,534,61,0,0,0,0,0,0,596,118,18,118,64,85,73,6,47,0,15,32,1,5,0,0,10,0,1,1,1,0,1,0
Maastricht,Valkenburg aan de Geul,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Mobiel Stembureau,0994::SB12,,175,106,0,0,0,0,93,11,2,0,0,0,0,0,0,106,31,4,9,11,23,12,6,6,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0
