contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Villa Flora,0534::SB1,2181 EB,1601,1899,3,6,0,4,7,1738,167,0,0,0,4,0,0,1912,513,100,258,129,250,231,37,151,10,61,72,2,14,7,1,50,1,2,0,8,0,0,1,0,1
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw De Drempel,0534::SB2,2182 EM ,1807,1104,1,2,0,1,1,984,123,0,0,0,1,0,0,1108,342,62,141,50,173,97,13,71,14,41,48,5,7,1,0,28,0,0,0,7,2,0,1,1,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw De Bestemming,0534::SB3,2181 SW  ,1486,976,1,4,0,0,3,903,75,0,0,0,0,0,0,981,237,50,157,76,112,104,19,82,1,28,46,2,9,26,1,25,1,0,0,0,0,0,0,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Hoeksteen,0534::SB4,2182 XC,1432,1295,0,7,2,0,1,1179,120,0,0,2,0,0,0,1300,431,59,189,63,139,151,34,75,10,43,43,2,6,3,1,36,0,0,1,7,1,1,0,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kulturele Raad Hillegom,0534::SB5,2181 CZ,1299,1075,2,4,0,2,1,990,92,0,0,0,2,0,0,1083,322,48,153,72,119,126,15,90,2,32,36,1,4,5,0,37,2,3,0,6,2,0,0,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Bloemswaard,0534::SB6,2182 LA ,1422,1166,1,4,0,4,0,1063,104,0,0,4,0,0,0,1167,269,66,161,96,188,117,29,72,5,35,80,1,6,6,4,29,0,0,0,0,0,0,0,2,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Leerwinkel,0534::SB7,2181 VD ,850,751,0,1,0,0,4,691,57,0,0,0,0,0,0,752,201,47,128,51,79,74,13,37,5,39,30,1,6,11,3,22,0,0,1,1,1,1,0,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Giraf,0534::SB8,2182 WB ,2363,1958,2,3,0,21,2,1810,172,0,0,0,21,0,0,1984,527,103,259,153,217,278,18,159,15,70,84,2,4,2,4,53,1,2,0,5,1,1,0,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Toermalijn,0534::SB9,2182 TZ ,1495,1325,2,0,0,8,1,1224,110,0,0,0,8,0,0,1335,360,73,133,89,160,190,24,116,6,49,67,3,3,8,2,36,1,0,0,5,0,0,0,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Squash Hillegom,0534::SB10,2181 HG ,1069,756,1,1,0,5,5,683,75,0,0,0,5,0,0,763,265,27,114,30,84,67,15,50,5,24,21,3,1,5,1,38,2,0,2,1,0,0,1,0,0
Leiden,Hillegom,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Skicentrum Hillegom,0534::SB11,2181 CD ,1308,1148,1,5,0,4,0,1063,95,0,0,0,4,0,0,1158,403,52,127,67,120,158,16,77,2,21,38,6,4,12,2,36,3,0,0,2,0,2,0,0,0
