contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0861::SB1,5501 KA,1902,1781,2,5,0,0,7,1641,140,0,0,0,0,0,0,1788,339,89,316,279,214,191,31,123,2,63,77,0,12,1,6,26,1,1,2,3,0,3,2,0,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkgebouw D'n Uitwijk,0861::SB2,5501 HP,1603,1378,5,5,0,0,4,1382,2,0,0,0,0,0,0,1388,246,84,186,212,185,188,21,112,4,35,46,2,4,2,1,34,1,1,0,8,0,4,0,2,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkvoorziening De Ligt,0861::SB3,5503 CA,1934,1933,1,9,0,0,3,1774,166,0,0,0,0,0,0,1943,432,71,298,282,272,208,24,135,5,38,103,6,8,0,4,35,0,1,0,7,2,0,0,2,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kantine Voetbalvereniging U.N.A.,0861::SB4,5502 ED,2048,1398,4,2,0,0,3,1291,111,0,0,0,1,0,1,1405,321,43,230,178,232,179,15,69,1,43,53,2,5,0,0,21,0,0,3,3,0,0,0,0,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ontmoetingscentrum Zeelst,0861::SB5,5502 NC,1980,1697,0,5,0,4,11,1552,143,0,0,0,4,0,0,1706,460,59,237,205,258,210,23,87,6,35,69,5,6,1,1,25,0,1,0,8,1,0,0,0,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpscentrum d'Ouw School,0861::SB6,5507 LC,2274,1736,3,4,0,0,7,1558,179,1,0,0,1,0,0,1744,622,66,177,129,304,203,12,106,2,31,44,1,4,0,1,27,0,0,0,2,0,0,2,1,2
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Clubgebouw Sentrum '70,0861::SB7,5503 VE,2374,1425,6,1,0,0,3,1316,113,0,0,0,0,0,0,1432,195,56,334,274,148,131,4,97,1,45,91,4,11,5,2,17,0,0,1,6,0,2,0,1,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau RSZK Merefelt,0861::SB8,5504 GB,1714,1428,3,0,0,0,9,1311,111,0,0,0,0,0,0,1431,296,69,227,238,230,139,15,86,0,31,63,0,2,2,3,16,1,0,0,6,1,1,1,1,0
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis d'n Bond,0861::SB9,5504 BN,2019,1879,5,2,2,0,3,1695,190,0,0,0,2,0,0,1888,506,62,254,226,294,182,11,141,4,60,79,4,7,0,1,35,0,0,1,8,0,2,0,1,1
's-Hertogenbosch,Veldhoven,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ontmoetingscentrum het Tweespan,0861::SB10,5505 AT,2507,1940,2,8,0,0,4,1798,148,0,0,0,0,0,0,1950,321,105,388,344,225,191,12,146,3,42,82,7,10,25,1,25,0,0,2,8,1,0,1,1,0
