contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Willibrord Verpleeghuis,0687::SB1,4331 AC,1481,1365,0,2,0,2,19,1249,97,0,0,2,0,0,0,1365,262,111,82,106,114,220,71,225,18,88,20,5,3,8,2,20,0,0,1,6,0,2,1,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Acaciahof,0687::SB2,4331 RW,1433,1032,3,4,0,0,2,963,74,0,0,0,0,0,0,1039,210,100,55,67,82,181,50,154,20,72,16,0,4,1,1,11,1,1,0,4,1,1,0,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ver.gebouw Gasthuiskerk,0687::SB3,4331 HZ,1258,1000,4,0,0,0,4,923,77,0,0,0,0,0,0,1004,199,85,60,105,70,155,47,142,21,64,21,1,0,1,0,21,1,0,0,4,2,0,1,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Van Cittershoff,0687::SB4,4333 KZ,896,767,2,0,0,0,0,701,68,0,0,0,0,0,0,769,132,34,27,41,170,53,71,65,115,30,21,0,3,0,0,4,0,0,0,1,0,0,0,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Eben-Haezer,0687::SB5,4334 GP,1138,974,1,2,0,0,6,867,104,0,0,0,0,0,0,977,174,62,53,56,157,91,86,83,131,41,20,0,5,2,0,11,0,0,0,1,0,0,1,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau t Gasthuis,0687::SB6,4331 RN,1620,1342,0,1,0,0,6,1215,123,0,0,0,1,0,0,1344,192,121,64,137,175,143,76,179,89,71,48,0,3,6,1,28,1,0,0,4,2,0,2,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hof van Buren,0687::SB7,4332 VA,1573,1155,3,2,0,0,3,1027,130,0,0,0,0,0,0,1160,236,108,82,96,142,130,83,113,52,61,32,1,2,1,1,15,0,0,0,0,0,0,0,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkgebouw 't Bolwerk,0687::SB8,4331 TB,1070,732,2,1,0,0,3,674,58,0,0,0,0,0,0,735,122,52,54,63,52,97,44,114,42,53,16,2,2,2,0,11,1,0,1,4,0,0,0,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Praktijkschool Het Bolwerk,0687::SB9,4336 LM,1202,967,2,2,0,0,10,871,90,0,0,0,0,0,0,971,211,93,51,82,110,110,54,99,62,24,37,1,1,3,3,19,0,0,0,3,1,2,1,0
Middelburg,Middelburg,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Durps'uus op d'n oek,0687::SB10,4339 AK,1048,907,2,0,0,0,1,873,37,0,0,0,2,0,0,911,162,36,90,94,145,60,62,67,95,32,37,0,7,0,3,13,2,0,1,0,0,0,1,0
