contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij (VDP)
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wapen van Medemblik,0420::SB1,1671 AA,1621,1292,1,3,2,0,5,1226,67,0,0,0,2,0,0,1298,413,76,162,83,170,142,18,66,5,39,50,2,5,2,4,40,1,0,0,4,1,2,7,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verzorgingshuis Sint Martinus,0420::SB2,1671 CS,1459,1188,0,1,0,0,0,1091,98,0,0,0,0,0,0,1189,312,60,219,101,161,100,14,58,3,32,83,1,5,8,2,24,0,0,0,2,1,0,2,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal De Muiter,0420::SB4,1671 JA,1648,1480,3,10,0,5,3,1358,137,0,0,0,5,0,0,1498,355,69,280,133,162,144,34,67,8,42,65,2,10,62,1,38,0,0,1,4,0,0,3,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS de Meridiaan,0420::SB5,1671 JZ,1595,1067,2,1,0,3,0,981,92,0,0,0,3,0,0,1073,179,55,233,150,97,83,10,55,10,25,56,0,4,74,0,29,1,1,1,1,0,0,3,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum Koggenlandhuis,0420::SB6,1679 VH,1764,1415,3,3,4,0,0,1312,113,0,0,0,4,0,0,1425,405,90,197,118,146,156,27,88,7,63,55,1,14,0,4,29,0,1,1,7,2,3,1,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijksteunpunt Woudrust,0420::SB7,1678 GA,709,563,0,0,0,0,0,532,31,0,0,0,0,0,0,563,174,27,57,62,37,80,9,49,0,27,18,0,2,0,1,14,0,0,1,3,1,0,1,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis  De Werf,0420::SB8,1691 EC,582,467,0,0,0,0,2,435,30,0,0,0,0,0,0,467,144,33,37,32,50,64,5,43,2,23,14,0,0,1,0,12,0,0,0,6,0,1,0,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Vang,0420::SB9,1654 KB,1271,1012,2,2,0,0,4,916,96,0,0,0,0,0,0,1016,316,73,105,45,154,135,5,72,7,35,32,2,5,0,1,15,1,1,0,7,0,0,1,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Nieuwe Haven,0420::SB10,1657 AH,1801,1469,0,2,0,1,6,1330,136,0,0,0,1,0,0,1472,433,95,216,116,153,158,21,93,7,44,73,5,6,1,1,38,0,0,2,6,0,0,1,0
Den Helder,Medemblik,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Twisk,0420::SB11,1676 GG,761,671,2,0,0,0,3,607,63,0,0,0,0,0,0,673,193,48,75,51,66,71,17,57,0,23,28,3,9,0,4,21,0,0,0,3,0,0,2,0
