contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0010::SB1,,1785,1658,3,1,0,0,10,1519,135,0,2,0,2,0,0,1664,281,172,241,236,234,144,56,107,5,32,88,3,4,10,1,30,1,0,0,6,1,4,2,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Burg. van Julsinghatehuis,0010::SB2,,1526,1186,3,6,0,1,2,1107,87,0,0,0,1,0,0,1196,147,128,169,199,175,106,56,61,12,25,68,1,8,2,1,20,0,0,1,5,0,0,0,2
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Werkorganisatie DEAL,0010::SB3,,1164,947,4,2,0,0,1,878,74,0,0,0,0,0,0,953,181,69,101,110,138,122,77,54,3,12,43,2,4,6,1,22,0,0,0,2,0,0,0,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Aeolus,0010::SB4,,1337,978,2,2,0,1,1,894,88,0,0,0,1,0,0,983,121,68,235,184,88,66,38,65,4,18,59,0,2,6,1,13,0,0,3,5,0,1,1,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kerk Meedhuizen,0010::SB5,,474,391,0,3,0,0,1,354,39,0,0,0,0,0,0,394,75,39,55,54,46,27,11,25,1,24,23,3,4,0,0,3,0,0,0,1,0,0,0,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Chr. Geref. Kerk,0010::SB6,,1942,1168,6,4,0,0,2,1056,120,0,0,0,0,0,0,1178,117,108,183,200,108,44,81,89,6,15,59,0,2,129,2,13,1,2,0,3,3,3,0,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brede School Tuikwerd,0010::SB7,,2074,1430,1,5,0,1,2,1303,130,0,0,1,0,0,0,1435,192,105,231,245,161,124,92,93,12,35,68,1,2,22,1,34,1,0,1,7,1,1,0,1
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Eemsdeltacollege,0010::SB8,,1247,885,0,1,0,1,0,820,67,0,0,0,1,0,0,887,160,86,91,114,113,100,60,85,5,17,32,0,5,4,0,8,1,0,0,1,0,0,0,3
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brede School Noord,0010::SB9,,2411,1810,4,11,0,0,4,1652,169,0,0,0,0,0,0,1825,168,174,321,324,210,117,85,113,12,49,98,2,8,89,1,21,1,0,0,8,4,1,1,3
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS Woldrakkers,0010::SB10,,778,603,0,0,0,0,2,543,58,0,0,0,0,0,0,603,64,45,167,155,48,22,7,36,0,7,30,1,3,0,2,8,1,0,2,5,0,0,0,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau o.b.s. De Munte,0010::SB11,,723,544,0,0,0,0,3,487,54,0,0,0,0,0,0,544,57,55,156,105,35,31,12,27,5,20,18,0,4,0,1,14,0,0,0,3,0,0,0,1
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ons Centrum,0010::SB12,,1430,1142,0,4,0,3,3,1036,110,0,0,0,3,0,0,1149,109,97,143,193,232,85,69,91,9,27,52,1,7,0,1,18,1,0,0,5,0,0,0,2
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau CBS Bierum,0010::SB13,,509,434,1,0,0,0,0,403,32,0,0,0,0,0,0,435,52,27,59,73,96,41,22,29,1,9,14,2,1,0,0,6,0,1,0,0,0,0,0,1
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw Pro Rege,0010::SB14,,1055,898,4,3,0,1,2,827,77,0,0,0,1,0,0,906,100,60,113,177,193,59,70,55,5,15,33,3,2,0,0,9,0,0,0,1,0,3,0,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Heekt,0010::SB15,,976,805,5,0,0,0,0,738,72,0,0,0,0,0,0,810,125,66,88,129,141,76,39,66,5,21,31,0,2,0,2,12,0,0,1,1,0,0,0,0
Groningen,Delfzijl,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Vinkenhorst,0010::SB16,,380,315,0,0,0,0,2,297,16,0,0,0,0,0,0,315,26,23,48,42,62,26,22,32,1,19,7,0,0,0,0,4,1,0,0,2,0,0,0,0
