contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0377::SB1,2051 GJ,1523,1368,1,0,0,0,27,1178,164,0,0,0,0,0,0,1369,545,79,36,25,93,298,10,164,3,63,13,0,3,4,1,24,1,0,0,5,1,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Centrum voor Jeugd en Gezin,0377::SB2,2061 HW,1108,915,2,1,0,0,0,842,76,0,0,0,0,0,0,918,297,64,69,56,78,134,16,97,1,46,28,0,2,1,1,22,0,0,0,1,1,0,1
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorglocatie Wildhoef,0377::SB3,2061 JZ,1570,1193,2,6,0,0,11,1065,125,0,0,0,0,0,0,1201,436,76,75,44,107,215,21,114,1,64,22,0,3,0,0,12,0,0,0,2,1,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum De Rijp,0377::SB4,2061 SC,1739,1513,0,4,0,0,11,1342,164,0,0,0,0,0,0,1517,590,80,54,29,158,332,18,142,3,62,19,1,2,3,0,18,0,0,0,2,0,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bloemendaalse Schoolvereniging,0377::SB5,2061 BB,493,611,0,0,0,0,3,523,85,0,0,0,0,0,0,611,360,15,19,11,48,94,6,23,0,23,6,0,1,0,0,3,0,0,0,2,0,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Tinholt,0377::SB6,2051 LA,1497,1525,0,3,0,0,17,1365,146,0,0,0,0,0,0,1528,510,116,48,21,104,393,23,182,2,79,16,1,3,0,0,19,0,0,1,5,2,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vondelschool,0377::SB7,2111 CJ,1145,1159,0,1,0,0,6,989,165,0,0,0,0,0,0,1160,539,47,47,22,91,230,15,66,2,46,20,0,5,2,1,24,0,0,0,1,0,0,1
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Nieuwe Kring,0377::SB8,2111 AS,1171,995,1,2,0,0,4,849,145,0,0,0,0,0,0,998,530,50,31,4,75,175,17,49,7,37,5,1,0,0,0,12,1,0,0,1,0,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Adventskerk,0377::SB9,2111 HA,1018,912,1,0,1,0,17,748,149,0,0,0,1,0,0,914,532,13,40,1,100,151,6,28,4,15,3,2,3,0,0,14,0,0,0,0,0,0,0
Haarlem,Bloemendaal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Voghelsanck,0377::SB10,2114 ES,883,691,0,2,0,0,2,636,55,0,0,0,0,0,0,693,228,38,75,33,111,90,14,39,4,23,20,1,1,0,0,11,0,0,0,3,0,0,0
