contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0321::SB1,3995 DW,2059,2128,3,7,0,4,17,1950,175,0,0,0,4,0,0,2142,342,150,266,167,235,266,143,292,35,84,58,2,12,21,4,35,0,0,0,9,5,1,0,1,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau RK basisschool Heilige Familie,0321::SB2,3991 AA,1013,1322,0,0,0,2,2,1183,139,0,0,0,2,0,0,1324,418,65,113,71,181,170,48,113,37,40,31,3,9,2,2,11,1,0,1,3,2,1,0,0,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghuis Het Houtens Erf,0321::SB3,3991 KZ,1537,1223,0,0,1,0,1,1103,120,0,0,0,1,0,0,1224,333,67,77,55,146,188,90,111,45,35,53,0,4,1,1,10,0,1,0,3,3,0,0,0,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wereldhuis,0321::SB4,3991 VJ,1381,1011,0,2,0,1,1,928,85,0,0,0,1,0,0,1014,231,51,104,56,138,144,84,107,22,22,29,2,2,2,0,10,0,0,0,2,4,1,0,0,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS De Bijenkorf,0321::SB5,3992 BK,1729,1155,1,0,0,2,1,1030,127,0,0,0,2,0,0,1158,273,71,92,58,106,202,80,152,49,33,14,1,2,4,1,6,0,0,1,5,3,0,1,1,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau PC basisschool Wereldwijs,0321::SB6,3991 WE,2357,1972,4,6,0,4,6,1783,197,0,0,0,4,0,0,1986,396,144,198,143,230,238,189,217,68,43,39,2,4,7,1,34,0,1,0,11,2,2,0,3,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau RKBS De Zevensprong,0321::SB7,3992 RD,2200,2054,2,2,0,1,3,1876,180,0,0,0,1,0,0,2059,450,137,150,125,224,372,186,243,38,52,36,1,1,2,3,27,0,0,0,3,3,1,0,0,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De KrachtFabriek,0321::SB8,3993 BG,2002,1532,3,5,0,34,1,1441,132,0,0,0,34,0,0,1574,214,85,211,164,145,176,105,221,38,41,73,7,6,14,3,22,0,1,0,1,4,0,0,0,0,1
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS Klavertje Vier,0321::SB9,3993 GE,1866,1588,4,5,0,0,5,1449,143,0,0,0,0,0,0,1597,262,86,205,159,163,257,96,173,33,65,57,2,3,12,2,6,0,0,0,3,1,1,0,2,0,0
Utrecht,Houten,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau PCB Het Mozaïek Houten,0321::SB10,3994 BM,1622,1373,2,1,0,6,3,1238,141,0,0,0,6,0,0,1382,255,89,148,105,130,186,119,182,29,48,44,1,2,7,2,21,0,0,0,4,1,0,0,0,0,0
