contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Arendshorst,1884::SB1,2371 CG,1711,1524,0,3,0,3,4,1396,130,0,0,0,3,0,0,1530,625,56,122,45,266,204,6,79,2,34,47,1,6,2,1,25,0,0,0,3,0,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bonaventuracollege,1884::SB2,2371 VJ,1637,1394,0,0,0,0,1,1272,121,0,0,0,0,0,0,1394,449,54,196,70,185,191,5,93,3,32,51,3,2,7,2,43,1,0,0,6,0,0,0,0,1
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gogherweide,1884::SB3,2371 RG,1882,1569,1,0,0,1,1,1443,125,0,0,1,0,0,0,1569,417,85,219,117,200,209,17,137,3,49,50,2,9,3,1,42,1,0,0,4,0,3,0,1,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Meerpaal,1884::SB4,2376 AR,527,403,0,2,0,0,0,361,44,0,0,0,0,0,0,405,129,18,60,6,63,59,9,21,0,14,8,3,2,0,1,7,0,0,0,2,1,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brandweerkazerne Hertogspark,1884::SB5,2375 XE,1808,1557,3,4,0,2,8,1411,143,0,0,2,0,0,0,1562,474,71,220,68,266,177,20,87,10,35,51,4,9,3,6,40,0,2,0,8,1,3,0,2,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Prot. Gemeente Kaag,1884::SB7,2159 LA,367,314,0,2,0,1,3,270,44,0,0,0,1,0,0,317,132,5,36,8,30,48,4,20,0,10,8,0,1,0,0,11,1,0,0,0,0,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Roelevaer,1884::SB8,2371 NK,1403,1337,1,2,0,3,1,1232,104,0,0,3,0,0,0,1337,411,47,188,90,207,178,8,90,4,28,37,0,9,0,2,34,1,0,0,2,1,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huize Jacobus,1884::SB9,2377 CR,1434,922,1,1,0,0,1,842,81,0,0,0,0,0,0,924,249,28,146,59,170,114,4,42,0,19,49,1,2,5,0,29,0,0,0,5,0,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Schoolhuis,1884::SB10,2465 AC,951,825,0,1,0,0,3,731,92,0,0,0,0,0,0,826,215,30,106,43,148,99,25,58,28,25,19,2,2,0,3,19,0,0,0,1,0,1,0,1,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Spant,1884::SB11,2451 BV,1767,1496,2,2,0,2,2,1364,136,0,0,0,2,0,0,1502,473,73,242,85,195,173,21,86,9,15,61,2,12,0,0,47,0,0,1,1,0,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Ontmoeting,1884::SB12,2451 AP,1734,1554,0,5,0,0,2,1389,168,0,0,0,0,0,0,1559,539,43,234,61,257,151,35,75,5,51,51,7,10,0,2,29,0,0,1,1,0,0,2,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Die Twee,1884::SB13,2481 AN,1449,1120,1,2,0,0,0,995,128,0,0,0,0,0,0,1123,342,44,114,48,199,117,42,82,22,34,34,1,11,0,0,25,1,0,0,3,1,0,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Immanuel,1884::SB14,2481 AA,1297,1233,1,2,0,3,0,1147,92,0,0,0,3,0,0,1239,350,60,145,92,187,152,40,87,8,50,27,0,5,0,3,23,0,1,0,2,0,1,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw De Drieluik,1884::SB15,2355 AG,1354,1201,5,4,0,0,3,1090,117,0,0,0,0,0,0,1210,349,49,178,77,210,139,14,53,3,26,61,1,8,0,3,25,0,0,1,3,0,1,0,0,0
Leiden,Kaag en Braassem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,1884::SB16,2370 AS,1087,1242,2,6,0,0,7,1138,105,0,0,0,0,0,0,1250,477,49,129,61,139,160,21,80,3,33,36,3,6,4,2,34,0,0,1,2,1,0,0,1,0
