contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis Huissen-Zand,1705::SB3,6851 GL,1198,940,0,0,0,0,3,853,84,0,0,0,0,0,0,940,292,31,101,84,170,123,9,45,0,15,41,1,3,2,1,15,0,0,0,5,0,1,0,0,0,0,1
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Cultureel Centrum de Kinkel,1705::SB9,6681 AK,1901,1599,2,3,0,0,3,1454,147,0,0,0,0,0,0,1604,396,81,189,168,234,245,16,141,2,32,49,2,2,1,0,34,0,0,1,4,1,0,0,0,1,0,0
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Angeren,1705::SB10,6687 BP,1273,1118,3,2,0,0,3,1025,95,0,0,0,0,0,0,1123,288,32,145,140,207,120,7,66,0,24,58,2,0,0,1,19,2,2,0,3,1,1,0,0,0,0,0
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau RijnWaal zorggroep loc.Liduina,1705::SB11,6681 WP,2813,1883,22,5,0,0,3,1732,175,0,0,0,0,0,0,1910,431,116,229,212,318,235,18,131,3,41,103,4,5,2,0,24,0,0,1,6,1,0,0,1,2,0,0
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau RijnWaal zorggroep loc Sancta Maria,1705::SB12,6851 BW,746,932,0,1,0,0,3,843,87,0,0,0,0,0,0,933,254,48,135,69,159,113,10,66,0,20,31,1,6,1,0,13,0,1,0,3,0,1,0,0,0,0,1
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Valom,1705::SB13,6851 DH,1829,1064,1,3,0,0,1,961,106,0,0,0,0,0,0,1068,330,42,116,89,166,148,7,63,4,28,38,3,4,0,0,24,0,0,1,1,0,0,0,0,0,0,0
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Valom 2,1705::SB14,6851 DH,1336,1684,2,2,0,0,3,1524,161,0,0,0,0,0,0,1688,571,56,185,134,236,232,11,118,3,38,50,1,5,0,3,28,3,0,0,6,1,0,0,2,0,0,1
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Voormalige raadzaal,1705::SB15,6851 BM,1938,944,1,1,0,0,4,877,65,0,0,0,0,0,0,946,271,51,106,92,169,113,20,49,0,21,35,0,4,0,1,12,0,0,0,0,0,0,0,0,0,0,0
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Abacus,1705::SB16,6851 LT,2424,2033,0,9,0,0,2,1868,172,0,0,0,0,0,0,2042,414,150,302,232,224,289,26,186,4,69,54,2,6,20,5,36,1,0,0,10,0,0,0,3,0,0,0
Arnhem,Lingewaard,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sociaal Cultureel Centrum,1705::SB17,6852 EE,1777,1732,8,3,0,0,5,1568,170,0,0,0,0,0,0,1743,376,124,234,196,174,227,24,203,2,61,64,2,6,2,0,34,0,0,0,1,0,0,0,0,0,0,2
