contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Klooster Raadszaal,0820::SB1,5671 GA,1293,1505,1,4,0,0,2,1381,127,0,0,0,0,0,0,1510,415,78,138,182,207,207,8,127,0,41,51,0,7,3,2,27,0,0,0,4,1,0,0,7,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum  De Akkers,0820::SB2,5671 CW,1213,828,1,1,0,0,2,774,54,0,0,0,0,0,0,830,187,42,107,100,154,87,10,68,1,17,34,0,1,0,3,10,0,2,0,1,0,1,1,2,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau BS De Dassenburcht,0820::SB3,5671 VP,1414,1415,3,2,0,0,5,1286,129,0,0,0,0,0,0,1420,434,91,122,106,230,204,14,123,2,37,21,0,3,1,0,20,0,0,0,3,2,0,0,2,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Locatie Brede School Oude Landen,0820::SB4,5673 PS,1524,1084,1,0,0,0,3,989,93,0,0,0,0,0,0,1085,352,54,93,116,127,164,12,83,0,20,22,2,11,0,0,23,1,0,2,0,0,0,0,2,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau BS De Nieuwe Linde,0820::SB5,5673 AP,1360,1398,2,2,0,0,3,1265,137,0,3,0,3,0,0,1405,453,73,125,120,173,222,14,107,1,37,44,0,3,0,2,21,0,0,1,1,0,0,0,1,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brede school De Wentelwiek,0820::SB6,5672 HZ,1379,1341,6,0,0,0,0,1221,126,0,0,0,0,0,0,1347,359,81,140,120,190,210,15,104,1,39,40,4,5,5,2,18,0,0,0,3,1,1,1,2,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau PCN locatie Wederikdreef,0820::SB7,5672 BS,1198,863,1,2,0,2,1,799,68,0,0,0,2,0,0,868,207,48,66,103,138,159,11,78,0,19,21,0,0,4,0,6,0,1,0,1,0,1,0,0,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkgebouw Scarabee,0820::SB8,5672 EA,886,685,2,1,0,0,0,629,59,0,0,0,0,0,0,688,137,38,71,80,90,113,4,79,0,24,29,1,4,0,1,11,0,0,0,1,0,2,0,0,0
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gasterij Jo van Dijkhof,0820::SB9,5672 DA,1137,1112,1,0,0,0,0,1034,79,0,0,0,0,0,0,1113,229,71,108,145,189,165,12,93,2,26,40,1,4,2,0,20,1,0,0,2,0,0,0,1,1
's-Hertogenbosch,"Nuenen, Gerwen en Nederwetten",TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Crijnsschool,0820::SB10,5672 ST,1342,1215,2,2,0,0,4,1108,107,0,0,0,0,0,0,1219,318,81,103,114,146,214,12,97,0,38,33,2,5,5,2,34,4,0,0,5,0,0,0,2,0
