contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Drunen,0797::SB1,5151 JH,1799,1558,6,3,0,0,1,1424,143,0,0,0,1,0,1,1568,420,77,196,165,286,148,12,96,3,38,70,3,4,8,2,21,0,1,1,4,1,0,0,2,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bolster,0797::SB2,5151 ZK,1935,1158,1,2,0,2,1,1065,97,0,0,0,2,0,0,1163,260,45,198,132,186,127,8,74,0,25,38,1,11,22,5,16,0,0,0,2,0,0,0,8,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Remise,0797::SB3,5151 BM,1886,1543,0,1,0,0,4,1388,152,0,0,0,0,0,0,1544,490,66,170,166,241,181,19,71,3,27,44,5,5,16,1,26,1,0,1,3,0,0,0,7,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau D'n Elshof,0797::SB5,5154 AK,1283,1157,0,3,0,0,1,1050,109,0,0,0,0,0,0,1160,421,28,155,98,247,96,3,33,1,15,31,1,6,0,4,12,0,0,0,3,0,0,0,2,1
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgservicecentrum Zandley,0797::SB7,5151 HK,1521,1547,1,2,0,0,1,1429,120,0,0,0,0,0,0,1550,288,63,250,232,246,149,17,99,3,35,74,3,8,52,1,19,2,1,0,4,0,0,1,0,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Stulp,0797::SB8,5151 MR,1922,1773,2,4,0,2,1,1640,140,0,0,0,2,0,0,1781,433,66,235,233,188,201,18,144,1,46,61,0,8,101,1,27,1,0,0,5,0,2,0,2,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Olof Palme,0797::SB9,5152 JB,1709,1573,2,4,0,4,0,1437,146,0,0,0,4,0,0,1583,440,67,180,179,204,209,16,122,3,49,39,1,6,7,5,29,0,7,2,4,0,1,1,2,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Schakel,0797::SB11,5256 HL,1983,1439,0,4,0,0,0,1294,149,0,0,0,0,0,0,1443,205,60,358,192,156,95,26,93,6,36,49,2,6,107,4,24,1,3,1,4,2,3,0,6,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Seniorensociëteit,0797::SB12,5256 AD,1286,1049,3,2,0,0,6,940,108,0,0,0,0,0,0,1054,298,50,120,74,150,141,11,73,22,45,23,3,6,6,0,20,1,2,0,3,0,1,0,0,0
's-Hertogenbosch,Heusden,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Doprshuis Herpt,0797::SB13,5256 NJ,784,697,0,2,0,1,0,628,72,0,0,0,1,0,0,700,212,29,96,35,148,84,2,32,1,21,25,1,1,0,1,9,0,0,0,0,0,0,0,0,0
