contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP)
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bombardon,1640::SB1,,1688,1855,2,3,0,9,5,1698,166,0,0,0,9,0,0,1869,378,74,273,203,328,305,18,77,7,43,66,2,4,6,2,59,1,0,1,5,0,3,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum De Kreppel,1640::SB2,,1731,1304,1,7,0,1,1,1170,142,0,0,0,1,0,0,1313,316,33,181,104,299,184,12,54,2,20,54,3,5,0,3,27,0,0,0,5,0,0,2
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau PDV De Vliegende Hollander,1640::SB3,,1810,879,1,3,0,2,2,815,68,0,0,0,2,0,0,885,146,19,153,138,158,119,9,38,2,17,40,3,4,1,1,29,2,0,0,0,0,0,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis Baexheimerhof,1640::SB4,,1862,1599,1,1,0,1,4,1429,167,0,0,1,0,0,0,1600,344,58,246,158,324,239,8,67,0,32,65,6,4,2,3,34,2,0,1,5,0,1,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau BMV de Nassaurie,1640::SB5,,1345,1109,2,0,0,0,4,1011,96,0,0,0,0,0,0,1111,196,32,170,139,216,184,14,40,6,27,55,0,9,0,2,15,0,0,0,1,0,3,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Trefcentrum Kelpen-Oler,1640::SB6,,918,706,1,2,0,0,2,622,85,0,0,0,0,0,0,709,159,18,124,56,147,92,4,15,5,18,36,6,0,2,2,22,0,0,0,0,0,0,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hotel - Restaurant De Beukelaer,1640::SB7,,1682,1295,1,1,0,1,2,1139,157,0,0,0,1,0,0,1298,276,43,182,148,211,247,7,50,2,27,57,2,5,0,9,26,0,0,2,0,0,0,1
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis Kloeästerhoaf,1640::SB8,,1730,1436,1,0,0,0,7,1281,149,0,0,0,0,0,0,1437,285,42,224,170,243,269,2,65,0,35,65,3,8,2,2,18,0,0,0,1,2,0,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis de Klokkestoel,1640::SB9,,582,537,2,2,0,0,0,496,45,0,0,0,0,0,0,541,111,13,91,36,111,79,2,14,0,21,34,1,7,0,2,13,0,0,1,0,0,1,0
Maastricht,Leudal,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Handbooglokaal Vriendschap & Strijd,1640::SB10,,1240,725,0,2,0,0,1,635,91,0,0,0,0,0,0,727,127,9,115,51,104,232,1,17,0,15,26,1,8,0,0,15,1,0,0,1,0,1,1
