contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Boschpoort,1895::SB1,9671 GB,1149,1162,5,3,0,0,6,1072,92,0,0,0,0,0,0,1170,171,118,202,191,109,109,34,93,1,53,32,0,5,8,4,23,0,0,0,5,3,0,0,1
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Leger des Heils,1895::SB2,9671 CC,1056,771,0,1,0,0,16,697,59,0,0,0,0,0,0,772,170,82,111,113,99,54,14,55,2,12,27,2,3,0,1,23,0,0,1,0,0,1,0,1
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Botanica-Hof,1895::SB3,9671 KZ,1595,1230,1,1,0,2,0,1126,108,0,0,0,2,0,0,1234,153,164,228,249,111,92,49,85,2,23,46,2,1,0,0,20,0,0,1,3,0,0,0,1
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS Beukenlaan,1895::SB4,9674 CC,1278,969,2,2,0,15,3,911,74,0,0,0,15,0,0,988,116,90,225,218,78,75,13,64,3,16,37,0,5,0,1,25,1,0,0,1,0,0,0,1
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau SOB kazerne,1895::SB5,9675 HJ,1384,1143,0,1,0,4,5,1042,101,0,0,0,4,0,0,1148,219,90,201,205,104,101,41,88,8,16,32,3,6,0,1,23,1,0,0,2,0,1,1,0
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Speeltuinvereniging Bovenburen,1895::SB6,9675 JW,1456,961,0,2,0,0,1,872,90,0,0,0,0,0,0,963,120,89,197,203,67,95,31,79,1,20,43,0,3,0,0,10,0,0,0,2,0,1,0,0
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Renselheerdt,1895::SB7,9675 AB,1123,900,10,4,0,2,5,846,65,0,0,0,2,0,0,916,85,115,197,195,79,46,18,67,3,19,52,1,5,0,0,16,1,0,0,1,0,0,0,0
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Voormalig SBO Delta,1895::SB8,9675 HH,1067,687,3,2,0,0,2,689,1,0,0,0,0,0,0,692,62,51,181,182,36,59,13,37,5,16,18,0,4,0,2,18,1,0,0,1,0,1,0,0
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Parkholt,1895::SB9,9675 JA,1395,1336,0,2,0,0,4,1231,103,0,0,0,0,0,0,1338,275,123,199,207,146,129,46,95,0,29,39,2,5,0,1,31,0,0,2,3,0,3,0,1
Groningen,Oldambt,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Campus Winschoten,1895::SB10,9673 GS,1227,826,2,1,0,0,2,759,69,0,0,0,1,0,0,830,142,72,141,160,61,70,30,65,5,15,32,1,1,2,2,19,0,1,0,5,0,1,0,1
