contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij (VDP)
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadskantoor,0385::SB1,1132 KN,1722,1673,0,6,0,2,4,1438,239,0,0,0,2,0,0,1681,289,28,465,35,481,76,6,36,1,30,47,2,20,5,2,144,0,0,2,1,0,1,1,1
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Spinmolen,0385::SB2,1132 AB,2140,1751,0,3,0,0,0,1532,220,0,0,2,0,2,0,1752,332,15,486,52,482,58,8,33,2,41,36,0,22,2,2,174,0,0,0,4,0,1,1,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Springplank,0385::SB3,1132 BR,2374,2117,3,2,0,0,2,1815,305,0,0,0,0,0,0,2122,450,26,600,37,598,64,5,28,8,28,38,0,25,0,1,200,0,0,0,8,0,1,0,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Zuidwester,0385::SB4,1132 XS,1523,1404,1,5,0,0,0,1236,174,0,0,0,0,0,0,1410,258,27,347,34,514,27,2,25,2,16,58,0,2,0,4,84,1,0,1,0,0,0,2,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau St. Vincentiusschool,0385::SB5,1131 BJ,1647,1454,1,2,0,0,6,1256,195,0,0,0,0,0,0,1457,286,28,438,27,390,53,10,30,5,22,42,0,7,0,1,108,1,1,0,2,1,0,2,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Koninklijke Vereniging Sint Jozef,0385::SB6,1131 DX,1633,1359,2,5,1,0,7,1180,178,0,0,1,0,0,0,1365,247,28,361,53,349,72,9,46,2,27,44,2,10,0,1,101,2,0,0,0,0,4,0,1
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum St Nicolaashof,0385::SB7,1131 GT,1581,1077,0,3,0,0,2,946,132,0,0,0,0,0,0,1080,189,10,290,27,378,31,6,25,2,19,25,0,3,1,1,66,2,0,0,1,0,0,1,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau St. Petrusbasisschool,0385::SB8,1131 KX,1605,1666,1,4,0,2,0,1456,217,0,0,0,2,0,0,1673,386,25,455,17,499,40,7,18,1,24,32,4,12,0,1,138,1,1,0,4,0,1,0,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Tennisvereniging Dijkzicht,0385::SB9,1131 RC,1583,1361,6,4,0,0,0,1173,198,0,0,0,0,0,0,1371,270,11,398,45,389,25,11,24,0,15,42,0,10,4,3,108,0,0,0,2,1,1,2,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS De Piramide,0385::SB10,1135 JE,1555,1228,0,4,0,0,2,1101,129,0,0,0,0,0,0,1232,243,73,227,96,130,129,12,136,0,34,57,1,10,40,8,25,0,0,0,1,1,1,4,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bibliotheek Edam,0385::SB11,1135 GP,1483,1289,0,4,0,0,1,1205,87,0,0,0,0,0,0,1293,320,103,125,74,202,174,14,121,0,60,49,0,4,1,2,32,0,0,0,4,2,0,1,1
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis,0385::SB12,1135 BK,1212,1453,1,3,0,2,3,1322,134,0,0,0,2,0,0,1459,390,154,89,77,150,230,17,207,1,84,11,3,3,3,3,21,1,0,0,5,1,3,0,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Singel,0385::SB13,1135 VT,1333,970,2,3,0,0,1,865,109,0,0,0,0,0,0,975,243,62,138,55,128,119,2,107,2,35,38,3,4,4,4,21,0,0,1,2,0,1,1,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Blokwhere,0385::SB14,1132 NA,1361,933,0,3,0,0,0,799,137,0,0,0,0,0,0,936,232,11,240,22,178,44,3,26,1,11,7,3,10,8,0,132,0,0,2,1,2,0,0,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Servicepunt Oosthuizen,0385::SB15,1474 HG,2577,2191,2,4,0,1,6,2040,150,0,0,1,0,0,0,2196,714,136,302,129,199,264,13,180,1,72,77,9,12,2,5,70,1,0,1,2,0,0,1,1
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorsphuis de Drie Hamers,0385::SB16,1475 JD,525,420,1,0,0,0,1,390,30,0,0,0,0,0,0,421,114,26,47,16,48,55,4,49,3,22,20,2,3,0,0,8,0,0,0,2,0,0,1,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Voetbalkantine Kwadijk,0385::SB17,1471 CN,749,663,0,0,0,0,14,586,63,0,0,0,0,0,0,663,220,72,78,24,47,80,15,40,5,33,20,0,5,1,1,17,0,0,0,4,0,0,1,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gymnastieklokaal obs Middelie,0385::SB18,1472 GT,551,491,0,0,0,0,2,444,45,0,0,0,0,0,0,491,170,25,76,17,48,51,7,34,4,21,19,1,3,2,1,10,0,0,0,0,0,1,1,0
Den Helder,Edam-Volendam,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Oude School,0385::SB19,1473 PH,603,507,0,0,0,0,3,460,44,0,0,0,0,0,0,507,164,35,50,29,41,65,6,54,5,28,16,0,0,0,0,11,0,0,0,3,0,0,0,0
