contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Libertarische Partij (LP),Lokaal in de Kamer
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis I,0106::SB1,9401 JW,1137,1037,0,3,0,7,18,920,95,0,0,7,0,0,0,1033,198,104,94,98,102,130,91,114,5,36,35,3,3,3,0,17,2,1,0,1,0,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Anholt,0106::SB2,9401 AG,1501,977,3,2,0,14,2,935,59,0,0,0,14,0,0,996,128,119,105,141,119,117,48,93,7,29,46,1,1,2,4,11,3,1,0,1,1,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Boshof,0106::SB3,9401 PM,1079,961,0,1,0,0,3,890,69,0,0,0,0,0,0,962,215,108,56,70,103,173,40,123,3,26,17,0,2,0,2,15,2,1,0,5,0,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Slingeborgh,0106::SB4,9406 EA,1290,951,4,3,0,1,3,893,63,0,0,0,1,0,0,959,154,90,125,114,138,91,76,75,2,28,39,1,1,2,2,10,1,0,0,2,0,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Wijde Blik,0106::SB5,9406 CE,1551,1122,0,5,0,1,1,1071,56,0,0,0,1,0,0,1128,129,120,139,154,150,112,71,109,8,40,52,2,2,12,2,12,2,0,0,4,1,1
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Rode Kruisgebouw,0106::SB7,9406 GD,1215,606,1,3,0,1,0,566,46,0,1,0,2,0,0,612,62,66,102,115,42,52,47,56,2,19,15,1,2,4,1,7,1,0,1,11,0,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Arendshorst,0106::SB8,9402 JK,1256,861,3,3,0,0,1,790,76,0,0,0,0,0,0,867,62,57,91,138,83,64,155,113,20,18,28,1,5,13,0,10,0,1,0,1,0,1
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Maria in Campisschool,0106::SB9,9402 JA,1398,795,0,3,0,0,0,752,47,0,1,0,1,0,0,799,99,85,101,119,89,69,47,89,6,30,23,0,4,14,1,9,2,3,0,5,0,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau OBS De Vuurvogel,0106::SB10,9402 TB,1410,1196,2,5,0,1,1,1109,94,0,0,0,1,0,0,1204,121,121,157,179,142,107,98,111,9,32,43,6,5,30,3,24,1,2,0,4,0,1
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Amstelflat,0106::SB11,9406 TA,990,844,0,8,0,0,0,778,74,0,0,0,0,0,0,852,89,91,135,126,89,66,73,74,7,30,20,1,5,24,1,8,1,0,1,3,0,0
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau SBO De Boei,0106::SB12,9406 XP,935,617,4,1,1,0,2,586,35,0,0,0,1,0,0,623,67,35,77,87,73,58,73,56,15,13,20,1,2,21,1,13,2,0,0,2,0,1
Assen,Assen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Peelerhof,0106::SB13,9407 BS,1139,896,1,1,0,25,1,811,61,0,0,25,0,0,0,873,128,100,74,81,100,114,108,83,19,35,35,0,1,1,0,14,0,0,0,2,1,0
