contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0015::SB1,9861 AC,1688,1561,1,2,0,0,5,1419,140,0,0,0,0,0,0,1564,197,51,160,151,411,112,243,87,39,33,26,5,8,0,2,29,0,0,0,6,0,0,0,1
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Irene,0015::SB2,9862 TJ,513,409,0,0,0,0,0,363,46,0,0,0,0,0,0,409,65,16,53,44,82,33,47,21,12,6,10,0,0,0,1,16,1,1,0,1,0,0,0,0
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis 't Kompas,0015::SB3,9866 AP,703,584,0,2,0,0,1,532,53,0,0,0,0,0,0,586,85,21,66,40,211,33,40,27,29,10,9,1,2,0,0,9,0,0,0,1,0,0,0,0
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Woonzorgcentrum ""Het Hooge Heem""",0015::SB4,9861 BM,938,637,4,1,0,0,2,596,44,0,0,0,0,0,0,642,59,34,83,73,213,25,69,17,12,8,20,1,1,1,0,14,1,0,0,4,0,1,0,1
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw De Branding,0015::SB5,9863 PH,866,657,1,0,0,0,2,598,58,0,0,0,0,0,0,658,77,25,61,56,217,38,81,36,15,11,17,3,2,0,0,10,0,2,1,4,0,1,0,0
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis 't Hörnhuus,0015::SB6,9864 PL,542,439,2,1,0,0,1,413,28,0,0,0,0,0,0,442,55,12,62,41,133,21,56,18,14,5,6,1,2,0,1,7,0,0,0,1,0,3,0,1
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vrijzinnig gebouw,0015::SB7,9865 AM,433,328,0,0,0,0,0,292,36,0,0,0,0,0,0,328,54,14,40,40,67,10,31,32,14,7,8,1,0,0,0,9,1,0,0,0,0,0,0,0
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stichting Mfc De Veste,0015::SB8,9865 TE,1409,1134,0,1,0,0,3,1034,98,0,0,0,0,0,0,1135,184,62,172,154,245,65,108,52,5,19,30,2,4,0,1,27,1,0,0,1,0,2,0,0
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gebouw Ons Centrum,0015::SB9,9821 PA,930,685,0,2,0,0,0,632,55,0,0,0,0,0,0,687,115,17,61,58,236,58,49,39,12,14,18,0,1,0,0,7,0,0,0,0,0,0,0,0
Groningen,Grootegast,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis De Rotonde,0015::SB10,9822 AA,1281,1120,6,0,0,0,3,1038,85,0,0,0,0,0,0,1126,172,90,109,124,237,102,85,84,23,19,41,2,8,0,4,16,0,0,0,2,0,0,0,2
