contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis Waalwijk,0867::SB1,,1317,1129,4,2,0,0,4,1030,101,0,0,0,0,0,0,1135,357,51,141,79,146,157,15,75,2,32,32,0,6,12,1,21,0,0,1,1,0,0,0,0,0,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Parkpaviljoen,0867::SB2,,1191,857,0,1,1,0,6,777,74,0,0,1,0,0,0,857,333,22,63,63,138,91,11,51,1,23,30,3,5,2,0,15,0,0,0,4,0,0,0,2,0,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool Besoyen,0867::SB3,,2262,1751,0,6,6,2,1,1577,171,0,0,8,0,0,0,1749,470,64,249,206,209,195,40,110,9,41,66,0,6,25,1,47,1,2,0,3,0,0,0,3,2,2
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ontm. centrum Ambrosiuskerk,0867::SB4,,1890,1247,1,6,0,2,1,1149,106,0,0,0,2,0,0,1256,226,58,221,166,125,111,19,94,1,29,52,1,6,102,2,24,4,0,1,5,0,0,0,0,0,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Balade,0867::SB8,,1719,1600,2,35,0,2,2,1508,129,0,0,0,2,0,0,1639,260,74,259,218,175,147,15,147,3,55,70,1,8,123,6,32,1,1,0,3,0,1,0,0,1,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool Pater vd Geld,0867::SB9,,1376,1082,2,4,0,0,0,993,99,2,2,0,4,0,0,1092,184,48,199,154,100,86,10,98,0,32,53,4,4,85,4,17,0,0,0,2,0,0,0,2,0,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Buurthuis Zanddonk,0867::SB11,,2361,1786,9,8,0,0,1,1643,159,0,0,0,0,0,0,1803,413,64,270,274,204,210,24,137,3,28,64,4,8,31,2,37,2,1,0,5,0,1,0,2,2,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Bourgondisch Hof,0867::SB12,,1727,1067,4,9,0,1,3,993,85,0,0,0,1,0,0,1081,175,49,202,189,102,95,12,84,3,35,62,4,4,29,1,14,0,1,1,1,1,1,0,2,0,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool Juliana v Stolberg,0867::SB13,,1115,1155,2,1,0,0,2,1041,115,0,0,0,0,0,0,1158,444,37,102,58,227,127,28,56,1,22,26,1,3,1,0,17,0,0,0,1,0,0,0,3,1,0
Tilburg,Waalwijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Buurthuis Bloemenoord,0867::SB15,,2344,1804,2,3,0,0,3,1672,134,0,0,0,0,0,0,1809,326,82,346,281,207,132,22,96,5,33,96,1,11,111,4,30,1,1,0,10,0,2,0,3,2,2
