contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau WOONZORGCENTRUM DE AMEIDE,0794::SB101,5701 ZZ,2186,1721,9,11,0,0,4,1560,178,0,0,0,1,0,0,1742,199,78,420,258,160,118,16,126,0,45,85,0,4,186,1,15,0,0,2,4,2,2,0,0,0
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau WIJKHUIS BREDE SCHOOL DE FONKEL,0794::SB102,5701 VL,2671,2238,6,10,0,2,3,1959,294,0,0,0,2,0,0,2256,217,100,530,330,108,202,16,232,3,47,53,2,6,339,1,30,2,0,4,4,4,4,0,4,0
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau STADSKANTOOR HELMOND,0794::SB103,5701 NV,1910,947,2,5,0,0,6,841,105,0,0,2,0,0,0,952,165,45,170,156,93,84,7,97,0,24,38,0,3,40,3,15,3,0,0,2,2,0,0,0,0
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau VALKENNEST (BETHLEHEMKERK),0794::SB104,5702 PJ,2900,1764,4,9,0,0,4,1571,192,0,0,10,0,0,0,1767,241,58,431,337,184,164,8,132,1,48,74,3,6,45,4,20,1,0,0,5,1,1,0,0,0
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau STADSWINKEL,0794::SB105,5707 BX,1464,1066,4,7,0,0,6,977,94,0,0,0,0,0,0,1077,272,37,154,152,106,113,12,103,1,32,12,2,5,29,2,19,2,0,0,9,2,0,0,1,1
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau WOONZORGCENTRUM DE EEUWSELS,0794::SB201,5702 HW,1374,1258,5,6,0,0,1,1125,141,0,0,2,0,0,0,1267,110,39,376,239,123,87,8,75,2,21,81,0,5,59,3,18,0,1,1,5,1,0,1,1,2
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau WIJKCENTRUM DE BOERDERIJ,0794::SB203,5702 JD,2809,1856,6,20,0,2,1,1661,222,0,0,0,2,0,0,1884,187,56,570,323,173,150,7,136,2,49,68,5,20,62,3,25,2,1,1,6,4,3,0,3,0
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau ZORGBOOGCENTRUM DE PANNEHOEVE,0794::SB205,5702 BA,2812,1815,6,17,0,3,2,1607,232,0,0,0,3,0,0,1841,172,63,631,342,135,99,7,110,2,57,71,0,5,87,1,21,0,1,0,5,0,0,0,4,2
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau PRAKTIJKSCHOOL HELMOND,0794::SB302,5703 GR,2028,1479,4,14,0,11,2,1334,150,0,0,11,0,0,0,1486,167,72,400,309,122,90,5,86,0,35,49,0,8,110,2,18,0,1,0,1,0,0,0,1,3
's-Hertogenbosch,Helmond,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau WIJKHUIS DE LIER,0794::SB303,5703 BW,1819,1336,5,6,0,0,1,1233,113,0,0,0,0,0,0,1347,114,51,414,265,93,98,9,92,0,31,63,0,9,79,0,13,1,0,0,1,2,0,0,0,1
