contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau het Stadhuis,0392::SB1,,1974,2626,7,7,0,0,25,2427,196,0,8,0,8,0,0,2648,501,191,89,124,97,593,42,638,3,210,27,1,5,10,2,59,2,0,5,13,8,5,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Janskliniek,0392::SB2,,1610,1320,3,1,1,0,3,1204,118,0,0,0,1,0,0,1325,280,113,57,80,49,264,29,262,6,114,16,0,0,3,3,28,1,0,1,7,3,2,2
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Frans Loenenhofje,0392::SB3,,2195,1105,0,3,0,3,8,1029,74,0,0,0,3,0,0,1111,271,88,49,53,48,238,19,202,0,86,16,0,1,3,2,13,2,0,0,11,3,0,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadsbibliotheek,0392::SB4,,1767,2031,3,2,2,0,8,1852,178,0,0,0,2,0,0,2038,393,136,83,81,61,502,22,484,0,183,27,1,2,13,3,18,1,2,2,14,3,0,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Rosenstock-Huessy Huis,0392::SB5,,1891,1437,1,4,0,0,9,1322,114,0,3,0,3,0,0,1445,259,101,97,104,47,272,15,325,3,123,30,2,7,7,1,26,1,0,2,8,3,4,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Kring,0392::SB6,,1423,1103,4,1,0,0,8,999,101,0,0,0,0,0,0,1108,237,100,47,35,43,258,22,210,2,90,16,0,2,5,5,17,0,0,1,8,3,2,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Oud-Katholieke Kerk H.H. Anna en Maria,0392::SB7,,1235,1060,3,1,0,3,3,969,89,0,0,3,0,0,0,1061,219,112,37,36,53,261,23,221,1,56,10,1,0,4,0,19,0,0,1,4,2,0,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Activiteitencentrum Het Zaeltje van Rosehaghe,0392::SB8,,1282,1001,0,5,0,1,1,932,72,0,0,1,0,0,0,1005,180,86,37,71,58,231,19,197,3,71,24,0,2,2,0,13,0,0,2,2,2,1,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Speeltuin Klarenhof,0392::SB9,,1625,1275,1,3,0,2,3,1150,128,0,0,0,2,0,0,1281,210,93,158,91,50,232,7,245,1,102,35,1,4,7,1,22,1,0,1,7,1,6,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 2e Volksbadhuis,0392::SB10,,1942,1571,9,9,0,0,5,1451,133,0,0,0,0,0,0,1589,250,102,137,95,57,330,20,366,1,101,44,0,10,8,0,21,1,4,0,16,4,3,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Trefpunt 't Trionk,0392::SB11,,1274,1145,0,3,0,1,2,1063,84,0,0,0,1,0,0,1149,208,85,85,109,90,197,14,187,7,75,43,1,1,6,0,24,0,0,0,6,5,2,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Pelgrimkerk,0392::SB12,,1051,1077,1,3,0,0,4,992,85,0,0,0,0,0,0,1081,221,81,96,80,77,203,19,172,3,53,29,4,3,2,0,28,0,0,0,3,2,0,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Speeltuin Jeugdland,0392::SB13,,1801,1461,5,5,3,0,8,1343,123,0,0,0,3,0,0,1474,340,116,75,81,96,327,28,239,6,83,29,2,3,3,1,27,0,1,1,3,0,0,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Zuidwester,0392::SB14,,1385,1139,0,6,0,0,2,1064,79,0,0,0,0,0,0,1145,246,96,62,55,86,237,17,209,1,73,23,1,4,0,1,16,1,0,1,6,0,3,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum het Broederhuis,0392::SB15,,2102,1800,6,9,0,9,9,1679,136,0,0,0,9,0,0,1824,313,110,285,202,89,241,27,233,4,90,91,2,6,59,2,30,0,0,2,11,1,1,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Oosterkerk,0392::SB16,,1807,1212,6,5,0,1,1,1132,89,0,0,1,0,0,0,1222,197,95,196,119,71,182,18,159,1,77,39,4,2,23,1,14,0,1,1,8,3,1,0
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hildebrand/Martin Luther Kingschool,0392::SB17,,2035,1541,3,11,0,0,4,1438,113,0,0,0,0,0,0,1555,237,96,203,145,82,263,26,253,3,88,36,3,8,48,3,27,0,1,0,12,5,1,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Zuiderpolder (dependance),0392::SB18,,1539,743,1,1,0,0,0,678,68,0,1,0,1,0,0,746,112,42,100,74,27,89,10,100,1,27,21,1,6,104,1,16,0,1,0,8,2,0,1
Haarlem,Haarlem,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Reinaldahuis,0392::SB19,,1122,1239,6,2,0,0,5,1141,101,0,0,0,0,0,0,1247,163,111,191,121,107,121,14,114,1,61,98,1,2,107,3,16,0,0,0,2,2,4,0
