contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zandvoorts Museum,0473::SB1,,1238,1296,6,2,0,0,23,1276,5,0,0,0,0,0,0,1304,433,74,200,59,90,137,4,80,2,80,53,1,5,3,1,54,2,0,5,5,2,2,4
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Strandhotel Centerparcs,0473::SB2,,1273,946,2,1,0,0,102,777,70,0,0,0,0,0,0,949,287,40,153,61,90,87,7,65,0,44,40,3,13,2,2,43,0,0,0,9,0,0,0
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Oranje Nassauschool,0473::SB3,,1424,1241,0,5,0,1,16,1099,132,0,0,0,1,0,0,1247,467,57,170,44,113,151,14,73,0,55,30,8,7,2,3,42,0,0,0,4,0,1,0
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Brede-School ""De Blauwe Tram""",0473::SB4,,1515,965,2,2,1,0,4,870,94,0,0,1,0,0,0,968,387,52,117,43,67,116,3,55,1,39,40,2,7,1,0,30,0,1,0,1,0,2,1
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Rode Kruisgebouw,0473::SB5,,1583,1167,0,8,0,0,3,1080,92,0,0,0,0,0,0,1175,288,79,286,95,90,102,6,65,3,45,59,0,10,3,1,29,0,1,0,4,1,0,0
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Brede-school ""De Blauwe Tram""",0473::SB6,,1154,890,1,3,1,0,11,787,98,1,0,0,2,0,0,896,339,33,108,51,57,114,5,73,0,42,26,3,7,0,1,26,0,0,0,2,0,3,0
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stichting Pluspunt Zandvoort (A),0473::SB7,,1083,950,7,2,0,0,1,885,73,0,0,0,0,0,0,959,193,70,220,84,63,75,4,74,1,40,64,4,12,8,0,33,0,0,1,3,0,0,1
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum Huis in de Duinen,0473::SB8,,963,661,0,4,0,0,1,605,59,0,0,0,0,0,0,665,189,42,110,44,58,55,3,45,1,35,50,3,4,2,1,16,0,0,0,0,0,1,2
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Nieuw-Unicum,0473::SB9,,179,171,0,0,0,0,0,169,2,0,0,0,0,0,0,171,24,12,14,33,15,17,9,20,3,12,9,0,0,0,0,1,1,0,0,1,0,0,0
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum  A.G.Bodaan,0473::SB10,,796,692,0,0,0,0,11,619,62,0,0,0,0,0,0,692,379,29,32,14,48,109,5,26,2,16,9,0,0,0,1,21,0,1,0,0,0,0,0
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stichting Pluspunt Zandvoort (B),0473::SB11,,1083,756,2,6,0,1,3,704,58,0,0,0,1,0,0,765,149,57,163,63,54,61,2,57,0,40,37,2,14,11,3,35,0,1,0,4,1,1,1
Haarlem,Zandvoort,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Station NS,0473::SB12,,1072,1159,0,4,0,1,12,1064,88,0,0,0,1,0,0,1164,340,59,196,60,70,155,10,80,1,69,37,2,5,6,5,48,3,2,1,7,3,0,0
