contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij (VDP)
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Meander,0416::SB1,1723LK,1366,794,3,1,0,0,0,729,69,0,0,0,0,0,0,798,187,47,121,79,86,78,10,81,5,23,32,2,11,5,2,19,3,0,0,2,0,1,0,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kantine voetbalvereniging DTS,0416::SB2,1724TZ,909,765,0,2,0,0,0,705,62,0,0,0,0,0,0,767,283,41,87,39,78,87,5,50,1,20,19,3,12,1,3,25,1,1,0,6,0,0,3,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau o.b.s. De Wijde Veert,0416::SB3,1723AB,1216,1466,3,5,0,0,1,1359,114,0,0,0,0,0,0,1474,439,77,162,113,160,186,22,129,1,55,45,3,14,7,6,32,3,1,0,4,2,1,4,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau gebouw naast De Duizend Eilanden,0416::SB4,1723AA,1101,847,0,1,0,0,0,786,62,0,0,0,0,0,0,848,208,37,119,87,90,118,12,76,1,23,24,2,13,5,0,25,0,0,0,2,0,1,4,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Buiten Zorg,0416::SB5,1722XR,1189,962,2,6,0,0,0,889,81,0,0,0,0,0,0,970,240,51,134,85,117,101,19,71,3,34,48,0,11,27,1,11,3,0,0,3,1,2,0,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Horizon,0416::SB6,1721GA,1150,919,1,2,0,0,0,845,77,0,0,0,0,0,0,922,222,54,95,65,156,115,40,65,12,19,34,2,10,0,3,17,2,0,1,3,0,2,2,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Christelijke Gereformeerde kerk,0416::SB7,1721BP,1234,1112,0,4,0,0,4,1013,99,0,0,0,0,0,0,1116,448,37,90,33,143,133,65,65,7,28,32,2,4,0,0,23,0,0,0,1,1,0,0,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Witte Kerk,0416::SB8,1834AD,1396,1258,2,3,0,0,0,1151,112,0,0,0,0,0,0,1263,362,62,107,95,140,183,42,119,5,59,28,3,7,5,0,28,2,1,1,6,1,1,1,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Regenboog,0416::SB9,1834CC,1019,698,0,1,0,0,1,640,58,0,0,0,0,0,0,699,204,36,57,36,100,93,28,76,3,18,22,0,3,0,3,13,0,0,0,2,0,1,2,1
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau o.b.s. De Phoenix SP,0416::SB10,1834XJ,1090,984,0,1,0,2,2,896,85,0,0,2,0,0,0,983,275,75,84,71,87,149,26,96,8,36,38,1,4,1,1,26,0,0,0,3,0,1,2,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bonte Koe,0416::SB11,1832AD,186,164,0,1,0,0,0,153,12,0,0,0,0,0,0,165,38,19,16,8,9,30,2,22,0,12,3,0,0,0,0,3,0,0,0,0,2,0,0,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Behouden Huis,0416::SB12,1724NV,1112,1154,1,3,0,0,1,1057,100,0,0,0,0,0,0,1158,341,62,140,87,110,132,23,101,4,42,53,6,13,2,1,29,0,0,0,3,0,0,5,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis,0416::SB13,1722GX,994,1304,3,2,0,1,0,1198,112,0,0,0,1,0,0,1310,364,84,146,90,157,165,39,109,8,34,37,2,6,6,1,44,0,0,1,7,0,3,1,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau r.k. Mariaschool,0416::SB14,1723WB,1468,1001,1,4,0,0,2,917,87,0,0,0,0,0,0,1006,240,49,173,76,118,119,14,86,1,36,42,1,2,3,0,36,0,0,0,1,1,0,3,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Allemanshuis,0416::SB15,1724NV,895,536,0,0,0,0,2,490,44,0,0,0,0,0,0,536,174,31,49,35,64,63,7,43,1,23,14,2,3,3,1,18,3,0,0,2,0,0,0,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Kloosterhof,0416::SB16,1723HG,1176,1040,0,1,0,1,2,963,77,0,0,0,1,0,0,1042,287,61,133,68,137,132,20,84,4,29,38,0,10,7,1,21,1,0,0,2,0,0,5,0
Den Helder,Langedijk,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Trefpunt,0416::SB17,1721EB,1291,956,4,1,0,0,2,866,93,0,0,0,0,0,0,961,191,56,75,64,158,106,85,95,18,44,28,3,1,0,5,16,2,1,0,2,1,4,1,0
