contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hal Stadhuis,0718::SB1,4388MA,1198,1374,3,5,0,0,20,1255,107,0,0,0,0,0,0,1382,233,76,175,152,137,182,36,150,16,63,52,3,15,32,4,28,1,0,0,16,2,0,1,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Oude Stad,0718::SB2,,1117,755,8,1,0,4,3,689,76,0,0,0,4,0,0,768,122,77,132,84,57,76,11,59,8,54,33,3,6,1,2,20,0,1,1,6,1,1,0,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Spui,0718::SB3,,1285,1126,2,2,0,1,15,1027,89,0,0,0,1,0,0,1131,200,91,173,126,90,136,21,111,4,61,49,1,3,3,3,43,0,0,1,7,2,0,1,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gereformeerde Kerk,0718::SB4,,1127,697,2,4,0,0,2,646,55,0,0,0,0,0,0,703,113,35,102,98,62,66,20,60,6,43,42,0,8,2,5,18,0,0,0,14,1,1,1,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Vlot,0718::SB5,,966,916,2,3,0,0,2,830,89,0,0,0,0,0,0,921,75,53,175,154,55,84,14,95,19,43,45,0,0,76,1,16,1,0,0,8,1,0,1,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Reede,0718::SB6,,1227,976,5,3,0,0,3,894,87,0,0,0,0,0,0,984,191,77,125,112,122,108,25,83,14,42,45,0,1,14,0,10,0,1,1,1,1,2,1,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kantine Beheer,0718::SB7,,1048,570,0,1,0,0,0,522,49,0,0,0,0,0,0,571,132,42,81,37,79,68,17,32,16,21,24,0,2,1,0,14,0,0,1,3,0,0,0,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vlissingse Schoolvereniging,0718::SB8,,1062,718,0,2,0,0,3,650,67,0,0,0,0,0,0,720,144,39,131,69,73,57,28,53,7,16,47,2,2,18,0,23,0,0,0,5,2,0,2,0
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Louise de Colignyschool,0718::SB9,,1575,1521,2,1,0,5,0,1383,146,0,0,0,5,0,0,1529,354,108,172,163,165,158,55,115,25,55,68,5,2,18,6,33,0,1,1,9,0,0,3,5
Middelburg,Vlissingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Theo Thijssenschool,0718::SB10,,977,775,5,1,0,0,3,707,71,0,0,0,0,0,0,781,234,57,65,71,98,109,13,60,4,25,21,0,1,3,1,8,0,0,0,3,1,0,1,0
