contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verzorgingshuis Vredewold,0022::SB1,9351 BP,1283,984,0,8,0,0,8,927,57,0,0,0,0,0,0,992,120,90,124,129,195,72,72,75,15,17,48,1,2,2,1,13,0,0,0,4,0,0,1,3
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Leek,0022::SB2,9351 BJ,963,725,1,5,0,0,6,675,50,0,0,0,0,0,0,731,114,71,93,81,136,45,51,63,7,12,23,1,3,0,3,12,0,1,0,7,1,0,1,0
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dienstencentrum De Schutse,0022::SB3,9351 KP,1096,1252,4,3,0,1,7,1179,74,0,0,0,1,0,0,1260,148,135,164,200,178,111,94,103,11,31,46,0,3,8,1,13,0,1,0,1,0,2,0,2
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Cazemierboerderij,0022::SB4,9356 AT,1353,1297,1,1,1,0,4,1168,128,0,0,0,1,0,0,1300,236,106,160,171,158,146,99,111,10,21,34,5,4,0,1,23,0,2,1,4,0,3,1,1
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wooncentrum Tolberterheem,0022::SB5,9356 CT,1280,915,1,1,0,0,2,858,57,0,0,0,0,0,0,917,109,90,123,124,125,85,66,100,7,20,34,1,1,0,2,24,0,0,1,2,0,1,0,0
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Groene Borg,0022::SB6,9354 BC,880,775,0,0,0,0,0,691,84,0,0,0,0,0,0,775,132,48,108,76,181,57,57,43,13,9,31,5,1,0,0,10,0,0,0,1,0,0,0,3
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Vijverborg,0022::SB7,9354 BW,1253,885,0,2,0,0,1,814,72,0,0,0,0,0,0,887,182,55,104,100,208,69,41,51,6,23,28,1,2,0,0,7,0,0,0,1,2,3,0,2
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gasterij Inkies,0022::SB8,9355 TD,759,642,0,1,0,0,0,595,48,0,0,0,0,0,0,643,144,51,35,44,115,83,70,33,15,14,16,1,2,0,0,15,0,3,0,1,0,0,0,0
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau MCO De Gaveborg,0022::SB9,9828 RC,524,468,0,1,0,0,2,424,43,0,0,0,0,0,0,469,65,37,43,65,58,39,32,73,6,13,25,1,2,0,0,5,0,0,0,3,0,0,0,1
Groningen,Leek,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Bolwerk,0022::SB10,9812 PL,252,208,0,0,0,0,0,191,17,0,0,0,0,0,0,208,8,10,7,11,15,16,86,29,11,9,4,0,0,0,0,1,0,0,0,1,0,0,0,0
