contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Gemeentehuis,1783::SB1,2671 GW,1198,1900,5,4,0,0,15,1701,193,0,0,0,0,0,0,1909,579,63,300,82,337,155,41,96,16,43,64,3,5,38,6,60,0,0,0,6,0,0,0,1,4,1
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Bibliotheek,1783::SB2,2671 GK,1223,1036,0,3,0,1,1,946,93,0,0,0,1,0,0,1040,335,21,138,34,247,88,12,46,7,18,43,2,7,8,2,23,0,0,2,0,0,0,0,1,2,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk De Ouverture,1783::SB3,2671 VV,1039,1056,1,1,0,1,1,936,122,0,0,0,1,0,0,1059,311,25,137,46,212,79,44,56,13,21,26,2,3,37,0,37,1,0,0,1,0,1,0,2,1,1
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk ISW Hoogeland,1783::SB4,2672 LD,1409,571,0,0,0,0,0,514,57,0,0,0,0,0,0,571,256,12,60,14,84,74,7,24,2,6,7,1,3,3,1,15,0,0,1,0,0,0,0,1,0,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Careyn Rozenhof,1783::SB5,2671 KH,1590,1400,4,2,0,2,1,1266,141,0,0,0,2,0,0,1408,396,57,230,58,299,102,59,40,22,29,39,0,3,9,4,48,1,0,2,0,0,0,0,2,0,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Gymzaal Wollegras,1783::SB6,2671 ZZ,1613,1346,2,1,0,2,1,1207,143,0,0,0,2,0,0,1351,477,59,188,40,249,130,32,53,10,26,35,0,0,6,0,39,0,0,0,2,0,0,0,0,0,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk De Binnenhof,1783::SB7,2671 EG,1227,1401,2,3,0,0,1,1246,161,0,2,0,2,0,0,1408,477,42,207,70,242,97,26,71,10,19,33,4,7,27,3,56,1,1,2,4,0,0,0,1,1,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Openbare Daltonschool,1783::SB8,2672 BB,1419,1022,0,0,0,0,0,936,86,0,0,0,0,0,0,1022,334,39,144,45,168,128,13,47,18,17,30,1,4,8,0,23,0,0,0,0,0,3,0,0,0,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Brandweerkazerne,1783::SB9,2671 JP,1296,1118,2,0,0,0,0,996,124,0,0,0,0,0,0,1120,374,31,197,43,176,63,38,61,10,29,32,1,9,11,2,33,3,0,0,4,0,0,0,1,0,0
Dordrecht,Westland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Naaldwijk Careyn zorgcentrum Woerdblok,1783::SB10,2673 CX,2145,1655,1,1,0,1,2,1478,176,0,0,1,0,0,0,1656,752,45,238,38,283,122,32,41,11,13,25,2,7,5,3,33,0,0,0,5,0,0,0,0,0,0
