contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Symfonie,0756::SB1,5831 ZZ,1195,954,0,0,0,0,4,866,84,0,0,0,0,0,0,954,210,28,75,264,174,96,3,46,1,13,23,0,2,1,3,12,1,0,0,2,0,0,0,0,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau de Weijerdonck,0756::SB2,5831 JV,1274,886,0,0,0,0,3,809,74,0,0,0,0,0,0,886,201,44,61,220,161,97,0,57,1,16,12,0,0,3,0,10,0,0,0,1,0,0,1,1,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum De Driewiek,0756::SB3,5831 VV,1101,985,0,0,0,0,2,895,88,0,0,0,0,0,0,985,100,28,113,404,115,101,9,51,0,9,19,2,1,19,0,10,0,0,0,4,0,0,0,0,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kinderkenniscentrum 't Bolwerk,0756::SB4,5831 CR,1324,849,2,3,0,0,2,750,102,0,0,0,0,0,0,854,118,19,121,271,103,91,3,67,0,16,10,3,2,8,0,13,0,0,0,4,0,0,0,0,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Jenaplan Kindcentrum (de Peppels),0756::SB5,5831 CA,1150,923,1,1,0,1,2,835,87,0,0,1,0,0,0,924,124,41,81,378,108,81,9,56,0,8,11,5,2,9,0,4,1,0,0,4,0,0,0,0,1
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Restaria De Flip,0756::SB6,5831 MB,1174,1474,0,5,0,2,3,1349,125,0,0,2,0,0,0,1477,239,54,147,515,140,158,6,98,0,36,22,2,5,28,1,14,2,0,0,5,1,0,0,1,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Buurthuis ""de Elsenhof"" Sambeek",0756::SB7,5836 AN,1310,1153,1,0,0,2,2,1040,110,0,0,2,0,0,0,1152,224,42,90,362,225,89,5,65,4,17,13,1,0,1,1,12,1,0,0,0,0,1,0,0,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau MFC Het Kruispunt,0756::SB8,5835 AT,1371,1221,1,4,0,0,4,1093,129,0,0,0,0,0,0,1226,249,35,125,294,243,109,13,61,0,29,27,1,2,0,2,23,2,0,0,4,0,2,0,0,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Gemhuis""de Kleppenburg"" Oeffelt",0756::SB9,5441 BK,1798,1593,1,1,0,1,0,1432,164,0,0,0,1,0,0,1596,347,44,197,406,278,143,5,68,2,23,34,2,4,0,2,30,0,1,3,3,0,0,1,0,0
's-Hertogenbosch,Boxmeer,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Dorpshuis ""de Poel"" Rijkevoort",0756::SB10,5447 AW,1315,1168,4,1,0,0,3,1082,88,0,0,0,0,0,0,1173,269,29,104,295,255,98,2,52,3,11,27,0,5,0,0,14,0,0,0,3,0,0,0,1,0
