contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sellingen  (Gemeentehuis),0048::SB1,9551 AB,1367,1269,4,2,0,0,39,1122,114,0,0,0,0,0,0,1275,157,76,180,172,241,98,67,123,16,53,43,3,9,0,1,24,0,2,0,2,0,2,0,0
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vlagtwedde (De Bolderbörg),0048::SB2,9541 BW,1302,876,2,2,0,0,4,800,76,0,0,0,0,0,0,880,110,82,153,168,129,47,35,43,8,24,54,1,3,0,2,9,1,0,0,3,0,0,2,2
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Vlagtwedde (MFA 't Aambeeld),0048::SB3,9541 AX,1109,1137,3,2,0,0,16,1016,110,0,0,0,0,0,0,1142,191,63,166,152,230,74,60,76,13,38,38,2,4,0,0,27,0,0,0,2,0,0,0,1
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bourtange (De Turfschuur),0048::SB4,9545 PH,621,471,2,0,1,0,8,412,55,0,0,0,2,0,1,475,81,37,94,72,52,23,11,33,6,26,15,0,1,0,1,16,1,0,0,0,0,2,0,0
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Jipsinghuizen (Buurthuis),0048::SB5,9551 TH,835,599,2,0,0,0,1,530,70,0,0,0,0,0,0,601,97,45,94,61,132,36,20,34,10,30,18,2,3,0,0,12,0,0,0,3,0,1,0,1
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Apelkanaal (D'Oale School),0048::SB6,9563 RD,835,645,0,2,0,0,4,595,48,0,0,0,0,0,0,647,106,35,137,111,113,40,9,23,5,15,25,2,1,0,6,11,0,0,0,2,0,0,0,4
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Apel  ('t Streekje),0048::SB7,9561 SC,1366,907,1,1,0,0,4,831,74,0,0,0,0,0,0,909,122,80,203,170,125,61,26,31,6,10,41,3,6,0,4,15,0,0,0,0,1,0,1,2
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Apel (Kloosterheerd),0048::SB8,9561 RD,981,651,2,4,0,0,2,608,47,0,0,0,0,0,0,657,63,71,142,127,98,34,17,20,6,12,52,1,2,1,0,3,0,0,0,1,0,0,0,1
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Apel (Sporthalkantine),0048::SB9,9561 KD,1438,1263,0,1,0,0,19,1133,112,0,0,0,0,0,0,1264,232,112,218,202,197,101,26,65,5,21,57,0,3,0,3,17,1,0,0,3,0,0,0,0
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Barnflair (De Grensstreek),0048::SB10,9561 PC,849,661,1,1,0,0,18,577,68,0,0,0,0,0,0,663,70,40,194,137,79,22,12,29,2,20,27,5,2,0,9,5,0,0,0,2,0,2,2,2
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Apel (De Wilpskamp),0048::SB11,9561 TA,920,751,1,2,0,0,7,676,71,0,0,0,0,0,0,754,154,64,124,107,84,60,18,46,4,28,33,1,3,0,8,11,0,0,4,2,0,0,0,0
Groningen,Vlagtwedde,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Apel (Heemborgh),0048::SB12,9561 EP,1110,853,0,5,0,0,1,785,72,0,0,0,0,0,0,858,109,48,182,171,111,66,21,40,2,32,49,1,0,1,1,14,1,0,0,1,0,0,0,3
