contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gasthuis,0664::SB1,,1272,1197,8,1,0,0,2,1099,105,0,0,0,0,0,0,1206,249,72,111,120,185,142,40,113,44,33,34,3,6,4,0,32,1,2,0,4,2,0,0,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ter Valcke,0664::SB2,,1323,1152,0,2,0,0,3,1043,108,0,0,0,0,0,0,1154,202,57,127,113,179,125,55,64,136,23,37,1,6,5,0,20,0,0,0,1,1,0,0,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Wingerd,0664::SB3,,1420,1230,1,1,0,0,1,1094,137,0,0,0,0,0,0,1232,305,50,69,63,171,118,142,103,131,37,11,1,2,1,22,0,0,0,0,3,0,0,1,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Randhof,0664::SB4,,1305,928,3,1,0,0,1,844,87,0,0,0,0,0,0,932,128,56,109,124,118,95,38,63,94,35,40,1,3,10,0,10,0,0,1,3,0,0,0,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadskantoor,0664::SB5,,1363,1352,4,7,0,0,14,1233,116,0,0,0,0,0,0,1363,285,66,160,167,157,117,51,167,30,52,36,4,5,4,8,35,0,0,0,5,1,1,1,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Westkant,0664::SB6,,1380,946,0,2,0,0,1,847,100,0,0,0,0,0,0,948,176,70,144,139,96,72,53,76,41,27,28,1,5,3,1,7,0,0,0,6,0,0,1,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Openbare ruimte ORU,0664::SB7,,1792,642,0,0,0,0,3,558,81,0,0,0,0,0,0,642,82,32,125,101,57,60,28,66,28,14,23,1,4,7,0,9,0,1,0,3,1,0,0,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Erasmuspark,0664::SB8,,1551,1411,7,6,0,3,3,1293,131,0,0,0,3,0,0,1427,169,91,213,194,186,105,98,148,54,38,59,2,2,30,0,18,0,1,0,0,2,0,1,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Spinne,0664::SB9,,1594,1502,1,2,0,5,3,1367,140,0,0,0,5,0,0,1510,177,109,207,228,155,152,85,155,53,57,46,0,11,30,3,21,2,0,1,5,0,2,3,0
Middelburg,Goes,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Pit,0664::SB10,,1274,1134,3,2,0,0,8,1053,78,0,0,0,0,0,0,1139,129,76,173,151,174,110,50,96,53,34,44,0,6,9,1,19,0,0,1,5,1,0,2,0
