contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Kempenland Bladel,1728::SB1, 5531 AJ,1631,1047,0,1,0,2,3,925,122,0,0,0,2,0,0,1050,252,40,151,153,213,72,6,55,3,19,54,1,2,0,0,15,2,0,0,3,0,1,0,5,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Bladel,1728::SB2,5531 BC,1771,1838,1,1,0,1,27,1636,176,0,0,1,0,0,0,1839,522,80,244,224,287,168,13,112,2,42,68,7,10,1,6,39,2,0,2,3,1,1,0,4,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Den Herd Bladel,1728::SB3,5531 HM,1587,1352,0,1,0,1,2,1236,116,0,0,0,1,0,0,1354,277,49,195,290,221,105,2,85,4,34,66,2,4,0,0,8,0,1,0,4,0,0,1,4,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau DeToermalijn Bladel,1728::SB4,5531 SR,1652,1269,1,2,0,0,0,1160,112,0,0,0,0,0,0,1272,295,57,157,191,224,143,7,82,1,23,47,1,1,0,3,26,3,0,0,2,0,2,0,4,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Pius X College Bladel,1728::SB5,5531 GK,1543,1115,1,3,1,0,0,1002,116,0,0,1,0,0,0,1118,303,46,148,160,195,102,9,56,2,19,43,2,5,0,1,18,0,0,0,1,0,1,1,2,1
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Poel Netersel,1728::SB6,5534 AD,701,598,0,1,0,1,0,544,56,0,0,0,1,0,0,600,195,15,72,74,112,50,4,40,0,7,21,1,1,0,0,3,0,0,1,1,0,0,0,1,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Den Tref Hapert,1728::SB7,5527 EH,2064,1921,2,2,0,0,8,1732,185,0,0,0,0,0,0,1925,525,81,258,246,343,187,11,92,1,44,82,4,3,0,0,32,0,0,0,3,1,0,0,8,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Pleintje Hapert,1728::SB8,5527 EE,2124,1542,3,2,0,0,33,1375,139,0,0,0,0,0,0,1547,393,37,219,203,300,151,10,69,4,24,75,4,9,1,2,32,0,1,0,4,0,0,0,3,1
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau D' n Anloop Hoogeloon,1728::SB10,5528 AW,1726,1425,0,0,0,0,3,1300,122,0,0,0,0,0,0,1425,361,30,146,158,382,146,4,55,3,33,66,2,4,1,0,30,0,2,0,2,0,0,0,0,0
's-Hertogenbosch,Bladel,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau D' n Aord Casteren,1728::SB11,5529 AK,817,677,1,3,0,0,0,608,73,0,0,0,0,0,0,681,186,13,71,82,147,65,9,31,2,16,32,1,5,0,0,14,0,0,1,1,0,1,0,0,0
