contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Raadhuis ""De Paauw""",0629::SB1,,1170,1040,1,0,0,0,2,886,153,0,0,0,0,0,0,1041,582,28,62,7,103,139,16,32,10,21,8,1,0,0,0,30,0,0,0,0,0,0,1,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bloemcampschool,0629::SB2,,913,1086,1,6,0,6,4,909,186,0,0,0,6,0,0,1099,711,21,40,4,84,123,7,44,1,21,4,1,0,0,0,24,0,0,0,1,0,0,0,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Buurtcentrum Het Kerkehout,0629::SB3,,1347,954,1,4,0,4,8,871,84,0,0,0,4,0,0,963,345,34,161,57,94,98,7,51,3,38,22,2,3,6,0,31,0,0,0,0,2,0,0,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum Van Ommerenpark,0629::SB4,,914,790,0,2,0,0,3,659,130,0,0,0,0,0,0,792,481,11,55,4,96,67,12,13,4,16,5,0,3,1,0,19,1,0,0,1,1,0,0,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ridderhof,0629::SB5,,1281,1054,2,2,0,1,5,943,109,0,0,1,0,0,0,1057,510,38,60,18,147,145,15,47,2,30,15,0,2,0,3,19,0,0,0,2,0,0,1,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sophiekehuis,0629::SB6,,1270,1047,0,2,0,0,6,919,124,0,0,0,0,0,0,1049,381,33,136,61,126,117,10,52,4,49,35,1,2,2,3,31,2,0,0,1,0,0,0,1,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bibliotheek,0629::SB7,,1120,1126,0,2,0,0,7,1010,111,0,0,0,0,0,0,1128,484,44,95,22,129,128,17,77,2,41,26,1,2,2,5,45,0,1,0,4,0,1,0,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Middelwegschool,0629::SB8,,1080,1005,1,1,0,3,1,915,94,0,0,0,3,0,0,1010,453,38,88,25,121,131,15,41,11,40,9,1,4,0,0,22,1,0,0,2,0,2,1,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Verpleegtehuis ""Duinstede""",0629::SB9,,1257,1017,1,7,0,0,2,899,124,0,0,0,0,0,0,1025,384,38,108,28,146,134,24,55,4,27,29,0,4,1,2,29,0,1,0,1,2,0,0,0,0
Leiden,Wassenaar,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau gebouw 'Sion',0629::SB10,,991,914,2,4,0,4,2,855,67,0,0,0,4,0,0,924,235,35,135,39,151,112,17,58,7,33,42,1,4,3,1,28,1,1,0,4,1,3,3,0,0
