contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis Denekamp,1774::SB1,7591 MA,1697,1730,3,4,0,0,55,1551,131,0,0,0,0,0,0,1737,500,79,216,117,502,135,17,69,2,16,37,1,4,0,1,31,0,0,0,1,0,1,1
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Openbare basisschool Dr ML Kingschool,1774::SB2,7591 XJ,1866,1578,2,6,0,2,12,1436,140,0,0,0,2,0,0,1588,359,74,225,168,420,163,8,70,3,17,41,0,2,2,1,21,2,0,0,1,0,1,0
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Zorggroep St.Maarten,loc.St.Gerardus Majella",1774::SB3,7591 GX,1633,1144,1,2,0,0,4,1046,97,0,0,0,0,0,0,1147,307,38,110,91,386,102,5,49,0,14,21,1,1,3,0,8,1,0,0,0,0,1,6
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brandweerkazerne,1774::SB4,7591 BH,1632,1374,0,1,0,3,34,1211,133,0,0,0,3,0,0,1378,360,46,177,141,354,133,6,64,2,16,32,0,7,0,0,30,0,0,0,4,0,2,0
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kulturhus De Mare,1774::SB5,7591 PC,851,729,1,0,0,1,15,623,93,0,0,0,1,0,0,731,150,16,87,66,340,27,6,17,0,3,12,0,0,0,0,3,0,0,0,0,0,0,2
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gasterij de Smid,1774::SB6,7635 NC,805,685,0,1,0,0,10,588,88,0,0,0,0,0,0,686,128,15,67,25,365,33,7,16,0,8,8,0,0,0,0,11,0,0,1,1,0,0,0
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Stichting Expl.MFA ""Terra Nova"" Tilligte",1774::SB7,7634 PL,693,598,0,2,1,0,3,522,74,0,0,1,0,0,0,599,122,11,49,24,336,29,3,7,0,3,7,0,1,0,0,2,1,0,0,3,0,0,0
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Café Groot Agelo,1774::SB8,7636 RL,741,472,0,0,0,0,2,408,62,0,0,0,0,0,0,472,139,6,28,7,233,27,3,10,6,3,7,0,0,0,1,0,0,0,0,2,0,0,0
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Zorggroep St. Maarten, Huize Sint Joseph",1774::SB9,7595 AP,1252,953,0,3,0,0,4,852,100,0,0,0,0,0,0,956,246,22,125,51,364,73,8,15,1,8,24,0,1,1,0,10,0,0,0,4,0,0,0
Zwolle,Dinkelland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapscentrum 't Trefpunt,1774::SB10,7595 XB,1091,1082,1,1,0,0,3,979,102,0,0,0,0,0,0,1084,322,25,122,58,343,114,2,38,2,13,25,1,2,0,0,15,0,0,0,0,0,0,0
