contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Oostdam,1924::SB1,,1697,1482,2,0,0,13,7,1312,178,0,0,0,13,0,0,1497,362,59,159,78,174,107,124,53,269,28,30,0,4,1,2,27,0,0,0,2,1,0,0,1,1,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpstienden,1924::SB2,,1451,1625,0,2,0,1,79,1353,196,0,0,0,1,0,0,1628,425,35,139,45,216,81,77,34,457,36,33,0,5,0,2,39,0,0,0,0,0,0,0,1,0,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Eben Haëzer,1924::SB3,,1829,1455,1,5,0,1,7,1267,186,0,0,1,0,0,0,1460,250,29,168,50,190,50,90,19,547,11,14,0,6,0,0,30,1,0,0,0,0,0,0,0,0,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Vliedberg,1924::SB4,,1265,1028,2,2,0,0,16,871,145,0,0,0,0,0,0,1032,158,33,144,44,144,22,75,17,317,15,36,0,1,1,1,15,1,0,1,0,0,0,0,0,3,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Rank,1924::SB5,,1443,1112,2,3,0,2,2,994,123,0,0,0,2,0,0,1119,197,38,181,85,148,49,76,39,183,35,44,2,5,0,6,20,0,0,0,2,0,0,0,0,2,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Haegse Huus,1924::SB6,,1305,1124,0,4,0,0,5,1011,112,0,0,0,0,0,0,1128,173,60,230,63,166,58,78,45,178,19,28,0,3,0,1,19,0,1,0,1,0,0,0,0,1,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Schakel,1924::SB7,,2032,1711,2,4,0,0,8,1475,235,0,1,0,1,0,0,1718,277,60,241,111,220,61,180,48,398,21,44,3,9,1,1,28,0,0,1,2,0,0,0,0,5,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Geldershof,1924::SB9,,2176,1812,0,6,0,0,3,1597,218,0,0,0,0,0,0,1818,299,71,251,105,299,52,152,27,443,34,35,4,6,0,3,19,0,3,1,2,1,0,0,0,5,0
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ons Huis,1924::SB10,,970,842,3,1,0,0,4,772,70,0,0,0,0,0,0,846,141,32,172,49,105,39,51,19,184,13,17,0,3,0,0,12,0,0,0,3,0,0,0,0,1,1
Dordrecht,Goeree-Overflakkee,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Melishof,1924::SB11,,1646,1365,1,3,0,0,8,1240,121,0,0,0,0,0,0,1369,229,62,267,119,157,71,54,43,216,35,58,0,18,0,1,31,0,0,0,0,0,3,0,1,0,0
