contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),JEZUS LEEFT,StemNL
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Julianakerk,1525::SB1,,1835,1139,1,0,0,0,1,1031,108,0,0,0,0,0,0,1140,346,48,129,48,180,142,33,87,3,28,55,2,5,7,2,18,1,0,1,4,0,0,0,0,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentekantoor Teylingen,1525::SB2,,2322,2170,2,8,0,0,10,1953,223,0,0,0,6,0,0,2186,797,96,181,84,322,292,51,131,17,55,77,3,2,9,2,42,1,2,0,6,0,0,0,0,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Openb. Basisschool ""Het Bolwerk""",1525::SB3,,2139,1922,3,6,0,0,3,1761,170,0,0,0,3,0,0,1934,666,72,184,105,315,237,43,120,6,54,58,3,3,16,4,27,3,0,2,3,0,1,0,0,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau RK Basisschool ""De Springplank""",1525::SB4,,1670,1432,3,1,0,0,1,1278,157,0,0,0,0,0,0,1436,405,52,160,89,202,221,26,112,4,34,51,2,4,16,1,41,1,1,1,5,4,0,0,0,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorggroep Marente loc. Bernardus,1525::SB5,,1971,1603,0,6,0,0,3,1467,140,0,0,0,1,0,0,1610,450,94,184,111,208,226,31,115,7,41,56,1,7,17,7,41,2,0,1,1,0,0,0,2,1
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau obs Het Bolwerk locatie Diligence,1525::SB6,,1940,1623,2,0,0,0,0,1476,152,0,0,0,3,0,0,1628,524,85,176,99,168,248,23,133,2,37,62,2,10,5,3,38,1,0,0,6,0,1,0,0,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Soc. Cult. Centrum ""Het Trefpunt""",1525::SB9,,1770,1553,1,2,0,0,4,1397,166,0,0,0,11,0,0,1567,472,72,171,111,194,238,22,123,10,53,37,3,5,3,3,26,0,1,0,7,0,1,0,0,1
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Soc. Cult. Centrum Het Trefpunt 2,1525::SB10,,2026,1573,2,2,0,0,4,1370,196,0,0,7,0,0,0,1570,471,84,171,91,194,252,25,117,8,64,42,0,4,1,0,40,0,1,0,4,0,4,0,0,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Bestuurscentrum Teylingen,1525::SB14,,2521,1760,2,4,0,0,13,1605,154,0,0,0,6,0,0,1772,541,62,143,85,205,323,59,180,3,49,53,0,3,0,0,39,1,0,1,9,1,1,0,2,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Roef (bij St. Bartholomeuskerk),1525::SB15,,1898,1592,3,5,0,0,2,1470,132,0,0,0,4,0,0,1604,530,62,173,71,271,200,26,98,7,47,58,1,5,3,1,30,2,0,2,0,0,2,2,1,0
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,"Stembureau Jeugdcentrum ""De Spelewey""",1525::SB16,,1743,1417,0,0,0,0,0,1304,115,0,0,0,2,0,0,1419,407,58,163,74,211,181,21,141,11,36,45,0,6,5,4,44,1,0,1,5,0,2,0,0,1
Leiden,Teylingen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Jongerencentrum @hok,1525::SB17,,1308,1057,2,3,0,0,9,939,114,0,0,0,0,0,0,1062,400,26,132,45,150,140,13,58,4,21,24,1,5,2,2,30,0,0,0,3,0,1,0,0,0
