contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer,JEZUS LEEFT,StemNL,MenS en Spirit / Basisinkomen Partij / V-R
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentehuis ingang Oude Raadhuis,0203::SB1,3772 ER,889,1095,0,3,0,2,10,980,110,0,0,0,2,0,0,1100,203,30,93,48,194,95,120,67,174,27,12,0,1,10,0,14,1,0,1,3,0,0,0,2,0,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool De Bron,0203::SB2,3771 CS,876,777,1,2,0,0,3,680,98,0,0,0,0,0,0,781,158,16,73,18,138,27,87,16,211,9,9,2,4,3,0,3,0,0,0,0,0,0,0,1,2,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Appartementencomplex Rumah Maluku,0203::SB3,3771 GR,1623,1214,0,1,0,0,2,1109,104,0,0,0,0,0,0,1215,138,40,155,70,198,52,131,43,250,17,43,0,3,43,0,19,4,1,0,1,1,2,0,0,1,0,2
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ontmoetingscentrum Bronveld,0203::SB4,3772 GR,992,857,0,6,0,0,2,769,92,0,0,0,0,0,0,863,96,31,120,67,102,47,80,37,93,13,34,1,0,112,4,14,0,0,1,2,0,2,0,1,0,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Goede Herderkerk,0203::SB5,3772 BL,1374,1572,1,2,0,6,6,1399,176,0,0,0,6,0,0,1581,231,33,203,82,214,67,265,54,301,18,35,2,10,28,2,20,0,0,0,2,2,0,0,0,2,0,1
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Openbare Basisschool De Lijster,0203::SB6,3772 AA,436,369,0,5,0,0,0,336,38,0,0,0,0,0,0,374,52,11,60,25,40,27,19,9,84,3,11,0,2,19,0,5,0,0,0,0,1,0,0,1,0,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Schaffelaartheater ingang Harmonie,0203::SB7,3772 KV,1328,1359,0,4,2,0,4,1227,134,0,0,0,2,0,0,1365,214,29,123,51,238,60,112,46,400,17,38,1,4,8,0,14,0,0,0,2,0,0,0,0,1,0,1
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau  Nederlands Pluimveemuseum,0203::SB8,3771 RB,1248,870,1,1,0,1,2,773,98,0,0,0,1,0,0,873,124,14,85,42,147,47,109,28,227,9,17,1,5,2,0,12,0,0,0,0,0,0,0,0,1,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghuis Norschoten,0203::SB9,3773 AW,689,878,1,1,0,0,1,779,100,0,0,0,0,0,0,880,109,32,69,19,152,38,111,15,278,12,23,1,3,3,2,7,0,0,0,1,0,0,1,0,2,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Daltonschool  Lange Voren,0203::SB10,3773 AT,1328,1393,1,3,0,0,3,1231,163,0,0,0,0,0,0,1397,233,37,104,45,274,64,168,25,365,13,30,1,2,2,2,27,0,0,0,1,0,0,0,0,0,0,0
Arnhem,Barneveld,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Elim,0203::SB11,3771 VB,1439,1318,4,6,0,0,8,1195,125,0,0,0,0,0,0,1328,226,17,85,29,229,75,153,41,409,7,20,2,0,2,3,14,0,0,2,4,0,0,0,0,0,0,0
