contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP)
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis,0988::SB1,,1800,2071,4,6,0,15,33,1863,170,0,0,15,0,0,0,2066,561,75,285,213,280,250,11,126,2,63,74,4,26,30,4,48,0,4,1,10,0,4,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Odaschool Anjelierstraat,0988::SB3,,1798,1439,1,3,0,2,5,1298,142,0,0,0,2,0,0,1445,273,52,319,212,139,175,13,80,1,37,60,3,6,19,3,43,0,0,2,1,1,0,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Blokhut Scouting Fatima,0988::SB4,,2076,1267,1,4,0,0,3,1158,113,0,2,0,2,0,0,1274,147,57,332,199,121,110,13,104,3,41,57,1,4,43,0,28,0,0,0,5,0,2,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sporthal Aan de Bron,0988::SB6,,1352,1240,1,12,0,1,3,1154,97,0,0,0,1,0,0,1254,231,43,235,173,132,129,5,91,2,23,51,0,2,77,3,36,1,2,1,1,1,1,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Hieronymus,0988::SB7,,1556,1164,1,9,0,0,3,1056,115,0,0,0,0,0,0,1174,242,53,188,155,130,117,11,63,0,34,61,1,7,53,2,43,1,0,0,1,0,2,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Brede school Markeent,0988::SB8,,1709,1123,8,8,0,1,5,1014,119,0,0,1,0,0,0,1138,162,47,219,161,107,114,13,74,2,14,52,2,3,110,2,23,1,2,2,9,1,3,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkgebouw Keenter Hart,0988::SB9,,1829,1285,7,7,0,0,3,1291,5,0,0,0,0,0,0,1299,183,78,256,197,152,125,8,86,1,24,71,0,3,74,3,18,2,0,1,2,0,1,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sportpark Graswinkel,0988::SB10,,1795,1373,3,3,0,0,4,1247,127,0,0,1,0,1,0,1378,303,50,229,158,183,167,16,106,1,22,75,0,4,16,4,28,2,0,0,6,1,2,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau MFA Kimpeveld,0988::SB11,,776,691,0,1,0,0,1,640,51,0,0,0,0,0,0,692,157,12,117,68,160,72,4,27,3,23,23,2,2,0,1,16,0,2,0,2,0,0,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sportpark Op den Das,0988::SB12,,849,685,2,0,0,1,4,607,77,0,0,0,1,0,0,688,168,25,98,64,139,51,8,40,3,23,46,1,3,0,0,12,0,0,1,2,0,1,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Trefcentrum Willem Litjenshof,0988::SB13,,1734,1307,4,2,0,1,8,1194,112,0,0,0,1,0,0,1314,341,40,202,161,209,143,5,54,0,20,78,1,3,2,3,37,1,0,1,4,0,2,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Kantine SV Laar,0988::SB14,,2421,1763,0,0,0,0,2,1560,201,0,0,0,0,0,0,1763,488,56,248,154,268,240,7,106,1,30,72,2,2,26,3,52,1,0,0,7,0,0,0
Maastricht,Weert,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau IKC Laar,0988::SB15,,1532,1107,1,0,0,0,4,995,109,0,0,0,0,0,0,1108,347,33,138,87,194,143,3,38,0,35,50,3,7,0,0,27,0,0,0,2,0,0,0
