contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Ver.gebouw de Wingerd,0716::SB1,4691BP,1308,1086,1,4,0,0,2,962,128,0,0,0,1,0,1,1092,198,50,139,96,124,61,101,66,169,27,25,0,2,0,0,25,0,1,0,0,1,1,0,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dalemhof,0716::SB2,4691ZC,1316,1287,1,2,0,0,2,1135,153,0,0,0,0,0,0,1290,217,45,185,119,154,54,119,39,251,16,34,3,5,6,3,32,0,1,1,2,0,1,0,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapscentrum Meulvliet,0716::SB3,4691HT,1396,1333,1,3,0,1,2,1141,193,0,0,1,0,0,0,1336,191,38,171,109,165,76,114,59,298,28,25,0,3,36,1,13,0,2,1,1,0,1,1,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zalencentrum Ger.Gemeente,0716::SB4,4691DS,1913,1413,0,1,0,0,8,1201,205,0,0,0,0,0,0,1414,256,37,137,83,198,60,124,42,388,24,32,1,2,2,0,25,0,0,0,2,0,0,0,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis 't Ouwe Raed úus,0716::SB5,4693BV,1266,986,1,1,0,2,3,869,118,0,0,0,2,0,0,990,131,31,162,78,159,34,58,28,222,25,27,0,4,0,2,22,1,0,0,0,0,0,2,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sassegrave,0716::SB6,4694BP,1245,1025,1,3,0,0,2,883,144,0,0,0,0,0,0,1029,87,39,104,60,89,27,48,15,486,17,34,0,4,0,1,13,0,1,0,0,0,0,0,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapscentrum Haestinge,0716::SB7,4695BA	,1539,1181,1,3,0,0,3,1022,160,0,0,0,0,0,0,1185,216,75,210,130,101,74,36,30,198,28,45,1,5,2,0,25,1,0,1,1,0,0,2,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum Maartenshof,0716::SB8,4695HV,1127,945,6,2,0,3,1,836,119,0,0,0,3,0,0,956,89,63,219,111,102,36,48,27,166,20,36,1,3,5,0,17,0,0,0,1,0,0,1,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis de Stove,0716::SB9,4696BK,1248,1034,1,1,0,0,0,841,195,0,0,0,0,0,0,1036,91,28,154,56,97,27,46,21,459,6,32,1,0,0,2,9,0,2,2,1,0,0,0,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Zorgcentrum de Schutse,0716::SB10,4697GM,1256,1083,2,2,0,0,1,939,147,0,0,0,0,0,0,1087,192,35,172,101,127,40,71,30,252,12,17,0,5,2,0,20,0,0,0,5,0,0,2,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapscentrum de Wellevaete,0716::SB11,4697BJ,1564,1335,0,0,0,4,0,1139,200,0,0,0,4,0,0,1339,217,61,193,106,176,68,94,39,307,19,29,0,7,0,0,16,0,0,0,1,0,0,2,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis de Vossenkuil,0716::SB12,4698AM,1985,1572,2,1,0,0,0,1394,181,0,0,0,0,0,0,1575,315,78,308,136,194,92,77,68,177,28,53,2,9,0,3,21,0,0,2,4,1,0,3,1
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis de Wimpel,0716::SB13,4675CS,1665,1453,3,1,0,0,0,1274,183,0,0,0,0,0,0,1457,214,28,265,77,159,53,59,18,499,22,28,1,6,0,1,18,1,2,0,2,0,0,0,0
Middelburg,Tholen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Ons Dorpshuis,0716::SB14,4675RJ,322,269,0,0,0,0,1,241,27,0,0,0,0,0,0,269,41,12,56,20,57,10,24,9,25,5,2,1,4,0,0,2,1,0,0,0,0,0,0,0
