contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghuis Cornelia,1676::SB1,4301 NW,999,740,0,3,0,0,0,655,88,0,0,0,0,0,0,743,240,33,80,38,128,49,26,30,44,27,19,1,1,0,1,21,0,0,0,1,0,0,0,1
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau het Tonnenmagazijn,1676::SB2,4318 AC,1097,900,0,2,0,0,20,811,71,0,0,0,0,0,0,902,181,81,133,98,93,82,61,57,19,29,41,1,5,0,1,14,0,1,1,1,1,0,0,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Dreischor,1676::SB3,4315 AA,777,629,0,1,0,0,7,562,61,0,0,0,0,0,0,630,166,35,72,50,74,58,16,45,33,45,22,0,0,0,1,7,1,0,0,4,0,0,0,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Noordgouwe,1676::SB4,4317 BA,656,569,0,0,0,0,1,508,60,0,0,0,0,0,0,569,173,38,60,41,83,37,8,32,43,23,14,0,2,0,1,14,0,0,0,0,0,0,0,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Zonnemaire,1676::SB5,4316 AB,599,502,0,0,0,0,1,449,52,0,0,0,0,0,0,502,129,35,61,38,67,40,25,23,19,30,8,2,1,0,2,15,0,0,1,3,1,0,1,1
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau 't Durps'uus Bruinisse,1676::SB6,4311 ED,1501,1342,2,1,0,0,11,1154,180,0,0,0,0,0,0,1345,400,55,195,54,183,58,50,29,233,22,35,0,4,0,1,20,0,0,0,2,0,0,1,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hervormde Kerk,1676::SB7,4311 AS,1488,1220,0,7,0,0,8,1036,183,0,0,0,0,0,0,1227,287,42,189,75,173,52,66,11,241,20,38,0,3,0,0,20,1,0,1,0,0,0,1,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw Ons Dorpshuis,1676::SB8,4306 CA,911,879,1,0,0,0,2,775,103,0,0,0,0,0,0,880,107,27,98,38,106,35,51,36,338,13,17,0,2,0,2,7,0,0,1,0,0,0,1,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonservicecentrum Steenzwaenshof,1676::SB9,4306 CW,1025,823,0,4,0,0,1,735,91,0,0,0,0,0,0,827,175,37,74,75,120,48,50,25,174,6,20,1,2,0,0,12,1,0,0,1,1,0,1,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Oosterland,1676::SB10,4307 AR,827,750,3,0,0,1,1,666,85,0,0,1,0,0,0,752,120,18,85,30,78,36,50,16,288,11,13,0,0,0,0,3,0,0,1,1,0,0,0,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Saele,1676::SB11,4307 LL,882,663,0,2,0,3,0,589,79,0,0,0,3,0,0,668,87,20,87,28,75,28,34,13,261,7,9,3,1,0,0,9,0,0,0,1,0,0,0,0
Middelburg,Schouwen-Duiveland,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Ouwerkerk,1676::SB12,4305 AH,493,423,0,0,0,0,0,384,39,0,0,0,0,0,0,423,140,27,42,33,43,39,18,20,13,15,23,0,2,0,0,8,0,0,0,0,0,0,0,0
