contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Lokaal in de Kamer,Vrije Democratische Partij (VDP)
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Centrum Ouderenzorg Westerhaven,0405::SB1,1621 KP,1636,1303,3,4,0,0,7,1198,105,0,0,0,0,0,0,1310,353,103,128,120,81,173,10,189,6,62,39,4,2,0,0,23,0,0,0,6,2,1,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Schouwburg het Park,0405::SB2,1621 LE,2130,1279,1,8,0,1,4,1163,120,0,0,1,0,0,0,1287,304,81,151,88,97,186,18,169,2,58,22,1,8,61,4,17,1,0,1,6,3,0,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Boterhal,0405::SB4,1621 CZ,1410,1436,0,0,0,0,6,1313,117,0,0,0,0,0,0,1436,393,117,118,114,81,244,7,196,3,68,35,2,4,0,3,38,0,1,0,8,0,0,2,2
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Showband Hoorn,0405::SB5,1621 GK,1227,983,3,0,0,0,5,897,84,0,0,0,0,0,0,986,231,76,79,84,77,164,10,125,1,60,31,1,9,1,3,22,0,1,0,3,0,4,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Grote Waal 1,0405::SB6,1622 ES,2221,1620,3,10,0,0,3,1466,164,0,0,0,0,0,0,1633,286,121,237,180,103,173,28,191,4,76,63,5,10,81,0,33,0,5,0,6,12,5,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum Grote Waal 2,0405::SB7,1622 ES,2221,1757,2,10,0,6,4,1614,157,0,0,0,6,0,0,1775,288,151,259,203,121,192,20,180,3,104,89,1,6,65,5,43,0,0,0,12,12,3,0,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verpleeghuis Lindendael,0405::SB8,1624 AB,1728,1518,1,7,0,0,8,1380,138,0,0,0,0,0,0,1526,347,145,128,135,146,221,19,198,1,75,35,2,7,23,2,28,0,0,0,2,0,1,3,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum de Zaagtand,0405::SB9,1624 VW,2242,1878,2,8,0,0,3,1709,176,0,0,0,0,0,0,1888,443,136,195,160,188,264,17,196,1,61,64,1,4,85,2,40,2,0,1,8,5,4,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Praethuys 't Slot,0405::SB10,1623 JD,1698,1325,2,4,0,0,2,1230,99,0,0,0,0,0,0,1331,308,105,172,131,80,146,17,175,7,74,54,4,4,7,2,26,1,0,0,4,6,1,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis,0405::SB11,1625 HV,1738,1978,4,6,0,4,11,1815,166,0,0,0,4,0,0,1992,435,157,195,197,194,304,32,202,6,65,94,3,16,12,3,40,1,2,4,9,6,0,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum de Huesmolen 1,0405::SB12,1625 HZ,1668,1615,3,0,0,7,3,1475,133,0,0,7,0,0,0,1611,269,166,216,180,149,213,17,189,4,83,53,1,7,9,2,41,0,1,0,10,0,2,2,1
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum de Huesmolen 2,0405::SB13,1625 HZ,1668,1466,5,4,0,3,3,1340,135,0,0,0,3,0,0,1478,279,123,197,165,122,170,25,159,7,73,76,2,4,23,2,24,0,2,2,4,4,2,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Centrum Ouderenzorg Avondlicht,0405::SB14,1625 NX,1699,1378,2,4,0,0,3,1265,117,0,0,0,1,0,0,1385,305,131,105,172,142,169,32,151,6,53,48,6,6,20,0,22,0,0,0,6,4,0,0,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau West-Friese Hockeyclub Hoorn,0405::SB15,1689 VR,3294,1992,5,6,0,0,3,1823,177,0,0,0,0,0,0,2003,384,141,287,226,173,242,48,204,2,92,87,1,5,26,8,37,2,2,2,11,4,6,2,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum de Cogge 1,0405::SB17,1689 NT,1653,1758,4,7,0,2,3,1615,153,0,0,0,2,0,0,1771,249,147,369,237,107,153,30,175,4,82,73,5,8,9,4,64,2,1,1,12,18,2,4,2
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Wijkcentrum de Cogge 2,0405::SB18,1689 NT,1653,737,0,3,0,0,1,670,69,0,0,0,0,0,0,740,104,55,140,98,55,90,19,77,2,32,26,2,2,6,0,17,0,0,0,3,6,1,2,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Centrum Ouderenzorg de Perelaar,0405::SB19,1689 GN,1659,1527,3,3,0,0,3,1407,123,0,0,0,0,0,0,1533,393,87,209,130,189,204,24,136,3,50,51,0,2,0,3,37,0,0,0,5,1,2,1,0
Den Helder,Hoorn,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Openbare basisschool Socrates 1,0405::SB20,1689 CP,1795,1499,0,1,0,1,1,1314,186,0,0,0,1,0,0,1501,530,70,170,86,136,171,24,145,5,43,23,3,15,20,0,41,0,1,1,7,6,1,0,1
