contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP),Lokaal in de Kamer
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis,0014::SB1,9712 HN,840,2404,3,7,0,0,30,2243,141,0,0,0,0,0,0,2414,421,109,67,126,131,757,64,504,5,109,6,3,7,7,4,52,2,1,1,24,1,0,1,2
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Werkman College,0014::SB2,9711 VG,1639,839,4,2,0,0,0,783,62,0,0,0,0,0,0,845,105,41,29,71,40,214,19,218,2,59,8,0,1,4,0,16,0,0,0,9,1,1,0,1
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeente Groningen,0014::SB3,9713 GW,1347,637,0,0,0,0,3,590,44,0,0,0,0,0,0,637,120,46,21,53,31,125,15,137,2,47,4,1,1,2,0,22,0,0,0,9,0,1,0,0
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeente Groningen,0014::SB4,9711 HL,754,1093,1,0,0,2,9,1026,61,0,0,0,2,0,0,1096,179,89,51,62,41,284,19,248,0,75,7,0,0,2,1,20,1,0,1,11,0,1,1,0
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Sint Michaëlschool,0014::SB6,9712 EW,933,716,1,0,0,0,1,673,43,0,0,0,0,0,0,717,127,48,23,41,34,200,14,168,0,36,1,0,0,2,1,10,0,0,0,9,1,0,0,1
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hampshire Hotel - Groningen Centre,0014::SB7,9711 EK,1389,907,1,0,0,1,5,850,54,0,0,0,1,0,0,909,185,55,35,48,54,230,18,185,0,47,5,1,0,4,1,20,0,0,0,14,4,1,0,0
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Harmoniecomplex RUG,0014::SB8,9712 EK,989,1565,1,0,0,0,19,1453,94,0,0,0,0,0,0,1566,298,55,21,46,72,557,30,372,4,63,4,2,3,3,3,22,0,0,0,6,2,0,1,1
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Remonstrantse kerk,0014::SB9,9711 BS,1040,738,1,2,0,0,7,689,45,0,0,0,0,0,0,741,161,48,16,34,42,204,22,143,0,38,6,0,1,0,0,11,1,0,2,7,2,0,0,0
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Activiteitencentrum De Holm,0014::SB10,9711 JS,1443,1111,2,0,0,0,12,1046,55,0,0,0,0,0,0,1113,187,50,35,63,55,338,20,243,0,67,8,0,2,2,1,28,1,0,0,6,4,1,0,0
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Heerenhuis,0014::SB11,9712 NR,746,641,0,0,0,0,3,604,34,0,0,0,0,0,0,641,136,37,14,31,24,179,13,153,0,26,1,2,2,1,1,14,0,0,0,2,3,1,0,1
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Borgmanschool,0014::SB12,9712 SC,1726,1534,2,4,0,0,7,1443,90,0,0,0,0,0,0,1540,192,104,39,91,58,368,47,442,1,141,4,1,1,2,2,26,0,1,0,11,3,0,0,0
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Het Paleis,0014::SB13,9712 LM,1373,1178,1,5,0,0,13,1103,68,0,0,0,0,0,0,1184,185,57,33,65,68,339,23,288,0,62,9,1,2,2,0,29,0,0,3,10,0,1,0,1
Groningen,Groningen,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Woonzorgcentrum De Ebbingepoort,0014::SB14,9712 XA,1060,611,6,0,0,2,4,576,40,0,0,0,3,0,1,620,74,72,26,59,36,137,19,131,0,32,4,0,3,0,0,12,0,0,1,2,1,1,0,1
