contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Libertarische Partij (LP),Lokaal in de Kamer,StemNL
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw Pro Rege Oostburg,1714::SB1,4501 JA,1715,1361,3,4,0,2,15,1186,169,0,0,0,2,0,0,1370,251,101,238,178,208,122,29,87,22,33,52,0,8,0,1,25,2,1,0,2,1,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau KWL gebouw Oostburg,1714::SB2,4501 LC,1898,1361,7,3,0,0,7,1208,156,0,0,0,0,0,0,1371,314,126,210,146,194,130,26,78,14,46,44,1,3,5,0,15,1,1,0,5,1,0,1,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Multifunctioneel gebouw Zuidzande,1714::SB3,4505 AR,412,351,1,0,0,0,5,319,28,0,0,0,0,0,0,352,118,24,36,32,66,22,6,17,2,14,8,0,1,0,1,3,0,0,0,1,0,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Verenigingsgebouw Cadzand,1714::SB4,4506 AG,548,463,1,0,0,0,25,391,49,0,0,0,1,0,0,465,166,35,73,40,43,36,2,29,4,15,13,1,1,0,0,5,0,0,0,0,0,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Nieuwvliet,1714::SB5,4504 AG,315,286,0,0,0,0,23,230,33,0,0,0,0,0,0,286,105,9,31,17,43,28,8,20,3,6,9,1,0,0,1,4,0,0,0,1,0,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Multifunctioneel centrum 't Torentje Groede,1714::SB6,4503 AT,809,637,0,1,0,1,6,567,66,0,0,0,1,0,0,639,159,51,114,61,61,44,19,50,14,25,16,4,2,0,0,10,1,2,0,4,0,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Multifunctioneel centrum De Korre Breskens,1714::SB7,4511 JB,2010,1467,0,4,0,3,2,1299,173,0,0,0,3,0,0,1474,400,84,316,171,136,89,20,80,11,26,76,3,11,0,2,35,0,0,0,7,0,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Hooge Platen Breskens,1714::SB8,4511 XX,1727,1407,4,7,0,0,26,1246,146,0,0,0,0,0,0,1418,316,104,272,183,142,88,29,66,9,39,90,0,10,0,1,50,0,2,0,4,0,1,1,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Dorpshuis Hoofdplaat,1714::SB9,4513 AR,596,446,0,1,0,0,5,385,57,0,0,0,0,0,0,447,90,27,107,53,74,20,11,13,8,9,23,0,3,0,0,6,1,0,0,1,0,0,0,0
Middelburg,Sluis,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Emmaus IJzendijke,1714::SB10,4515 CW,1867,1482,3,4,0,0,3,1330,159,0,0,0,3,0,0,1492,365,111,228,161,241,118,17,83,26,43,57,1,6,1,0,20,0,1,0,2,0,0,1,0
