contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),SP (Socialistische Partij),CDA,Democraten 66 (D66),ChristenUnie,GROENLINKS,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,OndernemersPartij,VNL (VoorNederland),DENK,NIEUWE WEGEN,Forum voor Democratie,De Burger Beweging,Vrijzinnige Partij,GeenPeil,Piratenpartij,Artikel 1,Niet Stemmers,Libertarische Partij (LP)
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stadhuis Venlo,0983::SB1,,1923,1366,6,2,0,0,6,1258,110,0,0,0,0,0,0,1374,390,63,150,133,134,181,10,142,2,58,32,0,2,2,0,55,0,3,0,9,0,0,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huize Beerendonck,0983::SB2,5911 AD,1652,1127,3,6,0,0,5,1032,99,0,0,0,0,0,0,1136,269,55,156,118,116,147,8,109,2,30,45,0,2,27,0,25,0,2,0,12,2,2,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeentearchief Venlo,0983::SB3,5914 PV,1690,1168,2,4,0,0,4,1071,99,0,0,0,0,0,0,1174,232,60,207,135,133,139,8,111,0,44,34,3,5,23,2,23,1,1,1,5,0,1,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Lokaal Veestraat,0983::SB4,5914 RR,1406,840,5,6,0,0,5,771,75,0,0,0,0,0,0,851,96,40,232,112,89,74,9,45,0,23,30,1,4,64,3,11,0,1,1,3,1,0,1
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Basisschool de Meule,0983::SB5,5914 XS,1510,1195,2,4,0,0,1,1083,117,0,0,0,0,0,0,1201,232,57,221,150,151,117,4,93,0,37,78,3,1,15,3,28,1,0,0,2,2,0,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Stichting de Witte Kerk,0983::SB6,5914 PE,1180,999,3,7,0,2,9,900,102,0,0,0,2,0,0,1011,116,42,361,133,53,61,10,62,0,32,21,0,2,77,5,20,0,0,0,3,0,1,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gilde Opleidingen,0983::SB7,5913 ES,1404,1112,0,5,0,0,5,988,124,0,0,0,0,0,0,1117,390,39,131,77,163,119,11,65,2,32,44,0,0,4,1,28,0,0,0,4,0,2,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau De Bantuin,0983::SB8,5916 SW,1729,1422,4,1,0,0,6,1251,170,0,0,0,0,0,0,1427,453,61,212,120,223,117,1,89,1,25,71,1,4,2,3,36,0,0,0,2,0,0,1
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau wijkgebouw d'n Dörpel,0983::SB9,5913 CZ,1873,1640,8,5,0,0,3,1498,153,0,1,0,0,0,0,1654,456,65,226,162,233,201,7,117,2,37,69,4,4,12,3,35,0,0,1,4,0,2,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Talentencampus Venlo,0983::SB10,5913 GB,1642,1116,3,3,0,0,1,1025,96,0,0,0,0,0,0,1122,367,55,98,91,171,149,5,90,1,27,27,0,2,0,0,29,0,0,0,3,1,0,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau School met de Bijbel,0983::SB11,5913 TV,1715,1371,5,1,0,0,2,1243,132,0,0,0,0,0,0,1377,372,65,166,128,126,202,10,145,1,39,59,0,4,7,3,36,0,0,0,7,1,0,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Gemeenschapshuis Maagdenberg,0983::SB12,5915 CP,1302,1196,6,8,1,0,1,1100,108,0,0,1,0,0,0,1209,161,64,266,155,106,135,8,111,0,52,59,3,0,32,3,31,0,0,4,4,1,1,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huis van de Wijk,0983::SB13,5915 ES,1174,681,2,9,0,0,0,623,69,0,0,0,0,0,0,692,74,38,175,118,45,62,4,39,0,22,31,0,1,54,1,16,0,0,0,1,0,0,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Scheidsrechtersvereniging Venlo eo,0983::SB14,5915 CM,1678,1011,0,2,0,0,2,884,127,0,0,0,0,0,0,1013,336,39,185,72,129,83,5,67,0,41,28,0,0,9,0,11,1,0,1,0,2,2,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Scouting St Paulus,0983::SB16,5912 CG,1395,762,4,3,0,0,1,681,87,0,0,0,0,0,0,769,104,36,167,90,69,99,3,91,0,24,32,0,2,19,0,23,0,0,0,3,0,0,0
Maastricht,Venlo,TK2017,Tweede Kamer der Staten-Generaal 2017,,,2017-03-15,Stembureau Huis van de Wijk Venlo-Zuid,0983::SB17,5912 XN,1455,1236,2,8,0,0,1,1097,148,0,0,0,0,0,0,1246,97,56,384,126,87,87,7,109,3,31,63,1,2,157,1,17,0,0,2,2,3,1,0
