contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),Staatkundig Gereformeerde Partij (SGP),SP (Socialistische Partij),PARTIJ VOOR ZEELAND (PVZ),ChristenUnie,Democraten 66 (D66),GROENLINKS,50PLUS,Provinciaal Belang Zeeland,Zeeland Lokaal
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Heinkenszand 1,0654::SB1,4451 KB,1067,649,1,0,0,0,0,570,80,0,0,0,0,0,0,650,100,71,106,89,3,77,33,24,64,34,24,12,12
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Heinkenszand 2,0654::SB2,4451 KB,1079,460,1,3,0,0,2,414,48,0,0,0,0,0,0,464,81,73,81,65,4,49,17,12,36,11,13,8,10
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Heinkenszand 3,0654::SB3,4451 LA,1019,425,1,0,0,0,1,373,52,0,0,0,0,0,0,426,77,41,92,41,9,31,36,25,48,8,10,4,3
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lewedorp 5,0654::SB5,4456 AL,660,353,0,1,0,0,0,314,40,0,0,0,0,0,0,354,48,36,91,37,26,37,18,11,12,9,14,6,8
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Nieuwdorp,0654::SB6,4455 TL,882,517,0,2,0,0,0,461,58,0,0,0,0,0,0,519,42,48,81,62,156,22,27,33,22,8,8,1,7
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 's-Heerenhoek 7,0654::SB7,4453 BE,777,369,0,1,0,0,0,327,43,0,0,0,0,0,0,370,59,39,84,54,2,24,42,9,21,8,16,4,7
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Borssele,0654::SB8,4454 AS,976,641,0,6,0,0,1,564,82,0,0,0,0,0,0,647,30,21,37,36,389,29,26,21,15,11,13,7,6
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Driewegen,0654::SB9,4438 AH,443,239,1,2,0,0,0,219,23,0,0,0,0,0,0,242,40,16,33,24,6,31,23,14,17,15,8,8,4
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Ellewoutsdijk,0654::SB10,4437 AE,305,154,0,0,0,0,1,138,15,0,0,0,0,0,0,154,13,20,22,17,3,30,17,3,7,10,8,2,2
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Ovezande,0654::SB11,4441 AE,924,489,0,2,0,0,0,444,47,0,0,0,0,0,0,491,60,40,146,53,6,33,47,8,38,29,9,10,10
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Oudelande,0654::SB12,4436 AD,514,308,0,0,0,0,0,262,46,0,0,0,0,0,0,308,38,27,51,35,12,20,54,6,29,22,3,7,4
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Baarland,0654::SB13,4435 AD,474,296,0,1,0,1,1,259,38,0,0,0,1,0,0,298,27,17,46,32,45,36,38,13,20,8,10,2,2
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Hoedekenskerke,0654::SB14,4433 AL,533,325,0,1,0,0,1,291,34,0,0,0,0,0,0,326,41,22,57,25,73,19,20,17,24,12,4,6,5
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Kwadendamme,0654::SB15,4434 AC,769,406,1,3,0,0,0,379,31,0,0,0,0,0,0,410,49,24,162,36,14,33,29,11,22,14,5,4,3
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Nisse,0654::SB16,4443 AG,486,317,0,0,0,0,0,276,43,0,2,0,2,0,0,319,46,28,58,20,46,28,14,12,33,13,8,3,8
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 's-Heer Abtskerke,0654::SB17,4444 AG,395,240,0,0,0,0,0,217,23,0,0,0,0,0,0,240,54,26,58,18,12,14,8,13,15,10,6,4,2
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 's-Gravenpolder 18,0654::SB18,4431 BP,1017,677,3,0,0,1,5,591,85,0,0,0,1,0,0,681,27,11,77,38,384,26,25,52,15,9,10,2,1
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 's-Gravenpolder 19,0654::SB19,4431 BP,1085,752,1,1,0,0,0,636,118,0,0,0,0,0,0,754,52,26,93,47,345,46,22,44,30,11,17,9,10
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 's-Gravenpolder 20,0654::SB20,4431 EK,1164,821,3,2,0,0,1,734,91,0,0,0,0,0,0,826,37,34,69,44,499,31,18,39,16,9,9,7,9
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Heinkenszand 21,0654::SB21,4451 TL,1078,610,2,3,0,0,0,557,58,0,0,0,0,0,0,615,154,46,155,60,5,55,26,11,47,14,13,13,11
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau Lewedorp 22,0654::SB22,4456 AG,672,335,0,0,0,0,1,306,28,0,0,0,0,0,0,335,50,33,98,31,18,32,14,4,20,12,8,8,7
,Borsele,PS2015_Zeeland,Provinciale Staten Zeeland 2015,,Zeeland,2015-03-18,Stembureau 's-Heerenhoek 23,0654::SB23,4453 BE,742,369,0,3,0,0,2,325,45,0,0,0,0,0,0,372,67,30,105,54,2,21,33,1,28,8,7,3,10
