contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gemeentehuis Gieten,1680::SB1,9461 BH,1339,964,7,3,0,0,0,891,83,0,0,0,0,0,0,974,165,226,61,83,105,123,25,68,39,4,43,22
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Openbare basisschool Gieten,1680::SB2,9460 AB,1403,689,1,2,0,0,0,635,57,0,0,0,0,0,0,692,152,132,58,41,84,84,19,30,32,2,45,10
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum 'Dekelhem' (Gieten),1680::SB3,9461 JA,1315,701,4,1,0,0,0,657,49,0,0,0,0,0,0,706,156,115,56,71,93,57,15,31,53,4,34,16
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ontmoetingscentrum Boerhoorn Rolde,1680::SB4,9451 KD,1731,1288,8,5,0,0,0,1184,117,0,0,0,0,0,0,1301,292,344,91,62,96,136,32,101,34,4,83,13
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Zorgcentrum 'Hendrik Kok' (Rolde),1680::SB5,9451 CT,2002,858,2,1,0,0,0,792,69,0,0,0,0,0,0,861,176,152,72,56,103,93,19,62,34,4,73,14
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis 'De Eekhof' (Ekehaar),1680::SB6,9454 PL,431,293,0,2,0,0,0,267,28,0,0,0,0,0,0,295,47,106,33,16,13,32,5,18,4,0,16,3
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Het Markehuis (Grolloo),1680::SB7,9444 XE,930,589,1,0,0,0,0,535,55,0,0,0,0,0,0,590,81,181,35,41,55,48,13,33,15,7,71,9
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Gasselte,1680::SB8,9462 RH,1508,796,3,0,0,0,0,737,62,0,0,0,0,0,0,799,180,178,70,57,92,75,14,40,33,1,43,13
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau MFC De Spil Gasselternijveen,1680::SB9,9514 CA,1460,736,0,4,0,0,0,678,62,0,0,0,0,0,0,740,142,66,80,140,104,50,20,34,46,5,28,21
,Aa en Hunze,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis Gasselternijveenschemond,1680::SB10,9515 PE,556,332,5,0,0,0,0,312,25,0,0,0,0,0,0,337,33,29,36,81,43,24,17,7,23,7,22,10
