contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),GROENLINKS,SP (Socialistische Partij),ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Vrijzinnige Partij,Provincie@Inwonersbelangen,Libertarische Partij (LP),JEZUS LEEFT
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Gemeentehuis Soest,0342::SB1,3762 AV,1446,779,2,2,0,0,0,693,90,0,0,0,0,0,0,783,116,119,98,111,100,34,59,55,25,18,38,1,4,1,0
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Eerste van der Huchtschool,0342::SB2,3761 AT,1520,1004,0,2,0,1,1,885,121,0,0,0,1,0,0,1007,241,99,136,186,72,60,60,34,28,26,55,2,4,0,1
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Residence Souveraine,0342::SB3,3761 XD,1326,925,0,2,0,0,0,832,95,0,0,0,0,0,0,927,267,59,177,172,59,49,38,33,13,28,26,2,2,0,0
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau R.K. Daltonschool de Driesprong,0342::SB4,3762 CZ,1409,748,5,0,0,0,0,656,97,0,0,0,0,0,0,753,224,48,115,152,38,44,29,32,17,10,36,0,2,0,1
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Emmakerk,0342::SB5,3762 DS,1503,631,0,0,0,0,0,569,63,0,0,0,1,0,0,632,136,45,96,86,79,37,44,37,14,28,23,5,0,0,1
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau OBS Prins Willem-Alexander,0342::SB6,3762 CG,1303,723,2,1,0,0,1,648,77,0,0,0,0,0,0,726,164,64,70,116,92,46,53,23,20,32,40,0,2,0,1
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Zorgcentrum Molenschot,0342::SB7,3762 BP,1700,893,2,5,0,0,0,803,97,0,0,0,0,0,0,900,233,75,139,113,101,34,50,39,24,33,43,0,7,2,0
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Woonzorgcentr.  Mariënburg,0342::SB8,3761 CN,1157,633,4,1,0,0,0,570,68,0,0,0,0,0,0,638,160,31,113,124,54,32,32,31,11,26,16,2,0,1,0
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau De Rank,0342::SB9,3768 ED,1532,1022,1,3,0,0,0,912,114,0,0,0,0,0,0,1026,272,89,183,168,72,50,46,31,23,30,44,9,0,1,4
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau RK basisschool Ludgerus,0342::SB10,3768 GM,1740,1020,3,7,0,0,0,908,122,0,0,0,0,0,0,1030,427,52,114,197,55,35,29,30,11,15,43,3,3,3,3
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Parochiesecretariaat,0342::SB11,3768 CP,1705,1058,0,1,0,0,0,952,107,0,0,0,0,0,0,1059,275,88,164,184,87,61,49,37,14,41,55,1,2,0,0
,Soest,PS2015_Utrecht,Provinciale Staten Utrecht 2015,,Utrecht,2015-03-18,Stembureau Derde Van der Huchtschool,0342::SB13,3765 EM,1583,942,1,2,0,0,0,838,107,0,0,0,0,0,0,945,223,70,109,175,99,71,63,46,8,23,46,7,2,0,0
