contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),Democraten 66 (D66),SP (Socialistische Partij),CDA,GROENLINKS,Partij voor de Dieren,Ouderenpartij Noord-Holland,50PLUS,ChristenUnie-SGP,Vrouwen Partij (VP),Multicultureel Plus Partij (M+),Hart voor Holland,Piratenpartij
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Stadhuis Dudok,0453::SB1,1971 EN,1537,825,3,5,0,0,0,770,63,0,0,0,0,0,0,833,79,73,195,84,134,47,30,46,15,32,34,8,6,31,11
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Woon en zorgcentrum Huis ter Hagen,0453::SB2,1985 CV,1128,728,1,1,0,0,0,675,55,0,0,0,0,0,0,730,181,88,41,133,49,114,33,21,12,18,21,2,0,15,0
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool De Toermalijn,0453::SB3,1985 HB,1312,846,3,0,0,0,1,754,94,0,0,0,0,0,0,849,203,85,35,164,52,80,54,22,13,24,18,2,0,84,10
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Voormalig Raadhuis,0453::SB4,1981 BC,1516,748,1,3,0,0,0,671,81,0,0,0,0,0,0,752,168,83,57,120,46,93,29,26,8,32,48,2,2,28,6
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Wooncentrum Velserhooft,0453::SB10,2071 BH,1866,1100,3,4,0,0,0,1004,103,0,0,0,0,0,0,1107,232,141,72,210,114,91,65,54,13,34,31,8,0,28,7
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Cafe Zaal De Wildeman,0453::SB11,2071 EL,1623,891,6,1,0,0,0,841,57,0,0,0,0,0,0,898,206,81,60,157,86,108,59,30,11,30,23,7,0,23,10
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau De ZorgSpecialist,0453::SB13,2071 NW,1834,1042,3,1,0,0,0,955,91,0,0,0,0,0,0,1046,203,132,60,181,95,122,67,54,15,39,28,8,0,30,8
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau 't Brederode Huys,0453::SB14,2082 GE,1240,1027,4,4,0,0,0,939,96,0,0,0,0,0,0,1035,265,126,50,228,58,108,72,49,12,16,22,8,2,7,4
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool Het Anker,0453::SB15,1991 BZ,1840,774,2,2,0,0,1,710,67,0,0,0,0,0,0,778,123,85,115,110,81,76,38,31,11,32,38,3,2,18,11
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Brederode Daltonschool,0453::SB16,2082 BD,1235,532,0,2,0,0,0,484,50,0,0,0,0,0,0,534,141,35,32,144,30,54,40,28,3,11,6,4,0,1,3
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau COB Hofstede,0453::SB17,1991 PT,1642,925,4,0,0,1,0,843,87,0,0,0,1,0,0,930,143,108,125,127,107,99,31,33,21,51,58,6,0,7,9
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool  De Duinroos,0453::SB18,1991 LB,1768,992,4,1,0,1,0,901,97,0,0,0,1,0,0,998,156,113,147,165,93,77,44,54,20,49,38,7,3,15,11
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool De Westbroek,0453::SB19,1991 NN,1777,881,4,0,0,0,0,795,90,0,0,0,0,0,0,885,175,78,101,141,103,97,38,34,7,22,43,9,0,27,6
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau Basisschool De Molenweid,0453::SB20,1991 EV,1594,612,3,0,0,0,1,543,71,0,0,0,0,0,0,615,91,86,89,97,74,65,22,12,4,30,25,2,2,6,7
Haarlem,Velsen,PS2015_NoordHolland,Provinciale Staten Noord-Holland 2015,,Noord-Holland,2015-03-18,Stembureau KBS De Rozenbeek,0453::SB21,1991 NS,1842,765,2,1,0,1,0,687,82,0,0,0,1,0,0,769,159,84,67,138,83,76,41,22,10,21,31,7,1,15,10
