contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Partij van de Arbeid (P.v.d.A.),Democraten 66 (D66),GROENLINKS,50PLUS,Partij voor de Dieren,PLATFORM VRIJE POLITIEK,StemNL,Lokaal Brabant,Libertarische Partij (LP),ChristenUnie-SGP,JEZUS LEEFT
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentehuis,0779::SB1,4941DX,1955,909,3,2,0,0,0,811,103,0,0,0,0,0,0,914,184,137,149,137,50,67,64,54,29,1,1,22,2,12,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Mauritsstaete,0779::SB2,4931HV,1209,668,3,7,0,0,0,624,54,0,0,0,0,0,0,678,82,78,150,101,58,39,64,46,26,0,0,14,0,9,1
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Riethorst,0779::SB3,4931BP,1231,466,1,0,0,0,0,418,49,0,0,0,0,0,0,467,79,46,71,104,37,44,34,20,16,0,0,10,1,3,1
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Schattelijn,0779::SB4,4931AZ,1857,690,4,3,0,0,0,623,74,0,0,0,0,0,0,697,163,73,89,92,57,74,62,37,30,1,0,8,0,4,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau De Peuzelaar,0779::SB5,4931HV,1168,284,0,0,0,0,0,266,18,0,0,0,0,0,0,284,34,41,51,65,21,22,16,9,9,0,2,4,1,9,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Dorpshuis De Haven,0779::SB6,4941XM,1428,501,0,0,0,0,1,447,53,0,0,0,0,0,0,501,89,66,105,102,36,32,19,30,4,0,0,8,0,10,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Zorgcentrum Het Hoge Veer,0779::SB7,4941KH,1603,666,2,1,0,0,0,603,66,0,0,0,0,0,0,669,141,141,89,83,41,65,37,35,14,0,0,6,0,14,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Gemeentewerf,0779::SB8,4941KX,1348,455,2,1,0,0,0,415,43,0,0,0,0,0,0,458,104,71,79,69,29,38,19,23,5,0,0,9,1,8,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau basisschool De Schoof,0779::SB9,4942BC,1674,511,3,3,0,0,0,458,59,0,0,0,0,0,0,517,109,67,69,65,35,68,30,26,11,0,0,24,0,5,2
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Buurthuis De Schelf,0779::SB10,4942AW,1924,811,1,1,0,0,0,726,87,0,0,0,0,0,0,813,136,94,157,130,57,92,39,42,32,0,0,20,0,12,0
Tilburg,Geertruidenberg,PS2015_NoordBrabant,Provinciale Staten Noord-Brabant 2015,,Noord-Brabant,2015-03-18,Stembureau Ontmoetingscentrum,0779::SB11,4944XD,1527,728,1,2,0,0,0,641,90,0,0,0,0,0,0,731,140,169,114,91,28,52,73,25,16,0,0,10,2,8,0
