contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),Partij voor de Dieren,50PLUS,Libertarische Partij (LP),Vrede en Recht,Vrijzinnige Partij,Lokaal Belang Gelderland / 1 Achterhoek,Partij voor Mens en Spirit (MenS),Lokale Partijen Gelderland,PSP'92 Gelderland,Gelderse Centrumdemocraten (Gelderse C.D.)
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Stadhuis,0200::SB1,,1259,992,10,5,0,0,2,923,82,0,0,0,0,0,0,1007,163,101,103,71,110,186,71,77,20,48,25,1,4,1,2,3,4,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Kadaster,0200::SB2,,1107,635,1,3,0,0,0,583,56,0,0,0,0,0,0,639,100,69,64,79,71,110,31,30,9,29,26,5,4,0,2,2,1,3,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Oude Enk,0200::SB3,,1488,731,2,2,0,0,0,678,57,0,0,0,0,0,0,735,116,80,89,83,105,87,28,41,12,34,40,2,2,1,2,1,3,4,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Duivensportcentrum Apeldoorn e/o,0200::SB4,,1726,787,1,4,0,0,0,729,63,0,0,0,0,0,0,792,135,81,70,80,71,135,62,40,23,45,31,0,2,0,4,4,3,1,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Stationsrestauratie Station Centrum,0200::SB5,,1246,753,1,0,0,0,1,688,65,0,0,0,0,0,0,754,133,100,89,74,68,117,38,23,9,38,31,3,3,2,8,3,6,7,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Lokaal bij Goede Herderkerk,0200::SB6,,1275,972,3,1,0,0,0,884,92,0,0,0,0,0,0,976,162,97,138,81,85,143,58,68,30,44,43,1,3,2,6,2,3,5,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Speeltuin Kindervreugd,0200::SB7,,990,321,2,0,0,0,0,291,32,0,0,0,0,0,0,323,30,44,29,48,64,43,12,9,9,16,7,0,3,0,2,1,1,1,2
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau School Spitsbergen,0200::SB8,,1313,307,0,3,0,0,0,308,2,0,0,0,0,0,0,310,29,40,42,37,36,45,15,16,6,19,12,1,1,0,2,2,4,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,"Stembureau Zorggroep Apeldoorn, loc. Mandala",0200::SB9,,1006,656,1,1,0,1,0,566,93,0,0,0,1,0,0,659,108,80,105,32,55,93,50,43,13,36,24,4,1,2,4,1,4,1,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Wijkcentrum Orca,0200::SB10,,1286,654,2,4,0,3,1,604,58,0,0,0,3,0,0,663,55,85,70,74,102,64,49,38,23,49,26,0,4,1,2,3,4,3,2
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau EBS Tabitha,0200::SB11,,1373,681,2,1,0,0,0,604,77,0,0,3,0,0,0,681,138,82,72,61,54,122,39,44,13,20,17,4,2,2,1,2,3,4,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau School Berg en Bos,0200::SB12,,1297,1043,0,4,0,0,0,923,124,0,0,0,0,0,0,1047,486,43,136,62,17,163,28,24,31,29,10,1,2,0,1,6,4,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Stichting Walterbosch,0200::SB13,,1412,871,2,4,0,0,0,812,65,0,0,0,0,0,0,877,188,83,131,67,71,139,62,45,25,26,18,2,1,3,2,0,3,3,2
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Robijn Woonstudio's,0200::SB14,,1194,645,2,1,0,0,0,594,54,0,0,0,0,0,0,648,129,59,91,42,45,130,46,37,24,27,8,2,0,0,2,0,1,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Woon- en Zorgcentrum De Loohof,0200::SB15,,907,572,1,1,0,0,0,508,66,0,0,0,0,0,0,574,166,43,102,19,14,111,26,34,17,20,14,0,3,0,1,1,0,1,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Locatie Berkenhove (voorheen Spainkbosd),0200::SB16,,1165,789,5,0,0,0,0,725,69,0,0,0,0,0,0,794,134,104,97,58,48,135,68,40,20,38,30,0,3,0,2,3,4,3,2
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Serviceflat Lindenhove,0200::SB17,,1166,675,2,3,0,0,0,625,55,0,0,0,0,0,0,680,169,65,109,39,41,104,37,45,14,21,21,2,0,0,1,2,3,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Gereformeerde Kerk,0200::SB18,,1391,922,0,3,0,0,0,750,175,0,0,0,0,0,0,925,256,92,126,40,23,192,44,67,29,30,12,0,3,0,1,3,4,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Koningin Julianaschool,0200::SB19,,1487,861,1,0,0,1,0,797,66,0,0,0,1,0,0,863,174,73,119,58,43,155,55,62,20,54,32,3,1,2,2,2,3,3,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau CODA museum,0200::SB20,,1166,521,2,3,0,0,0,475,51,0,0,0,0,0,0,526,112,74,27,43,46,87,42,23,15,24,14,0,1,0,1,2,3,7,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Woon- en Zorgcentrum De Veenkamp,0200::SB21,,1550,823,2,2,0,0,0,755,72,0,0,0,0,0,0,827,146,85,105,60,81,110,49,70,34,44,19,3,2,1,5,3,6,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Wijkcentrum De Groene Hoven,0200::SB22,,1444,934,3,0,0,1,0,846,92,0,0,1,0,0,0,938,154,96,145,62,63,126,50,90,50,37,43,3,5,0,3,2,5,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Open Hofkerk,0200::SB23,,1256,563,1,1,0,0,0,519,46,0,0,0,0,0,0,565,75,56,100,57,60,63,27,45,28,25,18,0,4,0,2,2,0,0,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Zorggroep Apeldoorn Casa Bonita,0200::SB24,,1508,665,3,2,0,0,0,621,49,0,0,0,0,0,0,670,96,70,97,55,63,99,26,56,37,27,26,2,3,2,0,3,1,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Sporthal Welgelegen(voorheen Dynamo),0200::SB25,,1119,433,0,1,0,0,0,389,45,0,0,0,0,0,0,434,76,50,60,25,38,61,41,25,11,21,12,1,0,1,3,4,3,1,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Prinses Beatrixschool,0200::SB26,,884,457,1,0,0,0,0,397,61,0,0,0,0,0,0,458,112,36,97,45,12,48,14,22,33,16,6,1,2,0,5,0,6,0,2
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Kantine WWNA,0200::SB27,,826,377,1,1,1,0,0,337,41,0,0,1,0,0,0,378,106,11,53,55,18,56,13,18,14,19,8,0,4,1,0,0,1,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau De Woonmensen,0200::SB28,,1578,711,1,0,0,0,0,638,74,0,0,0,0,0,0,712,163,77,87,47,43,115,49,47,22,18,32,0,3,0,3,1,2,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Zaal achter Julianakerk,0200::SB29,,965,790,3,2,1,0,0,723,73,0,0,0,1,0,0,796,139,76,113,64,59,118,46,70,31,23,32,3,3,0,5,2,3,2,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau School De Zonnewende,0200::SB30,,1373,509,0,0,0,0,0,441,68,0,0,0,0,0,0,509,102,57,62,36,44,78,25,46,17,16,13,0,2,1,4,1,4,1,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Eben-Haezerkerk,0200::SB31,,1504,654,1,1,0,0,0,587,69,0,0,0,0,0,0,656,84,49,98,50,67,90,32,73,40,25,32,1,4,0,5,2,0,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Geref. Basisschool 't Schrijvertje,0200::SB32,,1428,462,5,0,0,1,0,415,53,0,0,0,1,0,0,468,21,44,48,64,78,34,19,76,29,23,15,1,2,0,0,4,1,3,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Veluwse College Mheenpark,0200::SB33,,1170,647,2,0,0,3,0,592,54,0,0,3,0,0,0,646,87,86,86,54,70,90,32,41,36,34,25,0,1,0,4,0,1,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Ichthusschool,0200::SB34,,1634,827,1,2,0,10,0,753,67,0,0,10,0,0,0,820,80,85,102,114,97,128,38,66,19,38,38,1,4,0,5,6,4,2,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau GGNet (Spatie),0200::SB35,,1727,725,4,1,0,2,0,647,85,0,0,0,2,0,0,732,169,58,121,55,44,90,24,50,45,30,21,0,1,1,5,1,9,0,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau School De Bundel,0200::SB36,,1432,814,3,1,0,0,0,743,74,0,0,1,0,1,0,817,134,81,124,67,80,137,37,67,21,24,28,0,1,2,0,2,6,2,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Kantine ZVV,0200::SB37,,1346,356,0,0,0,0,0,324,32,0,0,0,0,0,0,356,52,25,48,49,37,43,17,32,16,13,20,0,2,0,1,1,0,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Woon-Zorgcentrum Kon. Wilhelmina,0200::SB38,,1137,738,2,6,0,0,0,685,61,0,0,0,0,0,0,746,95,66,126,79,88,76,35,57,46,24,35,0,2,0,0,3,2,3,1
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau O.B.S. Het Web,0200::SB39,,1343,375,0,0,0,0,0,340,35,0,0,0,0,0,0,375,32,44,51,52,44,48,17,24,13,20,22,1,1,0,0,2,4,0,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Verzorgingshuis Talma Borgh,0200::SB40,,1523,911,4,1,0,0,0,841,75,0,0,0,0,0,0,916,152,83,108,84,103,137,38,84,39,41,26,2,3,0,2,4,2,3,0
Arnhem,Apeldoorn,PS2015_Gelderland,Provinciale Staten Gelderland 2015,,Gelderland,2015-03-18,Stembureau Het Atrium,0200::SB41,,1252,491,4,3,0,0,0,449,49,0,0,0,0,0,0,498,46,64,47,61,97,64,25,21,12,22,18,1,1,0,3,3,2,4,0
