contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,SP (Socialistische Partij),CDA,Democraten 66 (D66),PVV (Partij voor de Vrijheid),ChristenUnie,GROENLINKS,Partij voor het Noorden,Partij voor de Dieren,50PLUS,Groninger Belang,Red het Noorden,Grunnegers veur Stad en Ommelaand,Seniorenpartij Groningen,Verenigde Communistische Partij,Partij voor Mens en Spirit (MenS),Vrij Mandaat,Groningen Centraal!
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau ULRUM,1663::SB1,9971 AJ,1142,617,2,3,0,0,0,558,64,0,0,0,0,0,0,622,41,62,63,176,20,68,116,7,16,8,8,19,3,0,6,0,3,0,1
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau VIERHUIZEN,1663::SB2,9975 VS,301,187,0,0,0,0,0,171,16,0,0,0,0,0,0,187,20,38,17,38,8,16,13,13,1,11,1,6,0,1,2,0,0,0,2
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau ZOUTKAMP,1663::SB3,9974 PG,1107,541,4,5,0,0,0,485,65,0,0,0,0,0,0,550,54,43,86,99,21,96,46,25,10,16,15,21,1,1,4,0,0,0,3
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau WEHE-DEN HOORN,1663::SB4,9964 AA,624,373,0,1,0,0,0,344,30,0,0,0,0,0,0,374,47,30,78,44,26,39,18,18,12,14,5,29,0,0,7,2,2,1,1
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau LEENS,1663::SB5,9965 TD,1407,794,1,1,0,0,0,709,87,0,0,0,0,0,0,796,60,72,70,167,30,39,234,32,14,28,11,23,1,1,6,1,0,0,5
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau WARFHUIZEN,1663::SB6,9963 PH,418,242,0,0,0,0,1,222,19,0,0,0,0,0,0,242,29,23,29,28,15,15,7,55,5,21,3,9,0,0,1,0,0,0,2
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau KLOOSTERBUREN,1663::SB7,9977 RN,742,361,5,0,0,0,0,329,37,0,0,0,0,0,0,366,46,41,57,96,10,28,6,12,7,19,14,19,0,1,2,0,2,0,1
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau KRUISWEG,1663::SB8,9977 PN,435,254,1,1,0,0,0,240,16,0,0,0,0,0,0,256,26,31,49,45,11,20,11,19,3,20,6,11,0,1,1,0,0,0,0
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau EENRUM,1663::SB9,9967 SE,1340,782,2,7,0,0,0,735,56,0,0,0,0,0,0,791,181,79,144,55,43,42,15,66,6,44,20,63,1,2,6,4,0,2,9
,De Marne,PS2015_Groningen,Provinciale Staten Groningen 2015,,Groningen,2015-03-18,Stembureau PIETERBUREN,1663::SB10,9968 AL,560,361,0,0,0,0,0,333,28,0,0,0,0,0,0,361,44,47,84,33,18,14,25,37,5,37,0,16,0,1,0,0,0,0,0
