contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,Partij van de Arbeid (P.v.d.A.),VVD,CDA,PVV (Partij voor de Vrijheid),SP (Socialistische Partij),Democraten 66 (D66),ChristenUnie,GROENLINKS,50PLUS,Staatkundig Gereformeerde Partij (SGP),STERK LOKAAL,Senioren Belang Noord
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ontm. centr. Dingspilhuus.,1701::SB1,7981 AV,1347,808,5,1,0,0,0,741,76,0,0,0,3,0,0,817,143,131,161,67,84,72,23,57,42,5,5,18
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Villa Nova Zorgvlied,1701::SB2,8437 PB,318,193,0,0,0,0,0,172,21,0,0,0,0,0,0,193,15,60,15,24,25,19,2,12,14,0,6,1
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis  Oens Huus,1701::SB3,7983 KL,485,309,1,2,0,0,0,274,38,0,0,0,0,0,0,312,43,94,47,16,31,24,4,26,14,2,5,3
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ons Dorpshuis,1701::SB4,8384 EE,1351,658,0,1,0,0,0,567,92,0,0,0,0,0,0,659,106,127,77,76,100,62,20,41,18,11,9,11
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Verz. centr. De Weyert,1701::SB5,7991 BN,1288,726,3,1,0,0,0,677,53,0,0,0,0,0,0,730,169,141,111,54,62,58,22,48,45,2,7,7
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau OBS De Eemster,1701::SB6,7991 PP,756,458,0,0,0,0,0,404,54,0,0,0,0,0,0,458,44,123,72,21,35,50,31,45,20,4,6,7
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Hotel  De Börken,1701::SB7,7991 PJ,377,246,0,0,0,0,0,220,26,0,0,0,0,0,0,246,38,73,39,9,14,26,6,25,7,2,5,2
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ontmoetingscentrum  De Veldkei,1701::SB8,7971 BX,1647,1078,3,0,0,0,0,1009,74,0,0,0,2,0,0,1083,155,313,126,77,76,139,23,81,60,1,16,11
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Multif. centrum  De Wiekslag,1701::SB9,8351 HR,656,373,2,0,0,0,0,341,34,0,0,0,0,0,0,375,58,107,37,34,27,35,4,35,20,3,9,4
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Dorpshuis  De Vlasbarg'n,1701::SB10,7975 BX,1152,625,1,0,0,0,0,561,64,0,0,1,0,0,0,625,117,160,64,44,49,66,13,60,22,5,16,9
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Buurthuis  De Stobbe,1701::SB11,7973 KG,730,346,1,0,0,0,0,317,30,0,0,0,0,0,0,347,31,43,31,69,66,24,17,28,21,3,6,7
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Verzorgingscentrum  De Molenhof,1701::SB12,7971 BK,1190,615,4,0,0,0,0,556,64,0,0,0,1,0,0,620,112,136,48,60,56,71,15,40,42,1,21,13
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Ontm. centr.  De Tippe,1701::SB13,8381 BX,1301,723,3,2,0,0,0,660,68,0,0,0,0,0,0,728,110,138,98,72,94,71,37,43,38,2,14,6
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Gemeentehuis Diever,1701::SB14,7981 EL,1000,590,1,1,0,0,0,525,67,0,0,0,0,0,0,592,113,116,114,39,33,67,39,33,16,8,6,6
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau 't Hof van Dwingeloo,1701::SB15,7991 AA,831,498,2,0,0,0,0,447,53,0,0,0,0,0,0,500,65,180,58,21,29,65,16,37,13,2,9,3
,Westerveld,PS2015_Drenthe,Provinciale Staten Drenthe 2015,,Drenthe,2015-03-18,Stembureau Brandweerkazerne Vledder,1701::SB16,8381 BB,877,398,0,3,0,0,2,374,25,0,0,0,0,0,0,401,65,78,39,38,42,52,21,22,22,5,7,7
