contest_name,managing_authority,election_id,election_name,election_domain_id,election_domain_name,election_date,station_name,station_id,postcode,cast,total_counted,rejected_blanco,rejected_ongeldig,uncounted_andere verklaring,uncounted_geen verklaring,uncounted_geldige kiezerspassen,uncounted_geldige stempassen,uncounted_geldige volmachtbewijzen,uncounted_kwijtgeraakte stembiljetten,uncounted_meegenomen stembiljetten,uncounted_meer getelde stembiljetten,uncounted_minder getelde stembiljetten,uncounted_te veel uitgereikte stembiljetten,uncounted_te weinig uitgereikte stembiljetten,uncounted_toegelaten kiezers,VVD,Partij van de Arbeid (P.v.d.A.),PVV (Partij voor de Vrijheid),CDA,SP (Socialistische Partij),Democraten 66 (D66),GROENLINKS,ChristenUnie,Staatkundig Gereformeerde Partij (SGP),50PLUS,Partij voor de Dieren,Nederland Lokaal,Libertarische Partij (LP),Verenigde Lokale Partijen Zuid-Holland,Vrijzinnige Partij
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Raadhuis De Paauw,0629::SB1,,1153,711,4,2,0,0,0,616,101,0,0,0,0,0,0,717,322,27,47,104,4,115,21,12,7,12,20,18,2,0,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Bloemcampschool,0629::SB2,,880,825,0,1,0,1,0,681,146,0,0,0,1,0,0,827,501,23,43,77,6,112,22,15,1,7,11,4,2,1,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Buurtcentr. Charlottestr.,0629::SB3,,1351,645,1,2,0,1,2,573,74,0,0,0,1,0,0,649,195,37,91,99,60,69,21,10,5,19,25,10,1,3,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Woonzorgcentrum Van Ommerenpark 200,0629::SB4,2243 EX,908,662,2,5,0,0,0,572,97,0,0,0,0,0,0,669,393,12,57,100,6,53,17,2,3,4,12,1,0,0,2
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Ridderhof,0629::SB5,,1234,757,2,3,0,2,0,679,81,0,0,2,0,0,0,760,296,41,41,148,20,108,29,10,4,19,22,13,4,2,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Sophiekehuis,0629::SB6,,1255,721,3,0,1,0,0,645,78,0,0,1,0,0,0,723,244,36,93,108,40,88,24,8,6,22,32,11,3,4,2
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Herenwegschool,0629::SB7,,1117,736,0,0,0,0,0,630,106,0,0,0,0,0,0,736,305,32,63,120,20,96,28,9,0,19,26,12,0,6,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Den Deylschool,0629::SB8,,1109,748,2,4,0,0,0,671,83,0,0,0,0,0,0,754,269,55,68,120,24,106,24,5,6,20,34,11,5,1,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Duinstede,0629::SB9,,1277,628,0,2,0,2,0,556,76,0,0,0,2,0,0,632,165,40,77,117,21,91,38,17,4,23,21,5,0,8,1
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,"Stembureau gebouw 'Sion', naast St Jozef Kerk",0629::SB10,,1008,581,0,3,0,2,0,537,49,0,0,0,2,0,0,586,111,36,102,111,46,63,25,10,4,36,25,4,0,7,1
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Gemeentekantoor,0629::SB11,,1376,835,3,4,0,0,0,696,146,0,0,0,0,0,0,842,162,67,151,146,67,80,42,16,6,38,39,12,4,5,0
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Buurtcentr. Oostdorp,0629::SB12,,1182,550,1,0,0,0,0,485,67,0,1,0,1,0,0,552,102,34,117,103,41,44,28,7,4,33,27,7,0,2,1
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau buurtcentrum,0629::SB13,,1141,687,3,5,0,0,1,619,74,0,0,1,0,1,0,694,180,41,113,128,44,75,36,6,5,27,22,5,0,3,2
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau buurtcentrum,0629::SB14,,1805,600,3,0,0,0,3,554,46,0,0,0,0,0,0,603,111,64,75,108,33,73,43,18,3,27,31,6,1,6,1
Leiden,Wassenaar,PS2015_ZuidHolland,Provinciale Staten Zuid-Holland 2015,,Zuid-Holland,2015-03-18,Stembureau Kievietschool,0629::SB15,2242 AD,800,412,0,4,0,0,0,356,60,0,0,0,0,0,0,416,278,8,15,27,1,56,7,3,2,5,10,0,0,0,0
